original_uuid,stage2_target,cough_type,event_count,mean_raw_s2_across_549_paths
0029d048-898a-4c70-89c7-0815cdcf7391,0,dry,5,4.053217929599387e-06
006d8d1c-2bf6-46a6-8ef2-1823898a4733,0,dry,2,3.733676502300132e-06
00ddf050-6939-4f33-9e54-fcb309b895ec,0,dry,4,1.8477885451941256e-05
03c8796e-547e-4158-ae5f-7c613aaeb02f,0,dry,4,6.209248326015742e-06
05458ac9-b4d3-4558-b6b2-b2bf7036f16c,0,dry,2,1.8050275995357924e-05
0593e9bf-e162-46c2-b1d5-3bc34ef1fc6f,0,dry,6,1.1537489506098507e-05
062c3a7f-a783-4b43-806e-6db83aa0da15,0,dry,6,5.92812765276416e-06
076f59de-0637-4ee1-951c-f2e0784e8a53,0,dry,1,1.8383101921163685e-05
08024f8a-88fb-4298-9656-04da97112ae6,0,dry,2,2.5656660091982215e-06
089f764a-6620-4554-8519-ac64f833a5d5,0,dry,2,7.009002255592015e-06
08d5d346-6219-4e6d-ac06-ef489f2d186c,0,dry,3,1.4274370085497954e-05
0b43fe9d-c9d6-4d0d-abf9-52f6b3712325,0,dry,1,9.325403233973538e-06
0e8c849d-9a13-4d43-b6b5-be14a334b77c,0,dry,3,1.3955323574042019e-05
0ef3c0bc-56c3-44da-bea0-dc31a158414a,0,dry,2,1.3714183736246481e-05
0f746594-9aa2-4681-addd-bea6230b9027,0,dry,3,9.7785083095368e-06
11237f1a-3eb2-4cf7-80f7-116df4b1699a,0,dry,3,6.310780022961618e-06
12a7d4c8-1dea-4ba3-a9a9-73fbeca9cc96,0,dry,1,1.2981375250073434e-05
159c098b-ec97-45cf-aeb7-ff389a98d95c,0,dry,2,7.810183086810076e-06
164ff16d-2af8-4724-9a57-3b3bd7e17839,0,dry,2,3.3556140984652374e-05
19654d11-2cef-46ec-8007-4a4c7bea60af,0,dry,3,1.5329043251739835e-05
1adc614f-9f34-451c-ac33-47a411f0a06d,0,dry,4,4.254125207351122e-06
1d1dd53c-0b98-4ebd-a34b-e168bff6b7da,0,dry,2,1.0127287329152595e-05
1fb47adc-d640-4c2b-a6f2-7e1078caad81,0,dry,3,8.577380982226713e-06
24dc7236-522f-4120-b76d-65538ab32b5b,0,dry,4,4.372361878289027e-06
25a6fb1b-a42c-4728-a2bf-d0613e17d1d7,0,dry,1,1.8462247755515265e-05
26abd7b6-569b-41ed-955e-0481ed0368dd,0,dry,2,1.5873575509570645e-05
271dc530-49dd-4f49-913d-28475b4a150b,0,dry,2,5.305498818835659e-06
274fee77-6d89-4b0f-962e-28969658b430,0,dry,2,4.618705641026507e-06
27a23047-925b-4b76-879b-eaeab82e0857,0,dry,3,7.87139784306267e-06
28757e31-b8f6-408c-982e-a016170ab3ef,0,dry,1,3.3775016475090194e-05
28c76cca-15d8-490a-a785-9bbb5c21fd26,0,dry,3,3.4346844855328323e-06
28de464d-b466-45cc-849d-a1c138c96767,0,dry,1,9.369032243091141e-06
29121026-d6b2-4203-8491-227353a60348,0,dry,4,7.02885920515266e-06
2b243e9c-37f2-4552-ac69-4cdf0e070b9a,0,dry,1,7.749136907755303e-06
2baa4845-c6e6-44a6-b4f3-f239be93bfa7,0,dry,4,7.636305665184749e-06
2bcd2201-d3ec-466d-a0a1-1305a46aa74a,0,dry,1,7.1135689942704796e-06
2c148a1a-099b-48dd-97c2-437ecb15d430,0,dry,1,4.733449717346682e-06
2d79341b-2ce5-4c6b-82d0-599626f629d6,0,dry,1,1.6733650723905313e-05
2de41de6-fd3d-4948-adca-78ae50b9bb97,0,dry,4,8.133895824073103e-06
2e5be083-a771-4769-99b6-ac9a0473755b,0,dry,3,7.776828245724856e-06
30c7cf4c-a067-4349-99dc-c6fcfea194e0,0,dry,1,5.061704350901493e-06
31a557c8-eaf3-4ab7-b374-5b8b659222c8,0,dry,1,7.819554688836119e-06
31f74e48-2e55-4167-980d-d328138a71a9,0,dry,2,1.612564609878585e-05
332ab58f-9728-4cea-9960-c49151120510,0,dry,2,1.664836868328322e-05
338ffa66-a7e2-488a-b5a9-d7b808731922,0,dry,5,8.238192664791964e-06
34191fb6-7fb8-4cbf-a5cf-ea458bf4107b,0,dry,5,8.25785742993619e-06
3483aaf8-14e4-44ac-8b20-6f1a05cfa822,0,dry,2,1.2438982111932737e-05
349e4ca9-fffa-45ea-95e2-c0843f852555,0,dry,4,8.052637342006743e-06
3722d824-c4bc-489d-8a8f-6bb171129e19,0,dry,6,1.3470859009393966e-05
377c3a4c-b901-49c0-9337-e87560b523d4,0,dry,1,1.8781199659662113e-05
37ac823b-4e39-4e85-a6c1-5e1e79979a13,0,dry,4,1.1786775561749363e-05
3938fac1-ae70-4148-90ea-59abb26459c1,0,dry,1,6.236000950963141e-06
3960bb7b-56e2-4cad-aa5f-8849b99b5bf5,0,dry,2,9.094519585194202e-06
3aac052c-4344-4350-a877-59f8a5270b02,0,dry,2,2.777013199154169e-06
3be5af36-9e52-465a-81a6-da1c60d350f5,0,dry,5,1.642221677841589e-05
3c3e2950-ff3d-4db5-b079-6db5182f3f92,0,dry,4,1.7517847943976572e-06
3d74c62a-40cb-4f3f-8851-d3aae9e44b48,0,dry,2,5.79296680567016e-06
3e051a0d-5f5e-4ec6-b0e9-6a97c809cc92,0,dry,1,8.51480628307744e-06
3e1be8df-6634-44ef-b0a1-a4ab499f2959,0,dry,1,2.9378153859532447e-05
3e80334d-1d97-4dc5-a17a-affd1f06011e,0,dry,1,9.794787664503474e-06
41ef8038-b679-44e0-85f2-da3e81e21091,0,dry,1,6.661174262991477e-06
424784ac-85a8-4b14-8447-fce82be45f62,0,dry,2,2.2124311583402644e-05
439daf49-ca13-413b-80e8-a8b6928db817,0,dry,4,5.051804996080721e-06
444d9701-cc2f-4dc7-87ff-4f6ada471c3e,0,dry,1,8.802085584072872e-06
456005c3-f550-4770-a091-befce2a7d630,0,dry,2,9.564778163677914e-06
4619f7e8-fae5-4477-971c-0568ede350a2,0,dry,6,3.150078600708661e-06
47b47be2-59eb-4ae8-b0ca-e4180f04896c,0,dry,2,2.8336278836558787e-05
48ff5e27-832e-4450-9ea5-288a0e6967db,0,dry,2,5.18289996512473e-06
