rank,path_index,path_name,order,scattering_order,j_1,j_2,xi_1,xi_2,acoustic_frequency_hz,modulation_frequency_hz,dry_mean,wet_mean,dry_median,wet_median,mean_difference_wet_minus_dry,median_difference_wet_minus_dry,auc,auc_separation,cliffs_delta,abs_cliffs_delta,direction,n_dry,n_wet,temporal_pooling
1,421,wst_order2_path0421,2,2,4.0,5.0,0.0228818882219845,0.002734375,366.110211551752,43.75,1.7878344106378198e-06,2.5044704635034e-06,1.5341876178354141e-06,2.1878015369717714e-06,7.166360528655804e-07,6.536139191363572e-07,0.6636843317579211,0.16368433175792108,0.3273686635158424,0.3273686635158424,wet_higher,1247,376,none
2,428,wst_order2_path0428,2,2,4.0,5.0,0.0209827840157171,0.002734375,335.72454425147356,43.75,1.6256770879637513e-06,2.27131092369446e-06,1.4015055285199196e-06,2.003061553068619e-06,6.456338357307087e-07,6.015560245486995e-07,0.6629805149379788,0.16298051493797883,0.32596102987595765,0.32596102987595765,wet_higher,1247,376,none
3,413,wst_order2_path0413,2,2,3.0,4.0,0.0249528760440561,0.00546875,399.2460167048976,87.5,3.150424874729225e-06,4.390882053356023e-06,2.6720074401964666e-06,3.802469829376302e-06,1.2404571786267981e-06,1.1304623891798355e-06,0.6606323260932621,0.16063232609326206,0.32126465218652434,0.32126465218652434,wet_higher,1247,376,none
4,414,wst_order2_path0414,2,2,3.0,5.0,0.0249528760440561,0.002734375,399.2460167048976,43.75,3.9931732107682125e-06,5.508027065593434e-06,3.3749805083971296e-06,4.783736056879207e-06,1.5148538548252212e-06,1.408755548482077e-06,0.654664812571448,0.15466481257144804,0.3093296251428961,0.3093296251428961,wet_higher,1247,376,none
5,435,wst_order2_path0435,2,2,4.0,5.0,0.0192412977801029,0.002734375,307.8607644816464,43.75,1.5047983811987122e-06,2.058742718668103e-06,1.2985469766135793e-06,1.7537218089576831e-06,5.53944337469391e-07,4.551748323441038e-07,0.6526706649149449,0.15267066491494485,0.3053413298298897,0.3053413298298897,wet_higher,1247,376,none
6,405,wst_order2_path0405,2,2,3.0,4.0,0.0272113042782809,0.00546875,435.3808684524944,87.5,3.732894962526996e-06,5.080436545376146e-06,3.146680001009372e-06,4.452079757299998e-06,1.3475415828491498e-06,1.305399756290626e-06,0.6501198621372144,0.1501198621372144,0.3002397242744288,0.3002397242744288,wet_higher,1247,376,none
7,429,wst_order2_path0429,2,2,4.0,6.0,0.0209827840157171,0.0013671875,335.72454425147356,21.875,1.6300792387730285e-06,2.1743403876663783e-06,1.404251548819957e-06,1.8974857312059612e-06,5.442611488933499e-07,4.932341823860042e-07,0.6471702298281834,0.1471702298281834,0.2943404596563668,0.2943404596563668,wet_higher,1247,376,none
8,433,wst_order2_path0433,2,2,4.0,10.0,0.0209827840157171,8.544921875e-05,335.72454425147356,1.3671875,1.7128375464261388e-07,2.2710599206609326e-07,1.4667568374685894e-07,1.935160085508869e-07,5.5822237423479384e-08,4.684032480402797e-08,0.6468375164223925,0.1468375164223925,0.293675032844785,0.293675032844785,wet_higher,1247,376,none
9,406,wst_order2_path0406,2,2,3.0,5.0,0.0272113042782809,0.002734375,435.3808684524944,43.75,4.525216182656897e-06,6.080420510580843e-06,3.8723421009005205e-06,5.315064413480286e-06,1.5552043279239462e-06,1.4427223125797655e-06,0.6444360081216196,0.1444360081216196,0.288872016243239,0.288872016243239,wet_higher,1247,376,none
10,434,wst_order2_path0434,2,2,4.0,11.0,0.0209827840157171,4.2724609375e-05,335.72454425147356,0.68359375,9.047914673768134e-08,1.24057791563041e-07,7.28648288372824e-08,1.0182244830995538e-07,3.357864482535967e-08,2.895761947267298e-08,0.6427959016533296,0.14279590165332956,0.28559180330665934,0.28559180330665934,wet_higher,1247,376,none
