feature_row,augmentation_id,parent_feature_row,parent_uuid_segmento,parent_original_uuid,parent_split_group,parent_fold,parent_dataset_origin,parent_audio_path,parent_start_time,parent_end_time,stage1_target,split,transformation,random_state,original_samples,augmented_samples,original_peak,augmented_peak,snr_db,pitch_semitones,noise_scale,noise_donor_uuid_segmento,noise_donor_original_uuid,noise_donor_split_group,noise_donor_fold,noise_donor_dataset_origin
0,0029d048-898a-4c70-89c7-0815cdcf7391_seg_0__aug01__noise_high,0,0029d048-898a-4c70-89c7-0815cdcf7391_seg_0,0029d048-898a-4c70-89c7-0815cdcf7391,COUGHVID_UUID::0029d048-898a-4c70-89c7-0815cdcf7391,1,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\0029d048-898a-4c70-89c7-0815cdcf7391.wav,0.0,9.84,1,train_augmentation_only,noise_high,42,157440,157440,0.9059455394744873,0.911220908164978,10.0,,1.0505029932236885,85560_seg_0,85560,FSD50K_UPLOADER::maj061785,1.0,FSD50K
1,0029d048-898a-4c70-89c7-0815cdcf7391_seg_0__aug02__pitch_down,0,0029d048-898a-4c70-89c7-0815cdcf7391_seg_0,0029d048-898a-4c70-89c7-0815cdcf7391,COUGHVID_UUID::0029d048-898a-4c70-89c7-0815cdcf7391,1,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\0029d048-898a-4c70-89c7-0815cdcf7391.wav,0.0,9.84,1,train_augmentation_only,pitch_down,42,157440,157440,0.9059455394744873,0.684821367263794,,-1.5,,,,,,
2,005b8518-03ba-4bf5-86d2-005541442357_seg_0__aug01__pitch_up,1,005b8518-03ba-4bf5-86d2-005541442357_seg_0,005b8518-03ba-4bf5-86d2-005541442357,COUGHVID_UUID::005b8518-03ba-4bf5-86d2-005541442357,0,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\005b8518-03ba-4bf5-86d2-005541442357.wav,0.0,6.48,1,train_augmentation_only,pitch_up,42,103680,103680,0.9897698163986206,0.6164464950561523,,1.5,,,,,,
3,005b8518-03ba-4bf5-86d2-005541442357_seg_0__aug02__pitch_down,1,005b8518-03ba-4bf5-86d2-005541442357_seg_0,005b8518-03ba-4bf5-86d2-005541442357,COUGHVID_UUID::005b8518-03ba-4bf5-86d2-005541442357,0,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\005b8518-03ba-4bf5-86d2-005541442357.wav,0.0,6.48,1,train_augmentation_only,pitch_down,42,103680,103680,0.9897698163986206,0.6500651240348816,,-1.5,,,,,,
4,006d8d1c-2bf6-46a6-8ef2-1823898a4733_seg_0__aug01__pitch_down,2,006d8d1c-2bf6-46a6-8ef2-1823898a4733_seg_0,006d8d1c-2bf6-46a6-8ef2-1823898a4733,COUGHVID_UUID::006d8d1c-2bf6-46a6-8ef2-1823898a4733,3,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\006d8d1c-2bf6-46a6-8ef2-1823898a4733.wav,0.0,9.96,1,train_augmentation_only,pitch_down,42,159360,159360,0.870229959487915,0.7842055559158325,,-1.5,,,,,,
5,006d8d1c-2bf6-46a6-8ef2-1823898a4733_seg_0__aug02__pitch_up,2,006d8d1c-2bf6-46a6-8ef2-1823898a4733_seg_0,006d8d1c-2bf6-46a6-8ef2-1823898a4733,COUGHVID_UUID::006d8d1c-2bf6-46a6-8ef2-1823898a4733,3,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\006d8d1c-2bf6-46a6-8ef2-1823898a4733.wav,0.0,9.96,1,train_augmentation_only,pitch_up,42,159360,159360,0.870229959487915,0.838560163974762,,1.5,,,,,,
6,008ba489-31ad-44d8-856b-fcf72369dc46_seg_0__aug01__pitch_down,3,008ba489-31ad-44d8-856b-fcf72369dc46_seg_0,008ba489-31ad-44d8-856b-fcf72369dc46,COUGHVID_UUID::008ba489-31ad-44d8-856b-fcf72369dc46,1,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\008ba489-31ad-44d8-856b-fcf72369dc46.wav,0.0,9.78,1,train_augmentation_only,pitch_down,42,156480,156480,0.7427620887756348,0.4165882468223572,,-1.5,,,,,,
7,008ba489-31ad-44d8-856b-fcf72369dc46_seg_0__aug02__pitch_up,3,008ba489-31ad-44d8-856b-fcf72369dc46_seg_0,008ba489-31ad-44d8-856b-fcf72369dc46,COUGHVID_UUID::008ba489-31ad-44d8-856b-fcf72369dc46,1,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\008ba489-31ad-44d8-856b-fcf72369dc46.wav,0.0,9.78,1,train_augmentation_only,pitch_up,42,156480,156480,0.7427620887756348,0.4268050491809845,,1.5,,,,,,
8,008c1c9e-aeef-40c5-846c-24f1b964f884_seg_0__aug01__pitch_down,4,008c1c9e-aeef-40c5-846c-24f1b964f884_seg_0,008c1c9e-aeef-40c5-846c-24f1b964f884,COUGHVID_UUID::008c1c9e-aeef-40c5-846c-24f1b964f884,0,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\008c1c9e-aeef-40c5-846c-24f1b964f884.wav,0.0,9.96,1,train_augmentation_only,pitch_down,42,159360,159360,1.036484718322754,0.9456149339675903,,-1.5,,,,,,
9,008c1c9e-aeef-40c5-846c-24f1b964f884_seg_0__aug02__noise_moderate,4,008c1c9e-aeef-40c5-846c-24f1b964f884_seg_0,008c1c9e-aeef-40c5-846c-24f1b964f884,COUGHVID_UUID::008c1c9e-aeef-40c5-846c-24f1b964f884,0,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\008c1c9e-aeef-40c5-846c-24f1b964f884.wav,0.0,9.96,1,train_augmentation_only,noise_moderate,42,159360,159360,1.036484718322754,0.9990000128746033,20.0,,0.10443743463704405,101310_seg_0,101310,FSD50K_UPLOADER::dobroide,0.0,FSD50K
