feature_row,augmentation_id,parent_feature_row,parent_uuid_segmento,parent_original_uuid,parent_split_group,parent_fold,parent_dataset_origin,parent_audio_path,parent_start_time,parent_end_time,stage1_target,split,transformation,random_state,original_samples,augmented_samples,original_peak,augmented_peak,snr_db,pitch_semitones,noise_scale,noise_donor_uuid_segmento,noise_donor_original_uuid,noise_donor_split_group,noise_donor_fold,noise_donor_dataset_origin
0,0029d048-898a-4c70-89c7-0815cdcf7391_seg_0__aug01__noise_high,0,0029d048-898a-4c70-89c7-0815cdcf7391_seg_0,0029d048-898a-4c70-89c7-0815cdcf7391,COUGHVID_UUID::0029d048-898a-4c70-89c7-0815cdcf7391,1,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\0029d048-898a-4c70-89c7-0815cdcf7391.wav,0.0,9.84,1,train_augmentation_only,noise_high,42,157440,157440,0.9059455394744873,0.911220908164978,10.0,,1.0505029932236885,85560_seg_0,85560,FSD50K_UPLOADER::maj061785,1,FSD50K
1,005b8518-03ba-4bf5-86d2-005541442357_seg_0__aug01__noise_moderate,1,005b8518-03ba-4bf5-86d2-005541442357_seg_0,005b8518-03ba-4bf5-86d2-005541442357,COUGHVID_UUID::005b8518-03ba-4bf5-86d2-005541442357,0,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\005b8518-03ba-4bf5-86d2-005541442357.wav,0.0,6.48,1,train_augmentation_only,noise_moderate,42,103680,103680,0.9897698163986206,0.9891290664672852,20.0,,1.589038960979025,415060_seg_0,415060,FSD50K_UPLOADER::steffcaffrey,0,FSD50K
2,006d8d1c-2bf6-46a6-8ef2-1823898a4733_seg_0__aug01__noise_moderate,2,006d8d1c-2bf6-46a6-8ef2-1823898a4733_seg_0,006d8d1c-2bf6-46a6-8ef2-1823898a4733,COUGHVID_UUID::006d8d1c-2bf6-46a6-8ef2-1823898a4733,3,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\006d8d1c-2bf6-46a6-8ef2-1823898a4733.wav,0.0,9.96,1,train_augmentation_only,noise_moderate,42,159360,159360,0.870229959487915,0.8704409003257751,20.0,,0.1793218614313905,79440_seg_1,79440,FSD50K_UPLOADER::xyzr_kx,3,FSD50K
3,008ba489-31ad-44d8-856b-fcf72369dc46_seg_0__aug01__noise_moderate,3,008ba489-31ad-44d8-856b-fcf72369dc46_seg_0,008ba489-31ad-44d8-856b-fcf72369dc46,COUGHVID_UUID::008ba489-31ad-44d8-856b-fcf72369dc46,1,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\008ba489-31ad-44d8-856b-fcf72369dc46.wav,0.0,9.78,1,train_augmentation_only,noise_moderate,42,156480,156480,0.7427620887756348,0.743786096572876,20.0,,0.071547868867196,55157_seg_0,55157,FSD50K_UPLOADER::noisecollector,1,FSD50K
4,008c1c9e-aeef-40c5-846c-24f1b964f884_seg_0__aug01__noise_moderate,4,008c1c9e-aeef-40c5-846c-24f1b964f884_seg_0,008c1c9e-aeef-40c5-846c-24f1b964f884,COUGHVID_UUID::008c1c9e-aeef-40c5-846c-24f1b964f884,0,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\008c1c9e-aeef-40c5-846c-24f1b964f884.wav,0.0,9.96,1,train_augmentation_only,noise_moderate,42,159360,159360,1.036484718322754,0.9990000128746033,20.0,,0.06148510775293103,214872_seg_0,214872,FSD50K_UPLOADER::fantozzi,0,FSD50K
5,00bf9f83-2e8f-47cf-a4f2-97f2beceebc1_seg_0__aug01__noise_high,5,00bf9f83-2e8f-47cf-a4f2-97f2beceebc1_seg_0,00bf9f83-2e8f-47cf-a4f2-97f2beceebc1,COUGHVID_UUID::00bf9f83-2e8f-47cf-a4f2-97f2beceebc1,2,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\00bf9f83-2e8f-47cf-a4f2-97f2beceebc1.wav,0.0,2.76,1,train_augmentation_only,noise_high,42,44160,44160,0.7998274564743042,0.8104599714279175,10.0,,2.868099599146421,146942_seg_0,146942,FSD50K_UPLOADER::mbaer_studios,2,FSD50K
6,00ce5b06-c302-4387-bbd7-86355a4a8c12_seg_0__aug01__noise_high,6,00ce5b06-c302-4387-bbd7-86355a4a8c12_seg_0,00ce5b06-c302-4387-bbd7-86355a4a8c12,COUGHVID_UUID::00ce5b06-c302-4387-bbd7-86355a4a8c12,3,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\00ce5b06-c302-4387-bbd7-86355a4a8c12.wav,0.0,9.36,1,train_augmentation_only,noise_high,42,149760,149760,0.9993157386779785,0.997061014175415,10.0,,0.2986096782936768,65738_seg_0,65738,FSD50K_UPLOADER::ifartinurgeneraldirection,3,FSD50K
7,00ddf050-6939-4f33-9e54-fcb309b895ec_seg_0__aug01__noise_high,7,00ddf050-6939-4f33-9e54-fcb309b895ec_seg_0,00ddf050-6939-4f33-9e54-fcb309b895ec,COUGHVID_UUID::00ddf050-6939-4f33-9e54-fcb309b895ec,1,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\00ddf050-6939-4f33-9e54-fcb309b895ec.wav,0.0,9.12,1,train_augmentation_only,noise_high,42,145920,145920,1.1738243103027344,0.9990000128746033,10.0,,13.345446546588418,63340_seg_0,63340,FSD50K_UPLOADER::reinsamba,1,FSD50K
8,00eead73-a2c2-480d-b2ee-d79b1a526871_seg_0__aug01__noise_moderate,8,00eead73-a2c2-480d-b2ee-d79b1a526871_seg_0,00eead73-a2c2-480d-b2ee-d79b1a526871,COUGHVID_UUID::00eead73-a2c2-480d-b2ee-d79b1a526871,4,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\00eead73-a2c2-480d-b2ee-d79b1a526871.wav,0.0,3.6,1,train_augmentation_only,noise_moderate,42,57600,57600,0.8054075241088867,0.8072406649589539,20.0,,0.07747389898076305,236428_seg_0,236428,FSD50K_UPLOADER::bcimmet,4,FSD50K
9,015576c8-2b03-4dcb-b251-78a984fe86fe_seg_0__aug01__noise_high,10,015576c8-2b03-4dcb-b251-78a984fe86fe_seg_0,015576c8-2b03-4dcb-b251-78a984fe86fe,COUGHVID_UUID::015576c8-2b03-4dcb-b251-78a984fe86fe,3,COUGHVID,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\DATA\015576c8-2b03-4dcb-b251-78a984fe86fe.wav,0.0,9.78,1,train_augmentation_only,noise_high,42,156480,156480,0.8706554174423218,0.8595397472381592,10.0,,0.023306538815525024,158622_seg_0,158622,FSD50K_UPLOADER::mrst3v3n999,3,FSD50K
