feature_index,feature_name
0,frame_mean__mfcc_01
1,frame_mean__mfcc_02
2,frame_mean__mfcc_03
3,frame_mean__mfcc_04
4,frame_mean__mfcc_05
5,frame_mean__mfcc_06
6,frame_mean__mfcc_07
7,frame_mean__mfcc_08
8,frame_mean__mfcc_09
9,frame_mean__mfcc_10
10,frame_mean__mfcc_11
11,frame_mean__mfcc_12
12,frame_mean__mfcc_13
13,frame_mean__delta_01
14,frame_mean__delta_02
15,frame_mean__delta_03
16,frame_mean__delta_04
17,frame_mean__delta_05
18,frame_mean__delta_06
19,frame_mean__delta_07
20,frame_mean__delta_08
21,frame_mean__delta_09
22,frame_mean__delta_10
23,frame_mean__delta_11
24,frame_mean__delta_12
25,frame_mean__delta_13
26,frame_mean__delta2_01
27,frame_mean__delta2_02
28,frame_mean__delta2_03
29,frame_mean__delta2_04
30,frame_mean__delta2_05
31,frame_mean__delta2_06
32,frame_mean__delta2_07
33,frame_mean__delta2_08
34,frame_mean__delta2_09
35,frame_mean__delta2_10
36,frame_mean__delta2_11
37,frame_mean__delta2_12
38,frame_mean__delta2_13
39,frame_std__mfcc_01
40,frame_std__mfcc_02
41,frame_std__mfcc_03
42,frame_std__mfcc_04
43,frame_std__mfcc_05
44,frame_std__mfcc_06
45,frame_std__mfcc_07
46,frame_std__mfcc_08
47,frame_std__mfcc_09
48,frame_std__mfcc_10
49,frame_std__mfcc_11
50,frame_std__mfcc_12
51,frame_std__mfcc_13
52,frame_std__delta_01
53,frame_std__delta_02
54,frame_std__delta_03
55,frame_std__delta_04
56,frame_std__delta_05
57,frame_std__delta_06
58,frame_std__delta_07
59,frame_std__delta_08
60,frame_std__delta_09
61,frame_std__delta_10
62,frame_std__delta_11
63,frame_std__delta_12
64,frame_std__delta_13
65,frame_std__delta2_01
66,frame_std__delta2_02
67,frame_std__delta2_03
68,frame_std__delta2_04
69,frame_std__delta2_05
70,frame_std__delta2_06
71,frame_std__delta2_07
72,frame_std__delta2_08
73,frame_std__delta2_09
74,frame_std__delta2_10
75,frame_std__delta2_11
76,frame_std__delta2_12
77,frame_std__delta2_13
78,frame_max__mfcc_01
79,frame_max__mfcc_02
80,frame_max__mfcc_03
81,frame_max__mfcc_04
82,frame_max__mfcc_05
83,frame_max__mfcc_06
84,frame_max__mfcc_07
85,frame_max__mfcc_08
86,frame_max__mfcc_09
87,frame_max__mfcc_10
88,frame_max__mfcc_11
89,frame_max__mfcc_12
90,frame_max__mfcc_13
91,frame_max__delta_01
92,frame_max__delta_02
93,frame_max__delta_03
94,frame_max__delta_04
95,frame_max__delta_05
96,frame_max__delta_06
97,frame_max__delta_07
98,frame_max__delta_08
99,frame_max__delta_09
100,frame_max__delta_10
101,frame_max__delta_11
102,frame_max__delta_12
103,frame_max__delta_13
104,frame_max__delta2_01
105,frame_max__delta2_02
106,frame_max__delta2_03
107,frame_max__delta2_04
108,frame_max__delta2_05
109,frame_max__delta2_06
110,frame_max__delta2_07
111,frame_max__delta2_08
112,frame_max__delta2_09
113,frame_max__delta2_10
114,frame_max__delta2_11
115,frame_max__delta2_12
116,frame_max__delta2_13
