feature_index,feature_name
0,event_mean__frame_mean__mfcc_01
1,event_mean__frame_mean__mfcc_02
2,event_mean__frame_mean__mfcc_03
3,event_mean__frame_mean__mfcc_04
4,event_mean__frame_mean__mfcc_05
5,event_mean__frame_mean__mfcc_06
6,event_mean__frame_mean__mfcc_07
7,event_mean__frame_mean__mfcc_08
8,event_mean__frame_mean__mfcc_09
9,event_mean__frame_mean__mfcc_10
10,event_mean__frame_mean__mfcc_11
11,event_mean__frame_mean__mfcc_12
12,event_mean__frame_mean__mfcc_13
13,event_mean__frame_mean__delta_01
14,event_mean__frame_mean__delta_02
15,event_mean__frame_mean__delta_03
16,event_mean__frame_mean__delta_04
17,event_mean__frame_mean__delta_05
18,event_mean__frame_mean__delta_06
19,event_mean__frame_mean__delta_07
20,event_mean__frame_mean__delta_08
21,event_mean__frame_mean__delta_09
22,event_mean__frame_mean__delta_10
23,event_mean__frame_mean__delta_11
24,event_mean__frame_mean__delta_12
25,event_mean__frame_mean__delta_13
26,event_mean__frame_mean__delta2_01
27,event_mean__frame_mean__delta2_02
28,event_mean__frame_mean__delta2_03
29,event_mean__frame_mean__delta2_04
30,event_mean__frame_mean__delta2_05
31,event_mean__frame_mean__delta2_06
32,event_mean__frame_mean__delta2_07
33,event_mean__frame_mean__delta2_08
34,event_mean__frame_mean__delta2_09
35,event_mean__frame_mean__delta2_10
36,event_mean__frame_mean__delta2_11
37,event_mean__frame_mean__delta2_12
38,event_mean__frame_mean__delta2_13
39,event_mean__frame_std__mfcc_01
40,event_mean__frame_std__mfcc_02
41,event_mean__frame_std__mfcc_03
42,event_mean__frame_std__mfcc_04
43,event_mean__frame_std__mfcc_05
44,event_mean__frame_std__mfcc_06
45,event_mean__frame_std__mfcc_07
46,event_mean__frame_std__mfcc_08
47,event_mean__frame_std__mfcc_09
48,event_mean__frame_std__mfcc_10
49,event_mean__frame_std__mfcc_11
50,event_mean__frame_std__mfcc_12
51,event_mean__frame_std__mfcc_13
52,event_mean__frame_std__delta_01
53,event_mean__frame_std__delta_02
54,event_mean__frame_std__delta_03
55,event_mean__frame_std__delta_04
56,event_mean__frame_std__delta_05
57,event_mean__frame_std__delta_06
58,event_mean__frame_std__delta_07
59,event_mean__frame_std__delta_08
60,event_mean__frame_std__delta_09
61,event_mean__frame_std__delta_10
62,event_mean__frame_std__delta_11
63,event_mean__frame_std__delta_12
64,event_mean__frame_std__delta_13
65,event_mean__frame_std__delta2_01
66,event_mean__frame_std__delta2_02
67,event_mean__frame_std__delta2_03
68,event_mean__frame_std__delta2_04
69,event_mean__frame_std__delta2_05
70,event_mean__frame_std__delta2_06
71,event_mean__frame_std__delta2_07
72,event_mean__frame_std__delta2_08
73,event_mean__frame_std__delta2_09
74,event_mean__frame_std__delta2_10
75,event_mean__frame_std__delta2_11
76,event_mean__frame_std__delta2_12
77,event_mean__frame_std__delta2_13
78,event_mean__frame_max__mfcc_01
79,event_mean__frame_max__mfcc_02
80,event_mean__frame_max__mfcc_03
81,event_mean__frame_max__mfcc_04
82,event_mean__frame_max__mfcc_05
83,event_mean__frame_max__mfcc_06
84,event_mean__frame_max__mfcc_07
85,event_mean__frame_max__mfcc_08
86,event_mean__frame_max__mfcc_09
87,event_mean__frame_max__mfcc_10
88,event_mean__frame_max__mfcc_11
89,event_mean__frame_max__mfcc_12
90,event_mean__frame_max__mfcc_13
91,event_mean__frame_max__delta_01
92,event_mean__frame_max__delta_02
93,event_mean__frame_max__delta_03
94,event_mean__frame_max__delta_04
95,event_mean__frame_max__delta_05
96,event_mean__frame_max__delta_06
97,event_mean__frame_max__delta_07
98,event_mean__frame_max__delta_08
99,event_mean__frame_max__delta_09
100,event_mean__frame_max__delta_10
101,event_mean__frame_max__delta_11
102,event_mean__frame_max__delta_12
103,event_mean__frame_max__delta_13
104,event_mean__frame_max__delta2_01
105,event_mean__frame_max__delta2_02
106,event_mean__frame_max__delta2_03
107,event_mean__frame_max__delta2_04
108,event_mean__frame_max__delta2_05
109,event_mean__frame_max__delta2_06
110,event_mean__frame_max__delta2_07
111,event_mean__frame_max__delta2_08
112,event_mean__frame_max__delta2_09
113,event_mean__frame_max__delta2_10
114,event_mean__frame_max__delta2_11
115,event_mean__frame_max__delta2_12
116,event_mean__frame_max__delta2_13
117,event_std__frame_mean__mfcc_01
118,event_std__frame_mean__mfcc_02
119,event_std__frame_mean__mfcc_03
120,event_std__frame_mean__mfcc_04
121,event_std__frame_mean__mfcc_05
122,event_std__frame_mean__mfcc_06
123,event_std__frame_mean__mfcc_07
124,event_std__frame_mean__mfcc_08
125,event_std__frame_mean__mfcc_09
126,event_std__frame_mean__mfcc_10
127,event_std__frame_mean__mfcc_11
128,event_std__frame_mean__mfcc_12
129,event_std__frame_mean__mfcc_13
130,event_std__frame_mean__delta_01
131,event_std__frame_mean__delta_02
