uuid_segmento,original_uuid,split,fold,cough_type,stage2_target,cough_type_consensus,segment_duration,peak_amplitude,detected_event_count,output_event_count,fallback_used,segmentation_config,segmentation_method,enforce_non_overlap
0029d048-898a-4c70-89c7-0815cdcf7391_seg_0,0029d048-898a-4c70-89c7-0815cdcf7391,train,0,dry,0,weak_expert,9.84,0.9059455394744873,5,5,False,top15_margin6_smooth30_gap500_min80_win1500,energy_hysteresis_bounded_merge_nonoverlap_v3,True
006d8d1c-2bf6-46a6-8ef2-1823898a4733_seg_0,006d8d1c-2bf6-46a6-8ef2-1823898a4733,train,0,dry,0,weak_expert,9.96,0.870229959487915,2,2,False,top15_margin6_smooth30_gap500_min80_win1500,energy_hysteresis_bounded_merge_nonoverlap_v3,True
00ddf050-6939-4f33-9e54-fcb309b895ec_seg_0,00ddf050-6939-4f33-9e54-fcb309b895ec,train,0,dry,0,weak_expert,9.12,1.1738243103027344,4,4,False,top15_margin6_smooth30_gap500_min80_win1500,energy_hysteresis_bounded_merge_nonoverlap_v3,True
03c8796e-547e-4158-ae5f-7c613aaeb02f_seg_0,03c8796e-547e-4158-ae5f-7c613aaeb02f,train,0,dry,0,weak_expert,9.84,0.9232472777366638,4,4,False,top15_margin6_smooth30_gap500_min80_win1500,energy_hysteresis_bounded_merge_nonoverlap_v3,True
05458ac9-b4d3-4558-b6b2-b2bf7036f16c_seg_0,05458ac9-b4d3-4558-b6b2-b2bf7036f16c,train,0,dry,0,weak_expert,9.84,0.9077988862991333,2,2,False,top15_margin6_smooth30_gap500_min80_win1500,energy_hysteresis_bounded_merge_nonoverlap_v3,True
0593e9bf-e162-46c2-b1d5-3bc34ef1fc6f_seg_0,0593e9bf-e162-46c2-b1d5-3bc34ef1fc6f,train,0,dry,0,weak_expert,9.78,0.9140759110450745,6,6,False,top15_margin6_smooth30_gap500_min80_win1500,energy_hysteresis_bounded_merge_nonoverlap_v3,True
062c3a7f-a783-4b43-806e-6db83aa0da15_seg_0,062c3a7f-a783-4b43-806e-6db83aa0da15,train,0,dry,0,weak_expert,8.94,0.8694179058074951,6,6,False,top15_margin6_smooth30_gap500_min80_win1500,energy_hysteresis_bounded_merge_nonoverlap_v3,True
076f59de-0637-4ee1-951c-f2e0784e8a53_seg_0,076f59de-0637-4ee1-951c-f2e0784e8a53,train,0,dry,0,weak_expert,9.84,0.8418287038803101,1,1,False,top15_margin6_smooth30_gap500_min80_win1500,energy_hysteresis_bounded_merge_nonoverlap_v3,True
08024f8a-88fb-4298-9656-04da97112ae6_seg_0,08024f8a-88fb-4298-9656-04da97112ae6,train,0,dry,0,weak_expert,3.06,0.8098016977310181,2,2,False,top15_margin6_smooth30_gap500_min80_win1500,energy_hysteresis_bounded_merge_nonoverlap_v3,True
089f764a-6620-4554-8519-ac64f833a5d5_seg_0,089f764a-6620-4554-8519-ac64f833a5d5,train,0,dry,0,weak_expert,9.78,0.8422179222106934,2,2,False,top15_margin6_smooth30_gap500_min80_win1500,energy_hysteresis_bounded_merge_nonoverlap_v3,True
08d5d346-6219-4e6d-ac06-ef489f2d186c_seg_0,08d5d346-6219-4e6d-ac06-ef489f2d186c,train,0,dry,0,weak_expert,9.72,0.8623559474945068,3,3,False,top15_margin6_smooth30_gap500_min80_win1500,energy_hysteresis_bounded_merge_nonoverlap_v3,True
0b43fe9d-c9d6-4d0d-abf9-52f6b3712325_seg_0,0b43fe9d-c9d6-4d0d-abf9-52f6b3712325,train,0,dry,0,weak_expert,2.76,0.9033603072166443,1,1,False,top15_margin6_smooth30_gap500_min80_win1500,energy_hysteresis_bounded_merge_nonoverlap_v3,True
0e8c849d-9a13-4d43-b6b5-be14a334b77c_seg_0,0e8c849d-9a13-4d43-b6b5-be14a334b77c,train,0,dry,0,weak_expert,9.78,0.850407600402832,3,3,False,top15_margin6_smooth30_gap500_min80_win1500,energy_hysteresis_bounded_merge_nonoverlap_v3,True
0ef3c0bc-56c3-44da-bea0-dc31a158414a_seg_0,0ef3c0bc-56c3-44da-bea0-dc31a158414a,train,0,dry,0,weak_expert,6.18,0.7898346781730652,2,2,False,top15_margin6_smooth30_gap500_min80_win1500,energy_hysteresis_bounded_merge_nonoverlap_v3,True
0f746594-9aa2-4681-addd-bea6230b9027_seg_0,0f746594-9aa2-4681-addd-bea6230b9027,train,0,dry,0,weak_expert,9.9,0.7829041481018066,3,3,False,top15_margin6_smooth30_gap500_min80_win1500,energy_hysteresis_bounded_merge_nonoverlap_v3,True
11237f1a-3eb2-4cf7-80f7-116df4b1699a_seg_0,11237f1a-3eb2-4cf7-80f7-116df4b1699a,train,0,dry,0,weak_expert,9.18,0.7814700603485107,3,3,False,top15_margin6_smooth30_gap500_min80_win1500,energy_hysteresis_bounded_merge_nonoverlap_v3,True
12a7d4c8-1dea-4ba3-a9a9-73fbeca9cc96_seg_0,12a7d4c8-1dea-4ba3-a9a9-73fbeca9cc96,train,0,dry,0,weak_expert,6.78,0.9045645594596863,1,1,False,top15_margin6_smooth30_gap500_min80_win1500,energy_hysteresis_bounded_merge_nonoverlap_v3,True
159c098b-ec97-45cf-aeb7-ff389a98d95c_seg_0,159c098b-ec97-45cf-aeb7-ff389a98d95c,train,0,dry,0,weak_expert,9.78,0.8933850526809692,2,2,False,top15_margin6_smooth30_gap500_min80_win1500,energy_hysteresis_bounded_merge_nonoverlap_v3,True
164ff16d-2af8-4724-9a57-3b3bd7e17839_seg_0,164ff16d-2af8-4724-9a57-3b3bd7e17839,train,0,dry,0,weak_expert,8.28,0.8487074375152588,2,2,False,top15_margin6_smooth30_gap500_min80_win1500,energy_hysteresis_bounded_merge_nonoverlap_v3,True
19654d11-2cef-46ec-8007-4a4c7bea60af_seg_0,19654d11-2cef-46ec-8007-4a4c7bea60af,train,0,dry,0,weak_expert,9.5091875,0.8858172297477722,3,3,False,top15_margin6_smooth30_gap500_min80_win1500,energy_hysteresis_bounded_merge_nonoverlap_v3,True
1adc614f-9f34-451c-ac33-47a411f0a06d_seg_0,1adc614f-9f34-451c-ac33-47a411f0a06d,train,0,dry,0,weak_expert,9.96,0.9307469129562378,4,4,False,top15_margin6_smooth30_gap500_min80_win1500,energy_hysteresis_bounded_merge_nonoverlap_v3,True
