config_key,segmentation_config,audit_group,audio_count,event_count,merged_event_count,event_exceeds_output_window_count,events_per_audio_mean,events_per_audio_median,events_per_audio_p95,fallback_count,fallback_pct,adjacent_pair_count,overlapping_pair_count,overlapping_pair_pct,overlap_50_pair_count,overlap_50_pair_pct,overlap_75_pair_count,overlap_75_pair_pct,segments_any_overlap,segments_any_overlap_pct,segments_overlap_50,segments_overlap_50_pct
baseline,top25_margin3_smooth30_gap200_min80_win1500,dry_gold,5,13,9,0,2.6,2.0,4.6,0,0.0,8,5,62.5,1,12.5,0,0.0,2,40.0,1,20.0
baseline,top25_margin3_smooth30_gap200_min80_win1500,dry_weak,5,9,6,0,1.8,2.0,2.8,0,0.0,4,2,50.0,0,0.0,0,0.0,2,40.0,0,0.0
baseline,top25_margin3_smooth30_gap200_min80_win1500,wet_gold,5,20,11,0,4.0,3.0,7.999999999999999,0,0.0,15,12,80.0,3,20.0,1,6.666666666666667,4,80.0,2,40.0
baseline,top25_margin3_smooth30_gap200_min80_win1500,wet_weak,5,30,12,0,6.0,5.0,8.8,0,0.0,25,17,68.0,3,12.0,0,0.0,5,100.0,2,40.0
moderate,top20_margin5_smooth30_gap200_min80_win1500,dry_gold,5,13,8,0,2.6,3.0,3.8,0,0.0,8,4,50.0,2,25.0,0,0.0,2,40.0,1,20.0
moderate,top20_margin5_smooth30_gap200_min80_win1500,dry_weak,5,9,6,0,1.8,2.0,2.8,0,0.0,4,2,50.0,0,0.0,0,0.0,2,40.0,0,0.0
moderate,top20_margin5_smooth30_gap200_min80_win1500,wet_gold,5,16,9,0,3.2,3.0,5.3999999999999995,0,0.0,11,7,63.63636363636363,0,0.0,0,0.0,3,60.0,0,0.0
moderate,top20_margin5_smooth30_gap200_min80_win1500,wet_weak,5,29,14,0,5.8,5.0,7.6,0,0.0,24,17,70.83333333333333,5,20.833333333333332,0,0.0,5,100.0,3,60.0
strict,top15_margin6_smooth30_gap200_min80_win1500,dry_gold,5,12,8,0,2.4,2.0,3.0,0,0.0,7,2,28.571428571428573,1,14.285714285714286,0,0.0,2,40.0,1,20.0
strict,top15_margin6_smooth30_gap200_min80_win1500,dry_weak,5,9,6,0,1.8,2.0,2.8,0,0.0,4,2,50.0,0,0.0,0,0.0,2,40.0,0,0.0
strict,top15_margin6_smooth30_gap200_min80_win1500,wet_gold,5,16,8,0,3.2,3.0,5.3999999999999995,0,0.0,11,7,63.63636363636363,0,0.0,0,0.0,3,60.0,0,0.0
strict,top15_margin6_smooth30_gap200_min80_win1500,wet_weak,5,26,12,0,5.2,5.0,6.0,0,0.0,21,18,85.71428571428571,5,23.80952380952381,0,0.0,5,100.0,3,60.0
