audit_id,audit_group,original_uuid,uuid_segmento,cough_type,cough_type_consensus,config_key,segmentation_config,segmentation_method,event_index,event_id,event_start_relative,event_end_relative,event_duration,event_peak_relative,window_start_relative,window_end_relative,window_padding_left,window_padding_right,event_start,event_end,event_peak,window_start,window_end,event_too_long,event_exceeds_output_window,merged_active_run_count,merge_span_limit_ms,noise_floor_db,on_threshold_db,off_threshold_db,detected_by_energy,fallback_no_event
PAR001,dry_gold,48b287c0-5c2b-44ef-b469-3808b3b287ea,48b287c0-5c2b-44ef-b469-3808b3b287ea_seg_0,dry,gold_expert,baseline,top25_margin3_smooth30_gap200_min80_win1500,energy_hysteresis_bounded_merge_v2,0,48b287c0-5c2b-44ef-b469-3808b3b287ea_seg_0__baseline__event_000,3.49000004196167,4.351999965667725,0.8619999237060547,3.746000051498413,2.996000051498413,4.496000051498413,0.0,0.0,3.49000004196167,4.351999965667725,3.746000051498413,2.996000051498413,4.496000051498413,False,False,2,1500.0,-80.0,-25.0,-28.0,True,False
PAR001,dry_gold,48b287c0-5c2b-44ef-b469-3808b3b287ea,48b287c0-5c2b-44ef-b469-3808b3b287ea_seg_0,dry,gold_expert,baseline,top25_margin3_smooth30_gap200_min80_win1500,energy_hysteresis_bounded_merge_v2,1,48b287c0-5c2b-44ef-b469-3808b3b287ea_seg_0__baseline__event_001,5.030000003814697,5.862000194549561,0.8320001907348633,5.685999870300293,4.935999870300293,6.435999870300293,0.0,0.0,5.030000003814697,5.862000194549561,5.685999870300293,4.935999870300293,6.435999870300293,False,False,2,1500.0,-80.0,-25.0,-28.0,True,False
PAR002,dry_gold,e6448323-4be3-4fac-ba98-33aee0de0817,e6448323-4be3-4fac-ba98-33aee0de0817_seg_0,dry,gold_expert,baseline,top25_margin3_smooth30_gap200_min80_win1500,energy_hysteresis_bounded_merge_v2,0,e6448323-4be3-4fac-ba98-33aee0de0817_seg_0__baseline__event_000,2.3399999465942383,2.6920001182556152,0.352000171661377,2.385999917984009,1.6359999179840088,3.135999917984009,0.0,0.0,2.3399999465942383,2.6920001182556152,2.385999917984009,1.6359999179840088,3.135999917984009,False,False,2,1500.0,-80.0,-25.0,-28.0,True,False
PAR002,dry_gold,e6448323-4be3-4fac-ba98-33aee0de0817,e6448323-4be3-4fac-ba98-33aee0de0817_seg_0,dry,gold_expert,baseline,top25_margin3_smooth30_gap200_min80_win1500,energy_hysteresis_bounded_merge_v2,1,e6448323-4be3-4fac-ba98-33aee0de0817_seg_0__baseline__event_001,4.249999794006348,4.462000099182129,0.21200030517578128,4.306000232696533,3.556000232696533,5.056000232696533,0.0,0.0,4.249999794006348,4.462000099182129,4.306000232696533,3.556000232696533,5.056000232696533,False,False,1,1500.0,-80.0,-25.0,-28.0,True,False
PAR002,dry_gold,e6448323-4be3-4fac-ba98-33aee0de0817,e6448323-4be3-4fac-ba98-33aee0de0817_seg_0,dry,gold_expert,baseline,top25_margin3_smooth30_gap200_min80_win1500,energy_hysteresis_bounded_merge_v2,2,e6448323-4be3-4fac-ba98-33aee0de0817_seg_0__baseline__event_002,5.720000061035156,6.051999774932861,0.3319997138977051,5.785999774932861,5.035999774932861,6.535999774932861,0.0,0.0,5.720000061035156,6.051999774932861,5.785999774932861,5.035999774932861,6.535999774932861,False,False,2,1500.0,-80.0,-25.0,-28.0,True,False
PAR003,dry_gold,b010f28f-e601-49de-9293-fb65fdad2dd4,b010f28f-e601-49de-9293-fb65fdad2dd4_seg_0,dry,gold_expert,baseline,top25_margin3_smooth30_gap200_min80_win1500,energy_hysteresis_bounded_merge_v2,0,b010f28f-e601-49de-9293-fb65fdad2dd4_seg_0__baseline__event_000,1.1100000467300415,2.3020000133514404,1.191999966621399,1.4160000085830688,0.8020000133514404,2.3020000133514404,0.0,0.0,1.1100000467300415,2.3020000133514404,1.4160000085830688,0.8020000133514404,2.3020000133514404,False,False,2,1500.0,-36.521018981933594,-25.0,-28.0,True,False
PAR004,dry_gold,51d4bc80-1f02-4ffa-8e2e-1dc3527a0979,51d4bc80-1f02-4ffa-8e2e-1dc3527a0979_seg_0,dry,gold_expert,baseline,top25_margin3_smooth30_gap200_min80_win1500,energy_hysteresis_bounded_merge_v2,0,51d4bc80-1f02-4ffa-8e2e-1dc3527a0979_seg_0__baseline__event_000,0.319999995470047,1.52200004196167,1.202000046491623,0.38600000739097595,0.022000041961669936,1.52200004196167,0.0,0.0,0.319999995470047,1.52200004196167,0.38600000739097595,0.022000041961669936,1.52200004196167,False,False,3,1500.0,-32.96305847167969,-25.0,-28.0,True,False
PAR004,dry_gold,51d4bc80-1f02-4ffa-8e2e-1dc3527a0979,51d4bc80-1f02-4ffa-8e2e-1dc3527a0979_seg_0,dry,gold_expert,baseline,top25_margin3_smooth30_gap200_min80_win1500,energy_hysteresis_bounded_merge_v2,1,51d4bc80-1f02-4ffa-8e2e-1dc3527a0979_seg_0__baseline__event_001,2.3799999084472656,3.7920000228881836,1.412000114440918,2.9159998893737793,2.2920000228881836,3.7920000228881836,0.0,0.0,2.3799999084472656,3.7920000228881836,2.9159998893737793,2.2920000228881836,3.7920000228881836,False,False,4,1500.0,-32.96305847167969,-25.0,-28.0,True,False
PAR005,dry_gold,8f5531fb-5c2a-450b-b14c-4321085887d8,8f5531fb-5c2a-450b-b14c-4321085887d8_seg_0,dry,gold_expert,baseline,top25_margin3_smooth30_gap200_min80_win1500,energy_hysteresis_bounded_merge_v2,0,8f5531fb-5c2a-450b-b14c-4321085887d8_seg_0__baseline__event_000,2.6199999179840088,3.4920000705718994,0.8720001525878907,2.6760001182556152,1.9920000705718994,3.4920000705718994,0.0,0.0,2.6199999179840088,3.4920000705718994,2.6760001182556152,1.9920000705718994,3.4920000705718994,False,False,2,1500.0,-66.95339965820312,-25.0,-28.0,True,False
PAR005,dry_gold,8f5531fb-5c2a-450b-b14c-4321085887d8,8f5531fb-5c2a-450b-b14c-4321085887d8_seg_0,dry,gold_expert,baseline,top25_margin3_smooth30_gap200_min80_win1500,energy_hysteresis_bounded_merge_v2,1,8f5531fb-5c2a-450b-b14c-4321085887d8_seg_0__baseline__event_001,3.680000099182129,4.181999889373779,0.5019997901916504,3.815999984741211,3.065999984741211,4.565999984741211,0.0,0.0,3.680000099182129,4.181999889373779,3.815999984741211,3.065999984741211,4.565999984741211,False,False,1,1500.0,-66.95339965820312,-25.0,-28.0,True,False
