fname,source_archive_member,destination_path,file_size_bytes,sha256,sample_rate,channels,subtype,frames,duration_seconds,extraction_status
102539,FSD50K.dev_audio\102539.wav,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\102539.wav,842350,368f31100b50053c17f58b6373ad5951ef75d98aef76794839033f52705a9c8f,44100,1,PCM_16,421136,9.549569160997732,extracted_and_validated
109638,FSD50K.dev_audio\109638.wav,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\109638.wav,379704,9dce177cd4a7f012a05442795a60eb577050a0d4ca3cd6af3c4b1a9a7a5f5bf8,44100,1,PCM_16,189813,4.3041496598639455,extracted_and_validated
109639,FSD50K.dev_audio\109639.wav,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\109639.wav,277202,99df6cafbb6aa0d6afe5ad68895bff43c32bd95ddc4cdbb3858b95af2f50bd9b,44100,1,PCM_16,138562,3.1419954648526076,extracted_and_validated
109640,FSD50K.dev_audio\109640.wav,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\109640.wav,427268,c9e7f19b892d44eb705abf55a8dfcbe5ec4488a6b858c383ae196330d9ebbd08,44100,1,PCM_16,213595,4.84342403628118,extracted_and_validated
120213,FSD50K.dev_audio\120213.wav,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\120213.wav,2634318,85d589799861027e648eda24098479745d281ab2b4aee00eee081e9cfdb8c21f,44100,1,PCM_16,1317120,29.866666666666667,extracted_and_validated
125418,FSD50K.dev_audio\125418.wav,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\125418.wav,326864,2d4515e0466f8041ebe50b2ab9a1eea4b60714131f6fe9d4fcb211cff1b20708,44100,1,PCM_16,163393,3.7050566893424035,extracted_and_validated
132601,FSD50K.dev_audio\132601.wav,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\132601.wav,129756,00925dc85b6f4eface697f95fd4e5fabaa836b51e6523b217aeef9f404e162ae,44100,1,PCM_16,64839,1.4702721088435373,extracted_and_validated
142603,FSD50K.dev_audio\142603.wav,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\142603.wav,207526,127b3c4eb813bbb4a37c9d281c70148b1699c04ec0ad4e706a1e8b23d34c4107,44100,1,PCM_16,103724,2.352018140589569,extracted_and_validated
142604,FSD50K.dev_audio\142604.wav,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\142604.wav,637236,c98c7426ed4607eda19f2c461f1f1dba074e6e33b87227263cf30611c0ef29c9,44100,1,PCM_16,318579,7.224013605442177,extracted_and_validated
144254,FSD50K.dev_audio\144254.wav,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\144254.wav,221262,0299ea42690af9703e81dcab8c36ccf0429254a2be6c82a4708393a6f2d22231,44100,1,PCM_16,110592,2.507755102040816,extracted_and_validated
