# AUDITORIA MANUAL DE TOSES FSD50K PARA STAGE 1
# Escucha cada WAV y escribe SI o NO en la tercera columna.
# Si tienes dudas, deja la respuesta vacia y explicalo en notas.
# No cambies el numero de orden ni el nombre del archivo.
review_order	filename	has_cough_si_no	notes
001	109638.wav		
002	31748.wav		
003	55616.wav		no
004	323532.wav		
005	390361.wav		
006	144254.wav		
007	331064.wav		
008	353649.wav		
009	399619.wav		no
010	334052.wav		no
011	84695.wav		
012	391169.wav		no
013	331058.wav		
014	39713.wav		
015	180045.wav		
016	252223.wav		
017	342669.wav		no
018	87411.wav		
019	343904.wav		no
020	317439.wav		
021	211524.wav		no
022	47135.wav		
023	155905.wav		
024	45578.wav		
025	207829.wav		
026	257770.wav		
027	331059.wav		
028	326891.wav		
029	323511.wav		no
030	208761.wav		
031	331068.wav		
032	262017.wav		no
033	346648.wav		
034	84690.wav		
035	385829.wav		
036	343880.wav		
037	82717.wav		no
038	323692.wav		no
039	171542.wav		
040	19119.wav		
041	323698.wav		no
042	19123.wav		
043	19112.wav		
044	19111.wav		
045	343912.wav		no
046	252220.wav		no
047	151921.wav		no
048	180046.wav		no
049	102539.wav		no
050	381371.wav		no
051	178997.wav		
052	399624.wav		
053	399618.wav		no
054	331065.wav		
055	196283.wav		
056	273602.wav		no
057	87512.wav		
058	325569.wav		
059	148205.wav		no
060	254466.wav		
061	30830.wav		
062	87795.wav		
063	19117.wav		
064	343913.wav		no
065	331063.wav		
066	252241.wav		
067	377267.wav		no
068	252229.wav		no
069	351161.wav		no
070	189786.wav		
071	337678.wav		
072	41385.wav		
073	125403.wav		
074	19116.wav		no
075	213856.wav		
076	346490.wav		
077	45150.wav		
078	73327.wav		
079	45577.wav		
080	152995.wav		
081	19113.wav		
082	87797.wav		
083	87799.wav		
084	407839.wav		
085	180043.wav		
086	155904.wav		
087	132601.wav		
088	96189.wav		
089	45575.wav		
090	411083.wav		no
091	154434.wav		
092	41386.wav		
093	257765.wav		no
094	334154.wav		
095	65184.wav		no
096	399463.wav		no
097	331061.wav		
098	323693.wav		no
099	19120.wav		
100	318079.wav		
101	87513.wav		
102	433639.wav		
103	109639.wav		
104	386210.wav		
105	332989.wav		
106	149042.wav		
107	365476.wav		
108	151213.wav		
109	95530.wav		
110	155603.wav		
111	267055.wav		no
112	120213.wav		
113	87796.wav		no
114	211197.wav		
115	87511.wav		
116	180037.wav		
117	149043.wav		
118	213047.wav		
119	171396.wav		
120	410493.wav		
121	63752.wav		
122	260907.wav		no
123	19803.wav		no
124	95531.wav		
125	254467.wav		
126	432095.wav		no
127	195771.wav		
128	334051.wav		
129	180042.wav		
130	353669.wav		
131	323510.wav		no
132	386527.wav		no
133	19804.wav		
134	19122.wav		no
135	252231.wav		no
136	432377.wav		
137	336529.wav		
138	432266.wav		no
139	426271.wav		
140	341086.wav		
141	69491.wav		no
142	32169.wav		
143	91974.wav		no
144	210431.wav		no
145	142603.wav		
146	389289.wav		
147	433640.wav		no
148	336672.wav		no
149	148225.wav		
150	191337.wav		no
151	323695.wav		no
152	381372.wav		no
153	252240.wav		
154	180041.wav		
155	422136.wav		
156	152367.wav		
157	68034.wav		
158	46971.wav		
159	145487.wav		
160	19124.wav		
161	180044.wav		no
162	148310.wav		
163	319363.wav		
164	177835.wav		
165	98676.wav		
166	272029.wav		
167	157293.wav		
168	26336.wav		no
169	377260.wav		no
170	331060.wav		
171	180040.wav		
172	365158.wav		
173	87798.wav		
174	87794.wav		
175	90073.wav		
176	240375.wav		
177	151212.wav		
178	432193.wav		
179	47134.wav		no
180	77459.wav		no
181	41387.wav		
182	180036.wav		no
183	142604.wav		
184	154443.wav		
185	45574.wav		
186	184871.wav		
187	343905.wav		no
188	148224.wav		
189	218306.wav		
190	30091.wav		
191	109640.wav		
192	240374.wav		no
193	253775.wav		no
194	240373.wav		
195	39878.wav		no
196	17167.wav		
197	389285.wav		
198	252242.wav		
199	323696.wav		no
200	201733.wav		
201	148212.wav		
202	324769.wav		
203	19114.wav		
204	395199.wav		
205	344632.wav		
206	343986.wav		
207	45925.wav		
208	169726.wav		
209	432380.wav		
210	17168.wav		
211	157296.wav		
212	19118.wav		
213	323694.wav		no
214	399627.wav		
215	87961.wav		
216	77157.wav		
217	331057.wav		
218	368380.wav		no
219	331056.wav		
220	360890.wav		
221	210733.wav		
222	125418.wav		
223	19115.wav		
224	331052.wav		
225	343885.wav		no
226	154444.wav		
227	155591.wav		
228	151217.wav		
229	326096.wav		
230	51136.wav		
231	346489.wav		
232	219768.wav		no
233	87412.wav		
234	343910.wav		no
235	252219.wav		no
236	263935.wav		
237	223522.wav		
238	348364.wav		
239	331067.wav		no
