fname,labels,mids,split,title,uploader,license,license_id,license_allowed,license_rejection_reason,additional_non_hierarchical_labels,has_additional_non_hierarchical_labels,audio_profile,local_audio_status,local_paths,conflict_in_negative_directory,selection_status,manual_review_status,dataset_origin,label,stage1_target,cough_type,cough_type_label,cough_type_consensus,stage2_eligible,stage2_exclusion_reason,source_url,planned_transformations,attribution_text,labels_exact
13799,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",train,babycough01.wav,pfly,http://creativecommons.org/licenses/sampling+/1.0/,,False,license_not_in_exact_allowlist,,False,cough_with_expected_hierarchy_only,missing,,False,rejected_license,recommended_random_audit,FSD50K,1,1,unknown,3,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,https://freesound.org/s/13799/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""babycough01.wav"" by pfly; Freesound ID 13799; nan (http://creativecommons.org/licenses/sampling+/1.0/); accessed through FSD50K.",Cough|Respiratory_sounds
144010,"Laughter,Cough,Human_voice,Respiratory_sounds","/m/01j3sz,/m/01b_21,/m/09l8g,/m/09hlz4",train,laughing.wav,are16ocean,http://creativecommons.org/licenses/by-nc/3.0/,,False,license_not_in_exact_allowlist,Laughter,True,cough_with_additional_labels_review_required,missing,,False,rejected_license,mandatory_review_before_training,FSD50K,1,1,unknown,3,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,https://freesound.org/s/144010/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""laughing.wav"" by are16ocean; Freesound ID 144010; nan (http://creativecommons.org/licenses/by-nc/3.0/); accessed through FSD50K.",Cough|Human_voice|Laughter|Respiratory_sounds
171121,"Laughter,Cough,Human_voice,Respiratory_sounds","/m/01j3sz,/m/01b_21,/m/09l8g,/m/09hlz4",train,laugh_and_applause_2.wav,ondrosik,http://creativecommons.org/licenses/by-nc/3.0/,,False,license_not_in_exact_allowlist,Laughter,True,cough_with_additional_labels_review_required,missing,,False,rejected_license,mandatory_review_before_training,FSD50K,1,1,unknown,3,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,https://freesound.org/s/171121/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""laugh_and_applause_2.wav"" by ondrosik; Freesound ID 171121; nan (http://creativecommons.org/licenses/by-nc/3.0/); accessed through FSD50K.",Cough|Human_voice|Laughter|Respiratory_sounds
172188,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",train,cough_clear_throat.wav,MathiasR,http://creativecommons.org/licenses/by-nc/3.0/,,False,license_not_in_exact_allowlist,,False,cough_with_expected_hierarchy_only,missing,,False,rejected_license,recommended_random_audit,FSD50K,1,1,unknown,3,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,https://freesound.org/s/172188/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""cough_clear_throat.wav"" by MathiasR; Freesound ID 172188; nan (http://creativecommons.org/licenses/by-nc/3.0/); accessed through FSD50K.",Cough|Respiratory_sounds
187909,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",train,Husten_femail.wav,mark646,http://creativecommons.org/licenses/by-nc/3.0/,,False,license_not_in_exact_allowlist,,False,cough_with_expected_hierarchy_only,missing,,False,rejected_license,recommended_random_audit,FSD50K,1,1,unknown,3,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,https://freesound.org/s/187909/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""Husten_femail.wav"" by mark646; Freesound ID 187909; nan (http://creativecommons.org/licenses/by-nc/3.0/); accessed through FSD50K.",Cough|Respiratory_sounds
19023,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",train,COUGH.wav,danglada,http://creativecommons.org/licenses/sampling+/1.0/,,False,license_not_in_exact_allowlist,,False,cough_with_expected_hierarchy_only,missing,,False,rejected_license,recommended_random_audit,FSD50K,1,1,unknown,3,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,https://freesound.org/s/19023/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""COUGH.wav"" by danglada; Freesound ID 19023; nan (http://creativecommons.org/licenses/sampling+/1.0/); accessed through FSD50K.",Cough|Respiratory_sounds
252212,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",train,05460 little baby bad cough.wav,Robinhood76,http://creativecommons.org/licenses/by-nc/3.0/,,False,license_not_in_exact_allowlist,,False,cough_with_expected_hierarchy_only,missing,,False,rejected_license,recommended_random_audit,FSD50K,1,1,unknown,3,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,https://freesound.org/s/252212/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""05460 little baby bad cough.wav"" by Robinhood76; Freesound ID 252212; nan (http://creativecommons.org/licenses/by-nc/3.0/); accessed through FSD50K.",Cough|Respiratory_sounds
254275,"Human_voice,Cough,Respiratory_sounds","/m/09l8g,/m/01b_21,/m/09hlz4",train,Airy vocal cough,Jagadamba,http://creativecommons.org/licenses/by-nc/3.0/,,False,license_not_in_exact_allowlist,,False,cough_with_expected_hierarchy_only,missing,,False,rejected_license,recommended_random_audit,FSD50K,1,1,unknown,3,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,https://freesound.org/s/254275/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""Airy vocal cough"" by Jagadamba; Freesound ID 254275; nan (http://creativecommons.org/licenses/by-nc/3.0/); accessed through FSD50K.",Cough|Human_voice|Respiratory_sounds
325777,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",train,Weak Cough four in a row .wav,150118NicoleKalamer,http://creativecommons.org/licenses/by-nc/3.0/,,False,license_not_in_exact_allowlist,,False,cough_with_expected_hierarchy_only,missing,,False,rejected_license,recommended_random_audit,FSD50K,1,1,unknown,3,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,https://freesound.org/s/325777/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""Weak Cough four in a row .wav"" by 150118NicoleKalamer; Freesound ID 325777; nan (http://creativecommons.org/licenses/by-nc/3.0/); accessed through FSD50K.",Cough|Respiratory_sounds
325778,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",train,Weak Cough Single.wav,150118NicoleKalamer,http://creativecommons.org/licenses/by-nc/3.0/,,False,license_not_in_exact_allowlist,,False,cough_with_expected_hierarchy_only,missing,,False,rejected_license,recommended_random_audit,FSD50K,1,1,unknown,3,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,https://freesound.org/s/325778/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""Weak Cough Single.wav"" by 150118NicoleKalamer; Freesound ID 325778; nan (http://creativecommons.org/licenses/by-nc/3.0/); accessed through FSD50K.",Cough|Respiratory_sounds
32662,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",train,clearing throat 1.wav,Incarnadine,http://creativecommons.org/licenses/sampling+/1.0/,,False,license_not_in_exact_allowlist,,False,cough_with_expected_hierarchy_only,missing,,False,rejected_license,recommended_random_audit,FSD50K,1,1,unknown,3,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,https://freesound.org/s/32662/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""clearing throat 1.wav"" by Incarnadine; Freesound ID 32662; nan (http://creativecommons.org/licenses/sampling+/1.0/); accessed through FSD50K.",Cough|Respiratory_sounds
32663,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",train,clearing throat 2.wav,Incarnadine,http://creativecommons.org/licenses/sampling+/1.0/,,False,license_not_in_exact_allowlist,,False,cough_with_expected_hierarchy_only,missing,,False,rejected_license,recommended_random_audit,FSD50K,1,1,unknown,3,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,https://freesound.org/s/32663/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""clearing throat 2.wav"" by Incarnadine; Freesound ID 32663; nan (http://creativecommons.org/licenses/sampling+/1.0/); accessed through FSD50K.",Cough|Respiratory_sounds
