fname,labels,mids,split,title,uploader,license,license_id,license_allowed,license_rejection_reason,additional_non_hierarchical_labels,has_additional_non_hierarchical_labels,audio_profile,local_audio_status,local_paths,conflict_in_negative_directory,selection_status,manual_review_status,dataset_origin,label,stage1_target,cough_type,cough_type_label,cough_type_consensus,stage2_eligible,stage2_exclusion_reason,source_url,planned_transformations,attribution_text,labels_exact
102539,"Speech,Cough,Human_voice,Respiratory_sounds","/m/09x0r,/m/01b_21,/m/09l8g,/m/09hlz4",train,TUBE OUT-TAKE.wav,sandyrb,http://creativecommons.org/licenses/by/3.0/,CC-BY-3.0,True,,Speech,True,cough_with_additional_labels_review_required,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\102539.wav,False,selected_license_safe,mandatory_review_before_training,FSD50K,1,1,unknown,3,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,https://freesound.org/s/102539/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""TUBE OUT-TAKE.wav"" by sandyrb; Freesound ID 102539; CC-BY-3.0 (http://creativecommons.org/licenses/by/3.0/); accessed through FSD50K.",Cough|Human_voice|Respiratory_sounds|Speech
109638,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",train,FX - tos 2.wav,vinjatovix,http://creativecommons.org/licenses/by/3.0/,CC-BY-3.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\109638.wav,False,selected_license_safe,recommended_random_audit,FSD50K,1,1,unknown,3,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,https://freesound.org/s/109638/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""FX - tos 2.wav"" by vinjatovix; Freesound ID 109638; CC-BY-3.0 (http://creativecommons.org/licenses/by/3.0/); accessed through FSD50K.",Cough|Respiratory_sounds
109639,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",train,FX - tos 3.wav,vinjatovix,http://creativecommons.org/licenses/by/3.0/,CC-BY-3.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\109639.wav,False,selected_license_safe,recommended_random_audit,FSD50K,1,1,unknown,3,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,https://freesound.org/s/109639/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""FX - tos 3.wav"" by vinjatovix; Freesound ID 109639; CC-BY-3.0 (http://creativecommons.org/licenses/by/3.0/); accessed through FSD50K.",Cough|Respiratory_sounds
109640,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",train,FX - tos.wav,vinjatovix,http://creativecommons.org/licenses/by/3.0/,CC-BY-3.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\109640.wav,False,selected_license_safe,recommended_random_audit,FSD50K,1,1,unknown,3,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,https://freesound.org/s/109640/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""FX - tos.wav"" by vinjatovix; Freesound ID 109640; CC-BY-3.0 (http://creativecommons.org/licenses/by/3.0/); accessed through FSD50K.",Cough|Respiratory_sounds
120213,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",train,Coughing.wav,sportygurl37,http://creativecommons.org/licenses/by/3.0/,CC-BY-3.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\120213.wav,False,selected_license_safe,recommended_random_audit,FSD50K,1,1,unknown,3,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,https://freesound.org/s/120213/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""Coughing.wav"" by sportygurl37; Freesound ID 120213; CC-BY-3.0 (http://creativecommons.org/licenses/by/3.0/); accessed through FSD50K.",Cough|Respiratory_sounds
125418,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",train,Man Coughing.wav,jyoung20,http://creativecommons.org/publicdomain/zero/1.0/,CC0-1.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\125418.wav,False,selected_license_safe,recommended_random_audit,FSD50K,1,1,unknown,3,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,https://freesound.org/s/125418/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""Man Coughing.wav"" by jyoung20; Freesound ID 125418; CC0-1.0 (http://creativecommons.org/publicdomain/zero/1.0/); accessed through FSD50K.",Cough|Respiratory_sounds
132601,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",train,Cough.wav,CarlosSolano019,http://creativecommons.org/licenses/by/3.0/,CC-BY-3.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\132601.wav,False,selected_license_safe,recommended_random_audit,FSD50K,1,1,unknown,3,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,https://freesound.org/s/132601/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""Cough.wav"" by CarlosSolano019; Freesound ID 132601; CC-BY-3.0 (http://creativecommons.org/licenses/by/3.0/); accessed through FSD50K.",Cough|Respiratory_sounds
142603,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",train,cough2.mp3,loisgwenllian,http://creativecommons.org/publicdomain/zero/1.0/,CC0-1.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\142603.wav,False,selected_license_safe,recommended_random_audit,FSD50K,1,1,unknown,3,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,https://freesound.org/s/142603/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""cough2.mp3"" by loisgwenllian; Freesound ID 142603; CC0-1.0 (http://creativecommons.org/publicdomain/zero/1.0/); accessed through FSD50K.",Cough|Respiratory_sounds
142604,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",train,cough1.mp3,loisgwenllian,http://creativecommons.org/publicdomain/zero/1.0/,CC0-1.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\142604.wav,False,selected_license_safe,recommended_random_audit,FSD50K,1,1,unknown,3,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,https://freesound.org/s/142604/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""cough1.mp3"" by loisgwenllian; Freesound ID 142604; CC0-1.0 (http://creativecommons.org/publicdomain/zero/1.0/); accessed through FSD50K.",Cough|Respiratory_sounds
144254,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",train,Human-Man-Coughing.wav,D W,http://creativecommons.org/licenses/by/3.0/,CC-BY-3.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\144254.wav,False,selected_license_safe,recommended_random_audit,FSD50K,1,1,unknown,3,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,https://freesound.org/s/144254/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""Human-Man-Coughing.wav"" by D W; Freesound ID 144254; CC-BY-3.0 (http://creativecommons.org/licenses/by/3.0/); accessed through FSD50K.",Cough|Respiratory_sounds
