uuid,original_uuid,uuid_segmento,fname,dataset_origin,label,stage1_target,stage1_inclusion,stage1_exclusion_reason,manual_review_decision,manual_review_has_cough,manual_review_decision_source,manual_review_completed,review_order,cough_detected,cough_type,cough_type_label,cough_type_name,cough_type_consensus,stage2_eligible,stage2_exclusion_reason,type_noise,fsd50k_official_split,audio_path,audio_relative_path,duration,start_time,end_time,labels,mids,title,uploader,license,license_id,license_allowed,license_rejection_reason,additional_non_hierarchical_labels,has_additional_non_hierarchical_labels,audio_profile,local_audio_status,local_paths,conflict_in_negative_directory,selection_status,manual_review_status,source_url,planned_transformations,attribution_text,labels_exact,file_size_bytes,sha256,sample_rate,channels,subtype,frames,duration_seconds,extraction_status,has_cough_si_no,notes,cough_rating_values,cough_rating_n_pp,cough_rating_n_pnp,cough_rating_n_uncertain,cough_rating_n_not_present,cough_rating_group
109638,109638,109638_seg_0,109638,FSD50K,1,1,True,,SI,True,blank_means_yes_by_declared_protocol,True,1,1,unknown,3,unknown,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,cough,train,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\109638.wav,FSD50K_DATA/FSD50K.dev_audio/FSD50K_cough_stage1_only/109638.wav,4.3041496598639455,0.0,4.3041496598639455,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",FX - tos 2.wav,vinjatovix,http://creativecommons.org/licenses/by/3.0/,CC-BY-3.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\109638.wav,False,selected_license_safe,recommended_random_audit,https://freesound.org/s/109638/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""FX - tos 2.wav"" by vinjatovix; Freesound ID 109638; CC-BY-3.0 (http://creativecommons.org/licenses/by/3.0/); accessed through FSD50K.",Cough|Respiratory_sounds,379704,9dce177cd4a7f012a05442795a60eb577050a0d4ca3cd6af3c4b1a9a7a5f5bf8,44100,1,PCM_16,189813,4.3041496598639455,extracted_and_validated,,,0.5|0.5,0,2,0,0,positive_agreement_without_two_pp
31748,31748,31748_seg_0,31748,FSD50K,1,1,True,,SI,True,blank_means_yes_by_declared_protocol,True,2,1,unknown,3,unknown,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,cough,train,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\31748.wav,FSD50K_DATA/FSD50K.dev_audio/FSD50K_cough_stage1_only/31748.wav,3.4381632653061223,0.0,3.4381632653061223,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",Sneezing.wav,digifishmusic,http://creativecommons.org/licenses/by/3.0/,CC-BY-3.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\31748.wav,False,selected_license_safe,recommended_random_audit,https://freesound.org/s/31748/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""Sneezing.wav"" by digifishmusic; Freesound ID 31748; CC-BY-3.0 (http://creativecommons.org/licenses/by/3.0/); accessed through FSD50K.",Cough|Respiratory_sounds,303324,3b70c558c74f3cb21e3ee308ce5d603ab81c6672034b63fd951f737bd0186fa1,44100,1,PCM_16,151623,3.4381632653061223,extracted_and_validated,,,1.0|1.0|0|-1,2,0,1,1,pp_agreement
55616,55616,55616_seg_0,55616,FSD50K,,,False,manual_review_no_audible_cough,NO,False,explicit_no_notes_column,True,3,1,unknown,3,unknown,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,cough,val,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\55616.wav,FSD50K_DATA/FSD50K.dev_audio/FSD50K_cough_stage1_only/55616.wav,1.619591836734694,0.0,1.619591836734694,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",cough.mp3,stickbandit27,http://creativecommons.org/licenses/by/3.0/,CC-BY-3.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\55616.wav,False,selected_license_safe,recommended_random_audit,https://freesound.org/s/55616/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""cough.mp3"" by stickbandit27; Freesound ID 55616; CC-BY-3.0 (http://creativecommons.org/licenses/by/3.0/); accessed through FSD50K.",Cough|Respiratory_sounds,142926,8a19c2ae5a4d3a532e320b2b00fd0e414372b73231953035e0ceb6c2e5ea5c09,44100,1,PCM_16,71424,1.619591836734694,extracted_and_validated,,no,1.0|1.0|-1,2,0,0,1,pp_agreement
323532,323532,323532_seg_0,323532,FSD50K,1,1,True,,SI,True,blank_means_yes_by_declared_protocol,True,4,1,unknown,3,unknown,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,cough,train,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\323532.wav,FSD50K_DATA/FSD50K.dev_audio/FSD50K_cough_stage1_only/323532.wav,1.5333333333333334,0.0,1.5333333333333334,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",wheezy coughing,yugi16dm,http://creativecommons.org/publicdomain/zero/1.0/,CC0-1.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\323532.wav,False,selected_license_safe,recommended_random_audit,https://freesound.org/s/323532/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""wheezy coughing"" by yugi16dm; Freesound ID 323532; CC0-1.0 (http://creativecommons.org/publicdomain/zero/1.0/); accessed through FSD50K.",Cough|Respiratory_sounds,135318,9398a8cd1561fb18c644b349bf10977f23b6e89a802ee83d678aba003ebbf1d3,44100,1,PCM_16,67620,1.5333333333333334,extracted_and_validated,,,1.0|1.0,2,0,0,0,pp_agreement
390361,390361,390361_seg_0,390361,FSD50K,1,1,True,,SI,True,blank_means_yes_by_declared_protocol,True,5,1,unknown,3,unknown,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,cough,train,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\390361.wav,FSD50K_DATA/FSD50K.dev_audio/FSD50K_cough_stage1_only/390361.wav,2.2355555555555555,0.0,2.2355555555555555,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",Tosido.wav,Josethehedgehog,http://creativecommons.org/publicdomain/zero/1.0/,CC0-1.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\390361.wav,False,selected_license_safe,recommended_random_audit,https://freesound.org/s/390361/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""Tosido.wav"" by Josethehedgehog; Freesound ID 390361; CC0-1.0 (http://creativecommons.org/publicdomain/zero/1.0/); accessed through FSD50K.",Cough|Respiratory_sounds,197254,e1ac78a58bdb36021f644289df45f60f8a8150ba3a4f0b002ad6330c08a39f08,44100,1,PCM_16,98588,2.2355555555555555,extracted_and_validated,,,1.0|1.0,2,0,0,0,pp_agreement
144254,144254,144254_seg_0,144254,FSD50K,1,1,True,,SI,True,blank_means_yes_by_declared_protocol,True,6,1,unknown,3,unknown,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,cough,train,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\144254.wav,FSD50K_DATA/FSD50K.dev_audio/FSD50K_cough_stage1_only/144254.wav,2.507755102040816,0.0,2.507755102040816,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",Human-Man-Coughing.wav,D W,http://creativecommons.org/licenses/by/3.0/,CC-BY-3.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\144254.wav,False,selected_license_safe,recommended_random_audit,https://freesound.org/s/144254/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""Human-Man-Coughing.wav"" by D W; Freesound ID 144254; CC-BY-3.0 (http://creativecommons.org/licenses/by/3.0/); accessed through FSD50K.",Cough|Respiratory_sounds,221262,0299ea42690af9703e81dcab8c36ccf0429254a2be6c82a4708393a6f2d22231,44100,1,PCM_16,110592,2.507755102040816,extracted_and_validated,,,1.0|1.0,2,0,0,0,pp_agreement
331064,331064,331064_seg_0,331064,FSD50K,1,1,True,,SI,True,blank_means_yes_by_declared_protocol,True,7,1,unknown,3,unknown,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,cough,train,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\331064.wav,FSD50K_DATA/FSD50K.dev_audio/FSD50K_cough_stage1_only/331064.wav,1.0151473922902494,0.0,1.0151473922902494,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",Cough_09.wav,n_audioman,http://creativecommons.org/licenses/by/3.0/,CC-BY-3.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\331064.wav,False,selected_license_safe,recommended_random_audit,https://freesound.org/s/331064/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""Cough_09.wav"" by n_audioman; Freesound ID 331064; CC-BY-3.0 (http://creativecommons.org/licenses/by/3.0/); accessed through FSD50K.",Cough|Respiratory_sounds,89614,37691370f1c9f030441847006881e70822a77297a08543f176c2f1ccec30b1d9,44100,1,PCM_16,44768,1.0151473922902494,extracted_and_validated,,,1.0|1.0,2,0,0,0,pp_agreement
353649,353649,353649_seg_0,353649,FSD50K,1,1,True,,SI,True,blank_means_yes_by_declared_protocol,True,8,1,unknown,3,unknown,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,cough,train,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\353649.wav,FSD50K_DATA/FSD50K.dev_audio/FSD50K_cough_stage1_only/353649.wav,5.465147392290249,0.0,5.465147392290249,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",Cough.wav,soundatADM,http://creativecommons.org/publicdomain/zero/1.0/,CC0-1.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\353649.wav,False,selected_license_safe,recommended_random_audit,https://freesound.org/s/353649/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""Cough.wav"" by soundatADM; Freesound ID 353649; CC0-1.0 (http://creativecommons.org/publicdomain/zero/1.0/); accessed through FSD50K.",Cough|Respiratory_sounds,482104,8cae1ea46d02d7137f51a1a36f0c9aa8615c72a89c615aaa1ed8eb0764fc3bf9,44100,1,PCM_16,241013,5.465147392290249,extracted_and_validated,,,1.0|1.0,2,0,0,0,pp_agreement
399619,399619,399619_seg_0,399619,FSD50K,,,False,manual_review_no_audible_cough,NO,False,explicit_no_notes_column,True,9,1,unknown,3,unknown,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,cough,train,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\399619.wav,FSD50K_DATA/FSD50K.dev_audio/FSD50K_cough_stage1_only/399619.wav,2.6122448979591835,0.0,2.6122448979591835,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",Clearing throat #1.MP3,SoundsForHim,http://creativecommons.org/publicdomain/zero/1.0/,CC0-1.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\399619.wav,False,selected_license_safe,recommended_random_audit,https://freesound.org/s/399619/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""Clearing throat #1.MP3"" by SoundsForHim; Freesound ID 399619; CC0-1.0 (http://creativecommons.org/publicdomain/zero/1.0/); accessed through FSD50K.",Cough|Respiratory_sounds,230478,775fdb47f4b5e6008f4c455975b040619bfd77dfa1ffc826c03d41e54c350332,44100,1,PCM_16,115200,2.6122448979591835,extracted_and_validated,,no,,0,0,0,0,missing
334052,334052,334052_seg_0,334052,FSD50K,,,False,manual_review_no_audible_cough,NO,False,explicit_no_notes_column,True,10,1,unknown,3,unknown,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,cough,train,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\334052.wav,FSD50K_DATA/FSD50K.dev_audio/FSD50K_cough_stage1_only/334052.wav,0.5999092970521542,0.0,0.5999092970521542,"Human_voice,Cough,Respiratory_sounds","/m/09l8g,/m/01b_21,/m/09hlz4",Clear Throat.mp3,LittleRainySeasons,http://creativecommons.org/licenses/by/3.0/,CC-BY-3.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\334052.wav,False,selected_license_safe,recommended_random_audit,https://freesound.org/s/334052/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""Clear Throat.mp3"" by LittleRainySeasons; Freesound ID 334052; CC-BY-3.0 (http://creativecommons.org/licenses/by/3.0/); accessed through FSD50K.",Cough|Human_voice|Respiratory_sounds,52990,e20f3ea61456bea2b7d3c8343898af15dd6f531e57fbb48e43e6273e0d82d680,44100,1,PCM_16,26456,0.5999092970521542,extracted_and_validated,,no,,0,0,0,0,missing
