uuid,original_uuid,uuid_segmento,fname,dataset_origin,label,stage1_target,stage1_inclusion,stage1_exclusion_reason,manual_review_decision,manual_review_has_cough,manual_review_decision_source,manual_review_completed,review_order,cough_detected,cough_type,cough_type_label,cough_type_name,cough_type_consensus,stage2_eligible,stage2_exclusion_reason,type_noise,fsd50k_official_split,audio_path,audio_relative_path,duration,start_time,end_time,labels,mids,title,uploader,license,license_id,license_allowed,license_rejection_reason,additional_non_hierarchical_labels,has_additional_non_hierarchical_labels,audio_profile,local_audio_status,local_paths,conflict_in_negative_directory,selection_status,manual_review_status,source_url,planned_transformations,attribution_text,labels_exact,file_size_bytes,sha256,sample_rate,channels,subtype,frames,duration_seconds,extraction_status,has_cough_si_no,notes,cough_rating_values,cough_rating_n_pp,cough_rating_n_pnp,cough_rating_n_uncertain,cough_rating_n_not_present,cough_rating_group
55616,55616,55616_seg_0,55616,FSD50K,,,False,manual_review_no_audible_cough,NO,False,explicit_no_notes_column,True,3,1,unknown,3,unknown,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,cough,val,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\55616.wav,FSD50K_DATA/FSD50K.dev_audio/FSD50K_cough_stage1_only/55616.wav,1.619591836734694,0.0,1.619591836734694,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",cough.mp3,stickbandit27,http://creativecommons.org/licenses/by/3.0/,CC-BY-3.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\55616.wav,False,selected_license_safe,recommended_random_audit,https://freesound.org/s/55616/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""cough.mp3"" by stickbandit27; Freesound ID 55616; CC-BY-3.0 (http://creativecommons.org/licenses/by/3.0/); accessed through FSD50K.",Cough|Respiratory_sounds,142926,8a19c2ae5a4d3a532e320b2b00fd0e414372b73231953035e0ceb6c2e5ea5c09,44100,1,PCM_16,71424,1.619591836734694,extracted_and_validated,,no,1.0|1.0|-1,2,0,0,1,pp_agreement
399619,399619,399619_seg_0,399619,FSD50K,,,False,manual_review_no_audible_cough,NO,False,explicit_no_notes_column,True,9,1,unknown,3,unknown,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,cough,train,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\399619.wav,FSD50K_DATA/FSD50K.dev_audio/FSD50K_cough_stage1_only/399619.wav,2.6122448979591835,0.0,2.6122448979591835,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",Clearing throat #1.MP3,SoundsForHim,http://creativecommons.org/publicdomain/zero/1.0/,CC0-1.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\399619.wav,False,selected_license_safe,recommended_random_audit,https://freesound.org/s/399619/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""Clearing throat #1.MP3"" by SoundsForHim; Freesound ID 399619; CC0-1.0 (http://creativecommons.org/publicdomain/zero/1.0/); accessed through FSD50K.",Cough|Respiratory_sounds,230478,775fdb47f4b5e6008f4c455975b040619bfd77dfa1ffc826c03d41e54c350332,44100,1,PCM_16,115200,2.6122448979591835,extracted_and_validated,,no,,0,0,0,0,missing
334052,334052,334052_seg_0,334052,FSD50K,,,False,manual_review_no_audible_cough,NO,False,explicit_no_notes_column,True,10,1,unknown,3,unknown,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,cough,train,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\334052.wav,FSD50K_DATA/FSD50K.dev_audio/FSD50K_cough_stage1_only/334052.wav,0.5999092970521542,0.0,0.5999092970521542,"Human_voice,Cough,Respiratory_sounds","/m/09l8g,/m/01b_21,/m/09hlz4",Clear Throat.mp3,LittleRainySeasons,http://creativecommons.org/licenses/by/3.0/,CC-BY-3.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\334052.wav,False,selected_license_safe,recommended_random_audit,https://freesound.org/s/334052/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""Clear Throat.mp3"" by LittleRainySeasons; Freesound ID 334052; CC-BY-3.0 (http://creativecommons.org/licenses/by/3.0/); accessed through FSD50K.",Cough|Human_voice|Respiratory_sounds,52990,e20f3ea61456bea2b7d3c8343898af15dd6f531e57fbb48e43e6273e0d82d680,44100,1,PCM_16,26456,0.5999092970521542,extracted_and_validated,,no,,0,0,0,0,missing
391169,391169,391169_seg_0,391169,FSD50K,,,False,manual_review_no_audible_cough,NO,False,explicit_no_notes_column,True,12,1,unknown,3,unknown,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,cough,val,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\391169.wav,FSD50K_DATA/FSD50K.dev_audio/FSD50K_cough_stage1_only/391169.wav,1.5387755102040817,0.0,1.5387755102040817,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",Woman clearing throat,andrutzab,http://creativecommons.org/licenses/by/3.0/,CC-BY-3.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\391169.wav,False,selected_license_safe,recommended_random_audit,https://freesound.org/s/391169/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""Woman clearing throat"" by andrutzab; Freesound ID 391169; CC-BY-3.0 (http://creativecommons.org/licenses/by/3.0/); accessed through FSD50K.",Cough|Respiratory_sounds,135798,ea9fc456d901ca39569f1278c7770618681e552ae501877a9b9f22f4483bf1d0,44100,1,PCM_16,67860,1.5387755102040817,extracted_and_validated,,no,1.0|1.0,2,0,0,0,pp_agreement
342669,342669,342669_seg_0,342669,FSD50K,,,False,manual_review_no_audible_cough,NO,False,explicit_no_notes_column,True,17,1,unknown,3,unknown,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,cough,train,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\342669.wav,FSD50K_DATA/FSD50K.dev_audio/FSD50K_cough_stage1_only/342669.wav,1.080045351473923,0.0,1.080045351473923,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",Coughing 02.wav,michael_kur95,http://creativecommons.org/licenses/by/3.0/,CC-BY-3.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\342669.wav,False,selected_license_safe,recommended_random_audit,https://freesound.org/s/342669/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""Coughing 02.wav"" by michael_kur95; Freesound ID 342669; CC-BY-3.0 (http://creativecommons.org/licenses/by/3.0/); accessed through FSD50K.",Cough|Respiratory_sounds,95338,8ce8e4c7e6835664221c70e8c1b22c6598f88286147f78bfcc8ce45ae2c8e58f,44100,1,PCM_16,47630,1.080045351473923,extracted_and_validated,,no,1.0|1.0|-1,2,0,0,1,pp_agreement
343904,343904,343904_seg_0,343904,FSD50K,,,False,manual_review_no_audible_cough,NO,False,explicit_no_notes_column,True,19,1,unknown,3,unknown,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,cough,train,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\343904.wav,FSD50K_DATA/FSD50K.dev_audio/FSD50K_cough_stage1_only/343904.wav,1.5905668934240362,0.0,1.5905668934240362,"Human_voice,Cough,Respiratory_sounds","/m/09l8g,/m/01b_21,/m/09hlz4",clear throat17.wav,Reitanna,http://creativecommons.org/publicdomain/zero/1.0/,CC0-1.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\343904.wav,False,selected_license_safe,recommended_random_audit,https://freesound.org/s/343904/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""clear throat17.wav"" by Reitanna; Freesound ID 343904; CC0-1.0 (http://creativecommons.org/publicdomain/zero/1.0/); accessed through FSD50K.",Cough|Human_voice|Respiratory_sounds,140366,14427e29b2f857b5604974592b7bcf49327a1f390e7473712276d0df93757242,44100,1,PCM_16,70144,1.5905668934240362,extracted_and_validated,,no,,0,0,0,0,missing
211524,211524,211524_seg_0,211524,FSD50K,,,False,manual_review_no_audible_cough,NO,False,explicit_no_notes_column,True,21,1,unknown,3,unknown,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,cough,train,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\211524.wav,FSD50K_DATA/FSD50K.dev_audio/FSD50K_cough_stage1_only/211524.wav,2.8212244897959184,0.0,2.8212244897959184,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",Cough.mp3,CelesteOminous,http://creativecommons.org/licenses/by/3.0/,CC-BY-3.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\211524.wav,False,selected_license_safe,recommended_random_audit,https://freesound.org/s/211524/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""Cough.mp3"" by CelesteOminous; Freesound ID 211524; CC-BY-3.0 (http://creativecommons.org/licenses/by/3.0/); accessed through FSD50K.",Cough|Respiratory_sounds,248910,f98a732c0eec6e8954fa412ec363df3f17d3465a4eaa448e2fb21d3f788fb347,44100,1,PCM_16,124416,2.8212244897959184,extracted_and_validated,,no,1.0|1.0|-1,2,0,0,1,pp_agreement
323511,323511,323511_seg_0,323511,FSD50K,,,False,manual_review_no_audible_cough,NO,False,explicit_no_notes_column,True,29,1,unknown,3,unknown,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,cough,train,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\323511.wav,FSD50K_DATA/FSD50K.dev_audio/FSD50K_cough_stage1_only/323511.wav,1.0565079365079366,0.0,1.0565079365079366,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",ahem.mp3,yugi16dm,http://creativecommons.org/publicdomain/zero/1.0/,CC0-1.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\323511.wav,False,selected_license_safe,recommended_random_audit,https://freesound.org/s/323511/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""ahem.mp3"" by yugi16dm; Freesound ID 323511; CC0-1.0 (http://creativecommons.org/publicdomain/zero/1.0/); accessed through FSD50K.",Cough|Respiratory_sounds,93262,6e117df109b49317f57ac04c94b5aad915106a5d4da9f7952f9eba7737ec9e4f,44100,1,PCM_16,46592,1.0565079365079366,extracted_and_validated,,no,,0,0,0,0,missing
262017,262017,262017_seg_0,262017,FSD50K,,,False,manual_review_no_audible_cough,NO,False,explicit_no_notes_column,True,32,1,unknown,3,unknown,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,cough,val,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\262017.wav,FSD50K_DATA/FSD50K.dev_audio/FSD50K_cough_stage1_only/262017.wav,2.043356009070295,0.0,2.043356009070295,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",Man Clears Throat,lensicle,http://creativecommons.org/licenses/by/3.0/,CC-BY-3.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\262017.wav,False,selected_license_safe,recommended_random_audit,https://freesound.org/s/262017/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""Man Clears Throat"" by lensicle; Freesound ID 262017; CC-BY-3.0 (http://creativecommons.org/licenses/by/3.0/); accessed through FSD50K.",Cough|Respiratory_sounds,180302,d301a271bb8148d09ac6bfd2d906f611412a59266d3f2538892afe358f6c123e,44100,1,PCM_16,90112,2.043356009070295,extracted_and_validated,,no,1.0|1.0,2,0,0,0,pp_agreement
82717,82717,82717_seg_0,82717,FSD50K,,,False,manual_review_no_audible_cough,NO,False,explicit_no_notes_column,True,37,1,unknown,3,unknown,not_applicable_fsd50k,False,fsd50k_has_no_dry_wet_annotation,cough,train,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\82717.wav,FSD50K_DATA/FSD50K.dev_audio/FSD50K_cough_stage1_only/82717.wav,1.9828344671201812,0.0,1.9828344671201812,"Cough,Respiratory_sounds","/m/01b_21,/m/09hlz4",cough.wav,IFartInUrGeneralDirection,http://creativecommons.org/licenses/by/3.0/,CC-BY-3.0,True,,,False,cough_with_expected_hierarchy_only,already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_cough_stage1_only\82717.wav,False,selected_license_safe,recommended_random_audit,https://freesound.org/s/82717/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""cough.wav"" by IFartInUrGeneralDirection; Freesound ID 82717; CC-BY-3.0 (http://creativecommons.org/licenses/by/3.0/); accessed through FSD50K.",Cough|Respiratory_sounds,174964,978d4e2628a9dc6006639faf18e4e620ca87dfedc3f5a1c1df26f43483e57d38,44100,1,PCM_16,87443,1.9828344671201812,extracted_and_validated,,no,1.0|1.0,2,0,0,0,pp_agreement
