fname,dataset_origin,stage1_target,cough_type,stage2_eligible,stage2_exclusion_reason,labels,labels_exact,mids,split,title,uploader,license_id,license,source_url,planned_transformations,attribution_text,local_audio_status,local_paths
10000,FSD50K,0,no_cough,False,fsd50k_negative_stage1_only,"Breathing,Respiratory_sounds",Breathing|Respiratory_sounds,"/m/0lyf6,/m/09hlz4",train,S_mb-breath-1 014.aif,batchku,CC0-1.0,http://creativecommons.org/publicdomain/zero/1.0/,https://freesound.org/s/10000/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""S_mb-breath-1 014.aif"" by batchku; Freesound ID 10000; CC0-1.0 (http://creativecommons.org/publicdomain/zero/1.0/); accessed through FSD50K.",already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_negative_class_dataset\10000.wav
10001,FSD50K,0,no_cough,False,fsd50k_negative_stage1_only,"Breathing,Respiratory_sounds",Breathing|Respiratory_sounds,"/m/0lyf6,/m/09hlz4",train,S_mb-breath-1 015.aif,batchku,CC0-1.0,http://creativecommons.org/publicdomain/zero/1.0/,https://freesound.org/s/10001/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""S_mb-breath-1 015.aif"" by batchku; Freesound ID 10001; CC0-1.0 (http://creativecommons.org/publicdomain/zero/1.0/); accessed through FSD50K.",already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_negative_class_dataset\10001.wav
100018,FSD50K,0,no_cough,False,fsd50k_negative_stage1_only,"Toilet_flush,Gurgling,Domestic_sounds_and_home_sounds,Water",Domestic_sounds_and_home_sounds|Gurgling|Toilet_flush|Water,"/m/01jt3m,/m/07swgks,/t/dd00071,/m/0838f",val,flush.aif,limwei,CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/s/100018/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""flush.aif"" by limwei; Freesound ID 100018; CC-BY-3.0 (http://creativecommons.org/licenses/by/3.0/); accessed through FSD50K.",already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_negative_class_dataset\100018.wav
10002,FSD50K,0,no_cough,False,fsd50k_negative_stage1_only,"Breathing,Respiratory_sounds",Breathing|Respiratory_sounds,"/m/0lyf6,/m/09hlz4",train,S_mb-breath-1 018.aif,batchku,CC0-1.0,http://creativecommons.org/publicdomain/zero/1.0/,https://freesound.org/s/10002/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""S_mb-breath-1 018.aif"" by batchku; Freesound ID 10002; CC0-1.0 (http://creativecommons.org/publicdomain/zero/1.0/); accessed through FSD50K.",already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_negative_class_dataset\10002.wav
10003,FSD50K,0,no_cough,False,fsd50k_negative_stage1_only,"Breathing,Respiratory_sounds",Breathing|Respiratory_sounds,"/m/0lyf6,/m/09hlz4",train,S_mb-breath-1 019.aif,batchku,CC0-1.0,http://creativecommons.org/publicdomain/zero/1.0/,https://freesound.org/s/10003/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""S_mb-breath-1 019.aif"" by batchku; Freesound ID 10003; CC0-1.0 (http://creativecommons.org/publicdomain/zero/1.0/); accessed through FSD50K.",already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_negative_class_dataset\10003.wav
10004,FSD50K,0,no_cough,False,fsd50k_negative_stage1_only,"Breathing,Respiratory_sounds",Breathing|Respiratory_sounds,"/m/0lyf6,/m/09hlz4",train,S_mb-breath-1 020.aif,batchku,CC0-1.0,http://creativecommons.org/publicdomain/zero/1.0/,https://freesound.org/s/10004/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""S_mb-breath-1 020.aif"" by batchku; Freesound ID 10004; CC0-1.0 (http://creativecommons.org/publicdomain/zero/1.0/); accessed through FSD50K.",already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_negative_class_dataset\10004.wav
10005,FSD50K,0,no_cough,False,fsd50k_negative_stage1_only,"Breathing,Respiratory_sounds",Breathing|Respiratory_sounds,"/m/0lyf6,/m/09hlz4",train,S_mb-breath-1 023.aif,batchku,CC0-1.0,http://creativecommons.org/publicdomain/zero/1.0/,https://freesound.org/s/10005/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""S_mb-breath-1 023.aif"" by batchku; Freesound ID 10005; CC0-1.0 (http://creativecommons.org/publicdomain/zero/1.0/); accessed through FSD50K.",already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_negative_class_dataset\10005.wav
100069,FSD50K,0,no_cough,False,fsd50k_negative_stage1_only,Fart,Fart,/m/02_nn,train,anotheramazingfart.mp3,NoiseCollector,CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/s/100069/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""anotheramazingfart.mp3"" by NoiseCollector; Freesound ID 100069; CC-BY-3.0 (http://creativecommons.org/licenses/by/3.0/); accessed through FSD50K.",already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_negative_class_dataset\100069.wav
10007,FSD50K,0,no_cough,False,fsd50k_negative_stage1_only,"Breathing,Respiratory_sounds",Breathing|Respiratory_sounds,"/m/0lyf6,/m/09hlz4",train,S_mb-breath-1 025.aif,batchku,CC0-1.0,http://creativecommons.org/publicdomain/zero/1.0/,https://freesound.org/s/10007/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""S_mb-breath-1 025.aif"" by batchku; Freesound ID 10007; CC0-1.0 (http://creativecommons.org/publicdomain/zero/1.0/); accessed through FSD50K.",already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_negative_class_dataset\10007.wav
100072,FSD50K,0,no_cough,False,fsd50k_negative_stage1_only,Fart,Fart,/m/02_nn,train,bitcrushfart2.wav,NoiseCollector,CC-BY-3.0,http://creativecommons.org/licenses/by/3.0/,https://freesound.org/s/100072/,source WAV preserved; model preprocessing may resample to 16 kHz mono and extract features,"""bitcrushfart2.wav"" by NoiseCollector; Freesound ID 100072; CC-BY-3.0 (http://creativecommons.org/licenses/by/3.0/); accessed through FSD50K.",already_present,C:\Users\Usuario\Desktop\UNI MARINA\master\TFM\FSD50K_DATA\FSD50K.dev_audio\FSD50K_negative_class_dataset\100072.wav
