split_group,split,fold,dataset_origin,uploader,n_segments,n_positive_segments,quality_split_role
COUGHVID_UUID::01208e5c-5338-4f1b-b8c6-41c049e40d90,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::01424527-9c3b-4b6e-96f1-9eea3150819b,test,-1,COUGHVID,,1,0,held_out_negative_test
COUGHVID_UUID::01ff40e8-63e6-4570-a463-9778ea30cad7,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::02df470b-ddcf-403a-b726-76be6af905e1,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::0352b80b-3c92-44f2-abbf-d6c056e02ee9,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::04cc2c07-2d87-46a8-a60a-27edf382b7ce,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::076f59de-0637-4ee1-951c-f2e0784e8a53,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::080b6119-f1ab-4337-93dd-aaccf73b4ee1,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::08a861f4-ed94-4890-85ef-9cb37e90a494,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::08be7cfe-da7b-4126-8290-aafe8a608b56,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::08e1fcba-d1b0-4365-b1ac-5efa5d143bcb,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::09126c08-5214-4723-94f1-7b654464eac0,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::0ae9bba8-22e1-4da7-b270-074bb767c84c,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::0b1a540a-b6e7-4a2f-8796-28bd04554a36,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::0b6c6e9b-7c10-4977-a281-f809b939c2e7,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::0b6f8543-c5e3-414c-a4f3-020e56e8ec60,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::0b72bbdf-fe74-4c76-8c9a-9e4a60a7b9f9,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::0be75221-126f-4971-bf65-d8c3189bfeff,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::0c181c0d-ea12-4b3c-9356-9e41f9d62a8e,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::0c4da14c-7035-41b7-ade2-38aa1481c046,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::0f04746a-08e0-40a2-9431-2f57f9166720,test,-1,COUGHVID,,1,1,forced_poor_cough_test
COUGHVID_UUID::0ff8a246-cc95-42fe-8e5a-4243c274793e,test,-1,COUGHVID,,1,1,forced_poor_cough_test
