split_group,dataset_origin,uploader,split,fold,recording_count,no_cough_count,cough_count,new_fsd50k_cough_count
COUGHVID_UUID::0029d048-898a-4c70-89c7-0815cdcf7391,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::002db0bd-e57f-4c30-ade0-16640d424eb7,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::005b8518-03ba-4bf5-86d2-005541442357,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::006d8d1c-2bf6-46a6-8ef2-1823898a4733,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::008ba489-31ad-44d8-856b-fcf72369dc46,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::008c1c9e-aeef-40c5-846c-24f1b964f884,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::00bf9f83-2e8f-47cf-a4f2-97f2beceebc1,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::00ce5b06-c302-4387-bbd7-86355a4a8c12,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::00ddf050-6939-4f33-9e54-fcb309b895ec,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::00eead73-a2c2-480d-b2ee-d79b1a526871,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::01208e5c-5338-4f1b-b8c6-41c049e40d90,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::01424527-9c3b-4b6e-96f1-9eea3150819b,COUGHVID,,train,3,1,1,0,0
COUGHVID_UUID::01430fd0-c3f1-4991-b7a7-df514285401c,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::015576c8-2b03-4dcb-b251-78a984fe86fe,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::01567151-7bb2-45ee-9aa8-a1332b5941ea,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::015ec831-e765-44ee-aefc-10dfd95dec78,COUGHVID,,train,1,1,1,0,0
COUGHVID_UUID::01614a4a-947f-43ca-a609-fc2787509f6f,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::01723b00-382f-4089-a7c3-9c90b3ddad17,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::0177b817-0ba3-498a-bc05-48bc66cc91b8,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::01820f7c-b953-4faf-aa13-978cfda6b08e,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::018b40a1-c109-459a-9e31-86cbd2cb3918,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::01bf156f-a8ff-48f6-9335-8a1f5bb4c1b7,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::01f97898-9ec4-480b-9fcc-a9daa737106d,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::01ff40e8-63e6-4570-a463-9778ea30cad7,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::024cbe41-7932-40ed-a9d3-67c174658637,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::02805b36-5361-41f5-b41e-583ec496eff6,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::029a668c-e4f8-43a9-9166-8259a9894d8f,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::02aa80ef-a83b-477f-b01d-575651364b22,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::02df470b-ddcf-403a-b726-76be6af905e1,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::0311ee9e-b265-4767-ba51-f3fc8176747a,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::031fd54a-87b5-4223-9af6-60985127fb7a,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::033da4e3-7365-4adc-9252-7347816e4e77,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::03430d6b-4554-4ffe-8c82-507832dc1d52,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::034aa6d3-6673-47a1-a319-325aa9be44a2,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::0352b80b-3c92-44f2-abbf-d6c056e02ee9,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::036d875c-d39b-45f1-a17f-7f7badf0aa42,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::0379c586-c500-483c-83a6-95b63afe6931,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::038592cb-c8db-4f55-8052-e20059146cb5,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::03c33278-ad87-4a37-bf8f-3b1fdf69ecfd,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::03c8796e-547e-4158-ae5f-7c613aaeb02f,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::03cfc75c-88a0-4ca9-8ca4-4aa61e2dec37,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::03d30b8b-03f8-4089-bda8-0e14deec7d82,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::03fca101-9ce7-4eb9-aeae-a6f8d4ee5599,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::040e6a1c-dcbe-47aa-8b9d-51abd8136d91,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::046545bc-7f2c-4425-9be2-ffc22bba515e,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::04c60cde-024d-4829-838e-a469363c8ca3,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::04cc2c07-2d87-46a8-a60a-27edf382b7ce,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::0512e4fa-684b-4d81-8dda-a38ffd0b67a9,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::0526e565-ec8c-435b-b965-3c23cfb43f44,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::0527be95-d7f1-4156-8e37-1587355661ca,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::052fc88d-aa01-4422-85fd-f0ddebb8bd95,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::05458ac9-b4d3-4558-b6b2-b2bf7036f16c,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::0569d979-384b-4a30-b0ca-2b19e8c8650b,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::0593e9bf-e162-46c2-b1d5-3bc34ef1fc6f,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::059ae242-fffd-44c7-b821-9d73f93449aa,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::05bb63c1-bff1-4faf-bb2a-b887e7016f69,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::062b77b9-9326-4d91-9b2a-9b10b41d1cd8,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::062c3a7f-a783-4b43-806e-6db83aa0da15,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::0640716b-e287-4181-a653-5b798e8308c8,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::06993140-c36d-4d03-befe-713c646e3408,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::06ad9cc8-27ff-4d9e-bfec-f88a660d9253,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::06b49798-22b7-4570-85b9-1390947ff34d,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::06b568b5-b9f8-4334-816c-c16009bb5de7,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::06b58ff7-42e9-49d8-8b56-dd82e7b18ace,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::06c4f102-237b-4ae6-8f79-8f2f2bfe4856,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::06e9197b-9b40-4bde-bde8-9e78242a60ac,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::06e989e7-b76d-4a36-8c5c-c59ef0d9d663,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::06fbfb8f-164c-4c97-a626-0b7d56543751,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::071da517-8148-4a3a-9d49-fbb22938741c,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::0733f882-d7fd-4dc5-a1b0-8aeec64fc112,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::0739e54f-d530-48a7-ba35-3fa3c0e4dd1f,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::075cdb5a-5c29-4266-84ea-c44963bd0454,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::0762cd0a-5ce6-4b1b-9374-5d4396c218ed,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::076f59de-0637-4ee1-951c-f2e0784e8a53,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::07809b76-1f10-424e-853b-cbf4756a8ba2,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::07b12dc7-a138-458a-b1df-d321600ff929,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::07c16495-d19c-47ad-ba39-d2e24f31d6e4,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::07e2f7e1-8e9b-4962-8701-fbe1224de7ef,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::07e33d6b-560d-4c16-8d7e-ecd5ddb3b195,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::07f95718-2edc-4baa-9e18-3c6e04eb6e39,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::08024f8a-88fb-4298-9656-04da97112ae6,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::080b6119-f1ab-4337-93dd-aaccf73b4ee1,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::082991fb-ee66-4970-91dd-50890f4cc9b1,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::0837bd59-09c5-4098-afe3-4bcbfb0fb0e2,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::084f6ab1-5c65-4524-a8e0-1d68395f0f2e,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::085c22f5-f9aa-4b42-9c20-59c67baf52a5,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::089f764a-6620-4554-8519-ac64f833a5d5,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::08a861f4-ed94-4890-85ef-9cb37e90a494,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::08be7cfe-da7b-4126-8290-aafe8a608b56,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::08d5d346-6219-4e6d-ac06-ef489f2d186c,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::08e1fcba-d1b0-4365-b1ac-5efa5d143bcb,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::08f05aa0-7c3d-40be-a8ae-ab6bc6d41be3,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::09115490-33a9-461c-9437-d7f71be057b0,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::09126c08-5214-4723-94f1-7b654464eac0,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::0924c308-2cca-4ab2-8ef3-a204c349701b,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::092d10af-b848-473c-8dfd-19376b7c587a,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::0941c9a0-7d1d-4c69-9626-e9abcfcc3460,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::0951a755-361c-4ee1-b118-84d16c34ba82,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::0969d0c4-34ce-4e9a-8cf1-1b18403587e8,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::098a2a72-f7c9-4f46-9a55-597c3119d662,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::09976800-a17a-4ab5-b9a2-547a8091e6b6,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::099f9c59-3206-438d-8fd5-be59c5337afa,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::09aaa59d-0263-4475-ab15-3bf00a32c0ef,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::09bffe1a-63f0-4f2e-942b-f7a152b344fc,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::09de6967-b295-4516-8a4d-4d95c9a7b02c,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::09e64861-61b1-4f66-a7c0-17ac1a0c60f0,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::09ef22ac-58b8-4f3b-b00a-94f926298dae,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::0a03da19-eb19-4f51-9860-78ad95fa8cb5,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::0aa64689-c48a-421d-b353-c3496bad51ed,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::0abc55f4-83bb-4284-87d2-65044bf06200,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::0add5e55-136a-4eaa-98db-3495635cbb56,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::0ae9bba8-22e1-4da7-b270-074bb767c84c,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::0aec66e3-47a5-4f3f-bec6-ad38d090b219,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::0b03673a-28db-4e1c-aeb0-4fec88d977a1,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::0b0d7e10-8353-4124-a16b-bf96e405f63c,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::0b14b4fa-edf0-4595-89af-d4a69208205b,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::0b1a540a-b6e7-4a2f-8796-28bd04554a36,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::0b2f75d7-f116-4f35-ae4c-f2018eab2794,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::0b35d226-9927-4ddc-b5ea-cca273d43f66,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::0b43fe9d-c9d6-4d0d-abf9-52f6b3712325,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::0b467189-37bc-488a-bf88-43611762fea8,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::0b60a771-1dde-49b8-a46d-d049b1791ca4,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::0b618a49-9562-4fa5-afb7-fce583b5a444,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::0b6c6e9b-7c10-4977-a281-f809b939c2e7,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::0b6ea0b5-e036-43ca-8462-d128f6232bdf,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::0b6f8543-c5e3-414c-a4f3-020e56e8ec60,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::0b72bbdf-fe74-4c76-8c9a-9e4a60a7b9f9,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::0b7ccbbc-8a83-4ead-9f68-d6811c4c415a,COUGHVID,,train,4,1,1,0,0
COUGHVID_UUID::0bbac203-c99f-4895-ad6a-85202f1d93a2,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::0be75221-126f-4971-bf65-d8c3189bfeff,COUGHVID,,train,1,1,0,1,0
COUGHVID_UUID::0c01c4ac-cfbf-45b9-80db-492f334aaf30,COUGHVID,,train,4,1,0,1,0
COUGHVID_UUID::0c181c0d-ea12-4b3c-9356-9e41f9d62a8e,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::0c35e382-31cd-42cb-bc87-8a84b9c52a41,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::0c4d0b5c-1007-4426-8444-e71a1c2732f3,COUGHVID,,train,2,1,0,1,0
COUGHVID_UUID::0c4da14c-7035-41b7-ade2-38aa1481c046,COUGHVID,,validation,-1,1,0,1,0
COUGHVID_UUID::0c9f2427-ce97-4c4d-9f24-ee83e949ada6,COUGHVID,,test,-1,1,0,1,0
COUGHVID_UUID::0cb72725-4166-475d-99a2-5e4e269c1eea,COUGHVID,,train,3,1,0,1,0
COUGHVID_UUID::0cc0ccfb-674f-4e9b-b6f3-539478d6d08d,COUGHVID,,train,0,1,0,1,0
COUGHVID_UUID::0d1cb244-e3cb-404d-97f5-99592b92da44,COUGHVID,,train,4,1,0,1,0
