split,dataset_origin,stage1_target,is_new_fsd50k_cough,recording_count,unique_groups,recording_duration_seconds,segment_count,segment_duration_seconds
test,COUGHVID,0,False,11,11,60.96,11,60.96
test,COUGHVID,1,False,403,403,3361.716895833333,403,3358.3389375
test,FSD50K,0,False,1121,244,8593.060793650793,1253,7260.28224489796
test,FSD50K,1,True,25,13,104.92421768707483,25,104.92421768707483
train,COUGHVID,0,False,52,52,434.75922916666667,52,434.75922916666667
train,COUGHVID,1,False,1983,1983,16454.425229166667,1983,16447.057833333332
train,FSD50K,0,False,5186,1216,31986.03702947846,5542,26669.683106575965
train,FSD50K,1,True,121,66,677.5567800453515,121,677.5567800453515
validation,COUGHVID,0,False,11,11,94.56,11,94.56
validation,COUGHVID,1,False,430,430,3605.7036041666665,430,3605.521708333333
validation,FSD50K,0,False,1164,263,6983.686394557823,1232,6145.254172335601
validation,FSD50K,1,True,26,16,230.34244897959184,26,230.34244897959184
