split,cough_type_consensus,expert_evaluator_count,recording_count,percentage
test,ambiguous_expert,4,3,100.0
test,gold_expert,4,15,100.0
test,not_applicable,0,7,100.0
test,weak_expert,1,404,99.75308641975309
test,weak_expert,2,1,0.24691358024691357
train,ambiguous_expert,0,1,7.142857142857143
train,ambiguous_expert,4,13,92.85714285714286
train,gold_expert,3,1,1.4492753623188406
train,gold_expert,4,68,98.55072463768116
train,not_applicable,0,55,100.0
train,weak_expert,1,1877,99.47005829358771
train,weak_expert,4,10,0.5299417064122947
validation,ambiguous_expert,4,3,100.0
validation,gold_expert,4,14,100.0
validation,not_applicable,0,12,100.0
validation,weak_expert,1,405,99.75369458128078
validation,weak_expert,4,1,0.24630541871921183
