candidate,family,C,penalty,class_weight,threshold,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct,cv_fit_seconds,mean_tree_nodes_cv,selected
lr__C0p0001__l1__weight_none,lr,0.0001,l1,,0.5,7636,5806,1830,0.2396542692509167,0.5,0.2396542692509167,1.0,0.0,0.38664694696809637,0.19332347348404819,0.5,0,5806,0,1830,0.13219369998842012,0.0,False
lr__C0p0001__l1__weight_balanced,lr,0.0001,l1,balanced,0.5,7636,5806,1830,0.2396542692509167,0.5,0.2396542692509167,1.0,0.0,0.38664694696809637,0.19332347348404819,0.5,0,5806,0,1830,0.1245430000271881,0.0,False
lr__C0p0001__l2__weight_none,lr,0.0001,l2,,0.5,7636,5806,1830,0.8518858040859089,0.901852332898509,0.6183542160514731,0.9978142076502732,0.8058904581467448,0.7635375287476479,0.8278551405774659,0.9776948286020302,4679,1127,4,1826,0.19169249999686144,0.0,False
lr__C0p0001__l2__weight_balanced,lr,0.0001,l2,balanced,0.5,7636,5806,1830,0.8131220534311158,0.8763614613862802,0.562019082794706,0.9978142076502732,0.7549087151222873,0.7190391809411302,0.7895205715360021,0.9723735009383546,4383,1423,4,1826,0.1766005999816116,0.0,False
lr__C0p0003__l1__weight_none,lr,0.0003,l1,,0.5,7636,5806,1830,0.2396542692509167,0.5,0.2396542692509167,1.0,0.0,0.38664694696809637,0.19332347348404819,0.5,0,5806,0,1830,0.12914140000066254,0.0,False
lr__C0p0003__l1__weight_balanced,lr,0.0003,l1,balanced,0.5,7636,5806,1830,0.2396542692509167,0.5,0.2396542692509167,1.0,0.0,0.38664694696809637,0.19332347348404819,0.5,0,5806,0,1830,0.1262194000009913,0.0,False
lr__C0p0003__l2__weight_none,lr,0.0003,l2,,0.5,7636,5806,1830,0.9004714510214772,0.9338020400979579,0.7072037180480247,0.9978142076502732,0.8697898725456424,0.827742520398912,0.8788804683025868,0.9907825708848393,5050,756,4,1826,0.19355099998938385,0.0,False
lr__C0p0003__l2__weight_balanced,lr,0.0003,l2,balanced,0.5,7636,5806,1830,0.8521477213200629,0.9023987809859406,0.6186125211505922,0.9989071038251366,0.8058904581467448,0.7640543364681296,0.828198618601186,0.9887900965460641,4679,1127,2,1828,0.19575630000326782,0.0,False
lr__C0p001__l1__weight_none,lr,0.001,l1,,0.5,7636,5806,1830,0.9205081194342588,0.9161055361986563,0.7913292043830396,0.9076502732240437,0.924560799173269,0.8455077627895139,0.8959972914273762,0.967636456727448,5368,438,169,1661,0.17169130002730526,0.0,False
lr__C0p001__l1__weight_balanced,lr,0.001,l1,balanced,0.5,7636,5806,1830,0.7806443163960188,0.8542558197756608,0.5222126683863572,0.9956284153005465,0.7128832242507751,0.6850911825531115,0.7584001075028193,0.9693670011614139,4139,1667,8,1822,0.17356840000138618,0.0,False
