reference_experiment,dataset,metric,reference_value,family_weighted_value,difference
no_augmentation,train_oof,accuracy,0.9637211712878984,0.9584089142264836,-0.005312257061414805
no_augmentation,train_oof,balanced_accuracy,0.9545569348402936,0.9548717358017846,0.0003148009614910574
no_augmentation,train_oof,precision_cough,0.9333963155408596,0.9055153707052441,-0.02788094483561543
no_augmentation,train_oof,recall_cough,0.9342789598108748,0.9470449172576832,0.012765957446808418
no_augmentation,train_oof,specificity_no_cough,0.9748349098697128,0.9626985543458861,-0.012136355523826636
no_augmentation,train_oof,f1_cough,0.9338374291115312,0.9258146521839612,-0.00802277692757003
no_augmentation,train_oof,macro_f1,0.9544231772476612,0.948459581020417,-0.005963596227244183
no_augmentation,train_oof,roc_auc,0.9872270385376966,0.9863971892801432,-0.0008298492575533611
no_augmentation,validation,accuracy,0.9713282621416032,0.9590403744880047,-0.01228788765359845
no_augmentation,validation,balanced_accuracy,0.9599781937188204,0.9563016339110206,-0.003676559807799795
no_augmentation,validation,precision_cough,0.9579646017699116,0.9034907597535934,-0.05447384201631822
no_augmentation,validation,recall_cough,0.9352051835853132,0.9503239740820735,0.015118790496760237
no_augmentation,validation,specificity_no_cough,0.9847512038523274,0.9622792937399679,-0.022471910112359494
no_augmentation,validation,f1_cough,0.946448087431694,0.9263157894736842,-0.02013229795800975
no_augmentation,validation,macro_f1,0.963435789620761,0.9489763712360317,-0.014459418384729306
no_augmentation,validation,roc_auc,0.9932553068306702,0.9906655942644973,-0.002589712566172908
full_weight_augmentation,train_oof,accuracy,0.9350868100544184,0.9584089142264836,0.02332210417206515
full_weight_augmentation,train_oof,balanced_accuracy,0.9438126484925122,0.9548717358017846,0.011059087309272408
full_weight_augmentation,train_oof,precision_cough,0.8280487804878048,0.9055153707052441,0.07746659021743929
full_weight_augmentation,train_oof,recall_cough,0.9631205673758864,0.9470449172576832,-0.01607565011820311
full_weight_augmentation,train_oof,specificity_no_cough,0.924504729609138,0.9626985543458861,0.03819382473674815
full_weight_augmentation,train_oof,f1_cough,0.8904918032786885,0.9258146521839612,0.03532284890527271
full_weight_augmentation,train_oof,macro_f1,0.9221817270697834,0.948459581020417,0.026277853950633645
full_weight_augmentation,train_oof,roc_auc,0.9856472533078152,0.9863971892801432,0.0007499359723279753
full_weight_augmentation,validation,accuracy,0.9379754242246928,0.9590403744880047,0.0210649502633119
full_weight_augmentation,validation,balanced_accuracy,0.9493203304570306,0.9563016339110206,0.006981303453990062
full_weight_augmentation,validation,precision_cough,0.8275229357798165,0.9034907597535934,0.07596782397377688
full_weight_augmentation,validation,recall_cough,0.9740820734341252,0.9503239740820735,-0.023758099352051754
full_weight_augmentation,validation,specificity_no_cough,0.9245585874799358,0.9622792937399679,0.0377207062600321
full_weight_augmentation,validation,f1_cough,0.8948412698412699,0.9263157894736842,0.03147451963241432
full_weight_augmentation,validation,macro_f1,0.9254289336758216,0.9489763712360317,0.02354743756021016
full_weight_augmentation,validation,roc_auc,0.9900120991925784,0.9906655942644973,0.0006534950719189192
