dataset,metric,baseline_no_augmentation,audio_augmentation,difference
train_oof,accuracy,0.9637211712878984,0.9350868100544183,-0.028634361233480066
train_oof,balanced_accuracy,0.9545569348402936,0.9438126484925122,-0.010744286347781351
train_oof,precision_cough,0.9333963155408596,0.8280487804878048,-0.10534753505305472
train_oof,recall_cough,0.9342789598108748,0.9631205673758865,0.02884160756501164
train_oof,specificity_no_cough,0.9748349098697128,0.924504729609138,-0.050330180260574786
train_oof,f1_cough,0.9338374291115312,0.8904918032786885,-0.04334562583284274
train_oof,macro_f1,0.9544231772476612,0.9221817270697834,-0.03224145017787783
train_oof,roc_auc,0.9872270385376966,0.9856472533078151,-0.0015797852298814474
validation,accuracy,0.9713282621416032,0.9379754242246928,-0.03335283791691035
validation,balanced_accuracy,0.9599781937188204,0.9493203304570306,-0.010657863261789857
validation,precision_cough,0.9579646017699116,0.8275229357798165,-0.1304416659900951
validation,recall_cough,0.9352051835853132,0.9740820734341252,0.03887688984881199
validation,specificity_no_cough,0.9847512038523274,0.9245585874799358,-0.060192616372391594
validation,f1_cough,0.946448087431694,0.8948412698412699,-0.05160681759042407
validation,macro_f1,0.963435789620761,0.9254289336758217,-0.038006855944939355
validation,roc_auc,0.9932553068306702,0.9900120991925783,-0.0032432076380919383
