reference_experiment,dataset,metric,reference_value,family_weighted_value,difference
no_augmentation,train_oof,accuracy,0.9637211712878984,0.9534853589012697,-0.010235812386628629
no_augmentation,train_oof,balanced_accuracy,0.9545569348402936,0.9495675020431895,-0.004989432797104065
no_augmentation,train_oof,precision_cough,0.9333963155408596,0.8947841726618705,-0.038612142878989064
no_augmentation,train_oof,recall_cough,0.9342789598108748,0.9408983451536643,0.006619385342789497
no_augmentation,train_oof,specificity_no_cough,0.9748349098697128,0.9582366589327146,-0.016598250936998182
no_augmentation,train_oof,f1_cough,0.9338374291115312,0.9172620419451486,-0.016575387166382627
no_augmentation,train_oof,macro_f1,0.9544231772476612,0.9424554780330411,-0.011967699214620153
no_augmentation,train_oof,roc_auc,0.9872270385376966,0.9850248241717858,-0.0022022143659107263
no_augmentation,validation,accuracy,0.9713282621416032,0.9514335868929198,-0.01989467524868338
no_augmentation,validation,balanced_accuracy,0.9599781937188204,0.947013163505507,-0.012965030213313411
no_augmentation,validation,precision_cough,0.9579646017699116,0.889344262295082,-0.0686203394748296
no_augmentation,validation,recall_cough,0.9352051835853132,0.937365010799136,0.002159827213822796
no_augmentation,validation,specificity_no_cough,0.9847512038523274,0.956661316211878,-0.028089887640449396
no_augmentation,validation,f1_cough,0.946448087431694,0.9127234490010515,-0.03372463843064244
no_augmentation,validation,macro_f1,0.963435789620761,0.9395396734263466,-0.023896116194414452
no_augmentation,validation,roc_auc,0.9932553068306702,0.988152151680193,-0.005103155150477212
full_weight_noise_augmentation,train_oof,accuracy,0.941435605079036,0.9534853589012697,0.012049753822233722
full_weight_noise_augmentation,train_oof,balanced_accuracy,0.945683437908348,0.9495675020431895,0.0038840641348415472
full_weight_noise_augmentation,train_oof,precision_cough,0.8498106857383256,0.8947841726618705,0.04497348692354486
full_weight_noise_augmentation,train_oof,recall_cough,0.9550827423167848,0.9408983451536643,-0.014184397163120477
full_weight_noise_augmentation,train_oof,specificity_no_cough,0.9362841334999108,0.9582366589327146,0.021952525432803793
full_weight_noise_augmentation,train_oof,f1_cough,0.8993766696349065,0.9172620419451486,0.01788537231024212
full_weight_noise_augmentation,train_oof,macro_f1,0.9290377500221316,0.9424554780330411,0.013417728010909458
full_weight_noise_augmentation,train_oof,roc_auc,0.9848447450264104,0.9850248241717858,0.00018007914537543357
full_weight_noise_augmentation,validation,accuracy,0.946167349327092,0.9514335868929198,0.0052662375658277805
full_weight_noise_augmentation,validation,balanced_accuracy,0.9515451604963095,0.947013163505507,-0.004531996990802534
full_weight_noise_augmentation,validation,precision_cough,0.8560460652591171,0.889344262295082,0.03329819703596493
full_weight_noise_augmentation,validation,recall_cough,0.9632829373650108,0.937365010799136,-0.02591792656587477
full_weight_noise_augmentation,validation,specificity_no_cough,0.9398073836276084,0.956661316211878,0.016853932584269593
full_weight_noise_augmentation,validation,f1_cough,0.9065040650406504,0.9127234490010515,0.006219383960401115
full_weight_noise_augmentation,validation,macro_f1,0.9343531007208182,0.9395396734263466,0.005186572705528358
full_weight_noise_augmentation,validation,roc_auc,0.9884971000072804,0.988152151680193,-0.0003449483270874243
