dataset,metric,baseline_no_augmentation,audio_augmentation,difference
train_oof,accuracy,0.9637211712878984,0.941435605079036,-0.02228556620886235
train_oof,balanced_accuracy,0.9545569348402936,0.9456834379083479,-0.008873496931945724
train_oof,precision_cough,0.9333963155408596,0.8498106857383256,-0.08358562980253392
train_oof,recall_cough,0.9342789598108748,0.9550827423167849,0.020803782505910084
train_oof,specificity_no_cough,0.9748349098697128,0.9362841334999108,-0.038550776369801976
train_oof,f1_cough,0.9338374291115312,0.8993766696349065,-0.03446075947662475
train_oof,macro_f1,0.9544231772476612,0.9290377500221316,-0.02538542722552961
train_oof,roc_auc,0.9872270385376966,0.9848447450264104,-0.00238229351128616
validation,accuracy,0.9713282621416032,0.9461673493270919,-0.02516091281451127
validation,balanced_accuracy,0.9599781937188204,0.9515451604963095,-0.008433033222510877
validation,precision_cough,0.9579646017699116,0.8560460652591171,-0.10191853651079452
validation,recall_cough,0.9352051835853132,0.9632829373650108,0.028077753779697567
validation,specificity_no_cough,0.9847512038523274,0.9398073836276083,-0.0449438202247191
validation,f1_cough,0.946448087431694,0.9065040650406504,-0.039944022391043554
validation,macro_f1,0.963435789620761,0.9343531007208182,-0.02908268889994281
validation,roc_auc,0.9932553068306702,0.9884971000072803,-0.004758206823389899
