threshold,global_macro_f1,global_balanced_accuracy,global_precision_cough,global_recall_cough,global_specificity_no_cough,global_roc_auc,original_cough_recall,new_fsd50k_cough_recall,fsd50k_balanced_accuracy,fsd50k_macro_f1,fsd50k_precision_cough,fsd50k_recall_cough,fsd50k_specificity_no_cough,fsd50k_roc_auc,fsd50k_false_positives,fsd50k_false_negatives,phase,candidate,C,penalty,class_weight,new_fsd50k_cough_weight,passes_macro_f1_floor,passes_specificity_floor,passes_original_recall_floor,constraints_passed,eligible,threshold_distance_from_0p5
0.05,0.2146938775510204,0.5,0.2733887733887734,1.0,0.0,0.5,1.0,1.0,0.5,0.020923396161162025,0.021370540445072413,1.0,0.0,0.5,5541,0,A,lr__C0p0001__l1__weight_none,0.0001,l1,none,1.0,False,False,True,1,False,0.45
0.06,0.2146938775510204,0.5,0.2733887733887734,1.0,0.0,0.5,1.0,1.0,0.5,0.020923396161162025,0.021370540445072413,1.0,0.0,0.5,5541,0,A,lr__C0p0001__l1__weight_none,0.0001,l1,none,1.0,False,False,True,1,False,0.44
0.07,0.2146938775510204,0.5,0.2733887733887734,1.0,0.0,0.5,1.0,1.0,0.5,0.020923396161162025,0.021370540445072413,1.0,0.0,0.5,5541,0,A,lr__C0p0001__l1__weight_none,0.0001,l1,none,1.0,False,False,True,1,False,0.43
0.08,0.2146938775510204,0.5,0.2733887733887734,1.0,0.0,0.5,1.0,1.0,0.5,0.020923396161162025,0.021370540445072413,1.0,0.0,0.5,5541,0,A,lr__C0p0001__l1__weight_none,0.0001,l1,none,1.0,False,False,True,1,False,0.42
0.09,0.2146938775510204,0.5,0.2733887733887734,1.0,0.0,0.5,1.0,1.0,0.5,0.020923396161162025,0.021370540445072413,1.0,0.0,0.5,5541,0,A,lr__C0p0001__l1__weight_none,0.0001,l1,none,1.0,False,False,True,1,False,0.41000000000000003
0.1,0.2146938775510204,0.5,0.2733887733887734,1.0,0.0,0.5,1.0,1.0,0.5,0.020923396161162025,0.021370540445072413,1.0,0.0,0.5,5541,0,A,lr__C0p0001__l1__weight_none,0.0001,l1,none,1.0,False,False,True,1,False,0.4
0.11,0.2146938775510204,0.5,0.2733887733887734,1.0,0.0,0.5,1.0,1.0,0.5,0.020923396161162025,0.021370540445072413,1.0,0.0,0.5,5541,0,A,lr__C0p0001__l1__weight_none,0.0001,l1,none,1.0,False,False,True,1,False,0.39
0.12,0.2146938775510204,0.5,0.2733887733887734,1.0,0.0,0.5,1.0,1.0,0.5,0.020923396161162025,0.021370540445072413,1.0,0.0,0.5,5541,0,A,lr__C0p0001__l1__weight_none,0.0001,l1,none,1.0,False,False,True,1,False,0.38
0.13,0.2146938775510204,0.5,0.2733887733887734,1.0,0.0,0.5,1.0,1.0,0.5,0.020923396161162025,0.021370540445072413,1.0,0.0,0.5,5541,0,A,lr__C0p0001__l1__weight_none,0.0001,l1,none,1.0,False,False,True,1,False,0.37
0.14,0.2146938775510204,0.5,0.2733887733887734,1.0,0.0,0.5,1.0,1.0,0.5,0.020923396161162025,0.021370540445072413,1.0,0.0,0.5,5541,0,A,lr__C0p0001__l1__weight_none,0.0001,l1,none,1.0,False,False,True,1,False,0.36
0.15,0.2146938775510204,0.5,0.2733887733887734,1.0,0.0,0.5,1.0,1.0,0.5,0.020923396161162025,0.021370540445072413,1.0,0.0,0.5,5541,0,A,lr__C0p0001__l1__weight_none,0.0001,l1,none,1.0,False,False,True,1,False,0.35
0.16,0.2146938775510204,0.5,0.2733887733887734,1.0,0.0,0.5,1.0,1.0,0.5,0.020923396161162025,0.021370540445072413,1.0,0.0,0.5,5541,0,A,lr__C0p0001__l1__weight_none,0.0001,l1,none,1.0,False,False,True,1,False,0.33999999999999997
0.17,0.2146938775510204,0.5,0.2733887733887734,1.0,0.0,0.5,1.0,1.0,0.5,0.020923396161162025,0.021370540445072413,1.0,0.0,0.5,5541,0,A,lr__C0p0001__l1__weight_none,0.0001,l1,none,1.0,False,False,True,1,False,0.32999999999999996
0.18,0.2146938775510204,0.5,0.2733887733887734,1.0,0.0,0.5,1.0,1.0,0.5,0.020923396161162025,0.021370540445072413,1.0,0.0,0.5,5541,0,A,lr__C0p0001__l1__weight_none,0.0001,l1,none,1.0,False,False,True,1,False,0.32
0.19,0.2146938775510204,0.5,0.2733887733887734,1.0,0.0,0.5,1.0,1.0,0.5,0.020923396161162025,0.021370540445072413,1.0,0.0,0.5,5541,0,A,lr__C0p0001__l1__weight_none,0.0001,l1,none,1.0,False,False,True,1,False,0.31
0.2,0.2146938775510204,0.5,0.2733887733887734,1.0,0.0,0.5,1.0,1.0,0.5,0.020923396161162025,0.021370540445072413,1.0,0.0,0.5,5541,0,A,lr__C0p0001__l1__weight_none,0.0001,l1,none,1.0,False,False,True,1,False,0.3
0.21,0.2146938775510204,0.5,0.2733887733887734,1.0,0.0,0.5,1.0,1.0,0.5,0.020923396161162025,0.021370540445072413,1.0,0.0,0.5,5541,0,A,lr__C0p0001__l1__weight_none,0.0001,l1,none,1.0,False,False,True,1,False,0.29000000000000004
