threshold,global_macro_f1,global_balanced_accuracy,global_precision_cough,global_recall_cough,global_specificity_no_cough,global_roc_auc,original_cough_recall,new_fsd50k_cough_recall,fsd50k_balanced_accuracy,fsd50k_macro_f1,fsd50k_precision_cough,fsd50k_recall_cough,fsd50k_specificity_no_cough,fsd50k_roc_auc,fsd50k_false_positives,fsd50k_false_negatives,phase,candidate,C,penalty,class_weight,new_fsd50k_cough_weight,passes_macro_f1_floor,passes_specificity_floor,passes_original_recall_floor,constraints_passed,eligible,threshold_distance_from_0p5
0.05,0.8539244110454707,0.905398532395546,0.6819380355965722,0.9833650190114068,0.8274320457796852,0.9876447103956222,0.9994957135653051,0.71900826446281,0.7765768627854566,0.5304666656050603,0.08648111332007952,0.71900826446281,0.8341454611081033,0.8518153926924906,919,34,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.45
0.06,0.8643807761332134,0.9123139656325985,0.7003047748052827,0.9828897338403042,0.8417381974248928,0.9876447103956222,0.9994957135653051,0.7107438016528925,0.7796635449340081,0.5396999736205383,0.09297297297297297,0.7107438016528925,0.8485832882151236,0.8518153926924906,839,35,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.44
0.07,0.8733261897487479,0.9180082083584915,0.7168632893823733,0.9819391634980988,0.8540772532188842,0.9876447103956222,0.9994957135653051,0.6942148760330579,0.7776253950639933,0.5471645718278243,0.09836065573770492,0.6942148760330579,0.8610359140949287,0.8518153926924906,770,37,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.43
0.08,0.8814493872005419,0.9232247860876754,0.7322695035460993,0.9814638783269962,0.8649856938483548,0.9876447103956222,0.9994957135653051,0.6859504132231405,0.7789975852435862,0.5550335746282341,0.10479797979797979,0.6859504132231405,0.8720447572640317,0.8518153926924906,709,38,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.42
0.09,0.8882594676959237,0.9273990002012653,0.7458423716558207,0.9805133079847909,0.8742846924177397,0.9876447103956222,0.9994957135653051,0.6694214876033058,0.7754254162434504,0.5609942115383225,0.10975609756097561,0.6694214876033058,0.881429344883595,0.8518153926924906,657,40,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.41000000000000003
0.1,0.8934454900301454,0.9303520238036956,0.7567964731814842,0.9790874524714829,0.8816165951359084,0.9876447103956222,0.9989914271306102,0.6528925619834711,0.7707704102102881,0.5653351807543586,0.11350574712643678,0.6528925619834711,0.8886482584371053,0.8518153926924906,617,42,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.4
0.11,0.8988847191144254,0.933839148267215,0.7677972418934029,0.9790874524714829,0.8885908440629471,0.9876447103956222,0.9989914271306102,0.6528925619834711,0.7742896305676243,0.5721473851609573,0.1202435312024353,0.6528925619834711,0.8956866991517777,0.8518153926924906,578,42,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.39
0.12,0.903171030376166,0.9361662777351676,0.7773998488284203,0.9776615969581749,0.8946709585121603,0.9876447103956222,0.9979828542612204,0.6446280991735537,0.7732254374229075,0.5772414125575911,0.12540192926045016,0.6446280991735537,0.9018227756722613,0.8518153926924906,544,43,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.38
0.13,0.9082211041373249,0.9390887035798017,0.7885648503453568,0.9767110266159695,0.9014663805436338,0.9876447103956222,0.9979828542612204,0.628099173553719,0.7683899585509075,0.5821689310061403,0.13058419243986255,0.628099173553719,0.908680743548096,0.8518153926924906,506,45,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.37
0.14,0.9125766843914023,0.9414158330477542,0.7987543791358506,0.9752851711026616,0.9075464949928469,0.9876447103956222,0.9979828542612204,0.6033057851239669,0.7589710661768545,0.5850012499614883,0.1336996336996337,0.6033057851239669,0.914636347229742,0.8518153926924906,473,48,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.36
0.15,0.915382866083013,0.9427594145900988,0.8057412504915454,0.9738593155893536,0.9116595135908441,0.9876447103956222,0.9974785678265254,0.5867768595041323,0.7527820410135713,0.5871880433559001,0.1362763915547025,0.5867768595041323,0.9187872225230103,0.8518153926924906,450,50,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.35
0.16,0.9188030454766248,0.9446088790613424,0.8139165009940358,0.9729087452471483,0.9163090128755365,0.9876447103956222,0.9964699949571356,0.5867768595041323,0.7550379514990433,0.5928911832925914,0.1431451612903226,0.5867768595041323,0.9232990434939542,0.8518153926924906,425,50,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.33999999999999997
0.17,0.9227197057684863,0.9470230421514712,0.8227491961414791,0.9729087452471483,0.921137339055794,0.9876447103956222,0.9964699949571356,0.5867768595041323,0.7574743348233529,0.5994707139992358,0.1513859275053305,0.5867768595041323,0.9281718101425736,0.8518153926924906,398,50,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.32999999999999996
0.18,0.925726392306929,0.9484560371415982,0.8305566842746851,0.9714828897338403,0.9254291845493562,0.9876447103956222,0.9959657085224407,0.5702479338842975,0.7513755460794886,0.6025448864984576,0.15575620767494355,0.5702479338842975,0.9325031582746797,0.8518153926924906,374,52,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.32
0.19,0.9278879232260892,0.9495007805827989,0.8361998361998362,0.970532319391635,0.9284692417739628,0.9876447103956222,0.9954614220877458,0.5619834710743802,0.748687097385232,0.6052460560347643,0.1596244131455399,0.5619834710743802,0.9353907236960838,0.8518153926924906,358,53,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.31
0.2,0.9297821505681503,0.9505149262662032,0.8409559126493613,0.9700570342205324,0.9309728183118741,0.9876447103956222,0.9949571356530509,0.5619834710743802,0.7498601708376773,0.6088978211896853,0.16464891041162227,0.5619834710743802,0.9377368706009745,0.8518153926924906,345,53,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.3
0.21,0.932144341066945,0.951945541430724,0.8465367067606803,0.9700570342205324,0.9338340486409156,0.9876447103956222,0.9949571356530509,0.5619834710743802,0.7513039535483794,0.613598765736467,0.1712846347607053,0.5619834710743802,0.9406244360223787,0.8518153926924906,329,53,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.29000000000000004
0.22,0.9356878913218565,0.9539432350397363,0.8553459119496856,0.9695817490494296,0.9383047210300429,0.9876447103956222,0.994452849218356,0.5619834710743802,0.7534696276144325,0.6211236593508062,0.18230563002680966,0.5619834710743802,0.9449557841544848,0.8518153926924906,305,53,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.28
0.23,0.9374433041861184,0.9547197381375894,0.8602785985647953,0.9686311787072244,0.9408082975679543,0.9876447103956222,0.9939485627836612,0.5537190082644629,0.7506007060813381,0.6239687915984489,0.1871508379888268,0.5537190082644629,0.9474824038982134,0.8518153926924906,291,54,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.27
0.24,0.9375265668540121,0.9542162350342966,0.861864406779661,0.9667300380228137,0.9417024320457796,0.9876447103956222,0.9934442763489663,0.5289256198347108,0.7386551939635564,0.620079021660433,0.18285714285714286,0.5289256198347108,0.9483847680924021,0.8518153926924906,286,57,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.26
0.25,0.9385738580690619,0.9548421291687745,0.8644283892902678,0.9667300380228137,0.9429542203147353,0.9876447103956222,0.9934442763489663,0.5289256198347108,0.7391966124800697,0.6221173259978592,0.18604651162790697,0.5289256198347108,0.9494676051254286,0.8518153926924906,280,57,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.25
0.26,0.939676264909401,0.9546680619244221,0.8692670381483069,0.9638783269961977,0.9454577968526466,0.9876447103956222,0.9924357034795764,0.49586776859504134,0.7239309967320993,0.6191964696147835,0.18404907975460122,0.49586776859504134,0.9519942248691572,0.8518153926924906,266,61,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.24
0.27,0.9416326040706287,0.9558304367455952,0.8741379310344828,0.9638783269961977,0.9477825464949928,0.9876447103956222,0.9924357034795764,0.49586776859504134,0.7251040701845446,0.6238319516911892,0.19169329073482427,0.49586776859504134,0.954340371774048,0.8518153926924906,253,61,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.22999999999999998
0.28,0.9426886903623038,0.9564563308800731,0.8767833981841764,0.9638783269961977,0.9490343347639485,0.9876447103956222,0.9924357034795764,0.49586776859504134,0.7257357251204768,0.626428776671662,0.19607843137254902,0.49586776859504134,0.9556036816459123,0.8518153926924906,246,61,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.21999999999999997
0.29,0.9431110318224297,0.9564281129478832,0.8785776235906332,0.9629277566539924,0.949928469241774,0.9876447103956222,0.9924357034795764,0.4793388429752066,0.7179224444076538,0.6241553995038955,0.1939799331103679,0.4793388429752066,0.956506045840101,0.8518153926924906,241,63,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.21000000000000002
0.3,0.9446248511314013,0.9573222474257086,0.882404181184669,0.9629277566539924,0.9517167381974249,0.9876447103956222,0.9924357034795764,0.4793388429752066,0.7188248086018426,0.6279944756566862,0.20069204152249134,0.4793388429752066,0.9583107742284787,0.8518153926924906,231,63,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,False,False,True,1,False,0.2
0.31,0.9458387150190428,0.958037555007969,0.8854895104895105,0.9629277566539924,0.9531473533619457,0.9876447103956222,0.9924357034795764,0.4793388429752066,0.7195466999571937,0.6311857668260055,0.20640569395017794,0.4793388429752066,0.9597545569391807,0.8518153926924906,223,63,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,False,True,2,False,0.19
0.32,0.9465986563291009,0.9584846222468817,0.8874288217257994,0.9629277566539924,0.954041487839771,0.9876447103956222,0.9924357034795764,0.4793388429752066,0.719997882054288,0.6332376598627162,0.21014492753623187,0.4793388429752066,0.9606569211333694,0.8518153926924906,218,63,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,False,True,2,False,0.18
0.33,0.9476498327681792,0.9589622872435908,0.8905013192612137,0.9624524714828897,0.9554721030042919,0.9876447103956222,0.9924357034795764,0.47107438016528924,0.7165875420046803,0.6343797841612682,0.21348314606741572,0.47107438016528924,0.9621007038440714,0.8518153926924906,210,64,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,False,True,2,False,0.16999999999999998
0.34,0.9483980905320599,0.9592611253447347,0.8928098808998677,0.9619771863117871,0.9565450643776824,0.9876447103956222,0.9919314170448815,0.47107438016528924,0.7170387241017747,0.6365318562438983,0.21755725190839695,0.47107438016528924,0.9630030680382602,0.8518153926924906,205,64,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,False,True,2,False,0.15999999999999998
0.35,0.9501772201899895,0.9597411701670502,0.8989764129951046,0.9600760456273765,0.9594062947067239,0.9876447103956222,0.9904185577407968,0.4628099173553719,0.7142600389880993,0.6409521590343624,0.22764227642276422,0.4628099173553719,0.9657101606208266,0.8518153926924906,190,65,B,lr__C0p1__l2__weight_none__fsdposw1,0.1,l2,none,1.0,True,False,True,2,False,0.15000000000000002
