candidate,family,C,penalty,class_weight,threshold,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct,cv_fit_seconds,mean_tree_nodes_cv,selected
lr__C0p0001__l1__weight_none,lr,0.0001,l1,,0.5,7628,5658,1970,0.25825904562139484,0.5,0.25825904562139484,1.0,0.0,0.4105021879558241,0.20525109397791205,0.5,0,5658,0,1970,0.13876579998759553,0.0,False
lr__C0p0001__l1__weight_balanced,lr,0.0001,l1,balanced,0.5,7628,5658,1970,0.25825904562139484,0.5,0.25825904562139484,1.0,0.0,0.4105021879558241,0.20525109397791205,0.5,0,5658,0,1970,0.13010700000450015,0.0,False
lr__C0p0001__l2__weight_none,lr,0.0001,l2,,0.5,7628,5658,1970,0.8589407446250655,0.9040862136716711,0.6472332015810277,0.9974619289340102,0.810710498409332,0.7850579304834199,0.8400411603636612,0.9757289889164615,4587,1071,5,1965,0.21586260000185575,0.0,False
lr__C0p0001__l2__weight_balanced,lr,0.0001,l2,balanced,0.5,7628,5658,1970,0.8259045621394862,0.8821477338587114,0.5975091130012151,0.9984771573604061,0.7658183103570166,0.7476244773850247,0.8073723747741613,0.9708085940934448,4333,1325,3,1967,0.16968260001158342,0.0,False
lr__C0p0003__l1__weight_none,lr,0.0003,l1,,0.5,7628,5658,1970,0.25825904562139484,0.5,0.25825904562139484,1.0,0.0,0.4105021879558241,0.20525109397791205,0.5,0,5658,0,1970,0.1255167000053916,0.0,False
lr__C0p0003__l1__weight_balanced,lr,0.0003,l1,balanced,0.5,7628,5658,1970,0.25825904562139484,0.5,0.25825904562139484,1.0,0.0,0.4105021879558241,0.20525109397791205,0.5,0,5658,0,1970,0.12015989999054,0.0,False
lr__C0p0003__l2__weight_none,lr,0.0003,l2,,0.5,7628,5658,1970,0.9019402202412166,0.9335680308910792,0.7251289609432572,0.9989847715736041,0.8681512902085543,0.8403074295473953,0.8847772486367321,0.989935817036387,4912,746,2,1968,0.18157389998668805,0.0,False
lr__C0p0003__l2__weight_balanced,lr,0.0003,l2,balanced,0.5,7628,5658,1970,0.8618248557944416,0.9066921101786608,0.6515552614162806,0.999492385786802,0.8138918345705196,0.7888621794871795,0.8430865846773388,0.9880288096635104,4605,1053,1,1969,0.19361650002247188,0.0,False
lr__C0p001__l1__weight_none,lr,0.001,l1,,0.5,7628,5658,1970,0.9075773466177242,0.919997111138624,0.7570093457943925,0.9456852791878173,0.8943089430894309,0.8408937034529451,0.8878833413338629,0.9678620452061947,5060,598,107,1863,0.1682096000004094,0.0,False
lr__C0p001__l1__weight_balanced,lr,0.001,l1,balanced,0.5,7628,5658,1970,0.7914263240692186,0.8580791225038713,0.5534555712270804,0.9959390862944163,0.7202191587133263,0.7115140525838622,0.7740918995082333,0.9696441676400873,4075,1583,8,1962,0.15717889998632018,0.0,False
