candidate,family,n_estimators,max_depth,min_samples_leaf,threshold,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct,cv_fit_seconds,mean_tree_nodes_cv,selected
rf__trees25__depth6__leaf2,rf,25,6,2,0.5,7636,5806,1830,0.9743321110529073,0.9745140226146308,0.922440537745605,0.9748633879781421,0.9741646572511196,0.9479277364505845,0.9654480531401342,0.9960082748391057,5656,150,46,1784,0.6648273000173504,2346.2,False
rf__trees25__depth6__leaf5,rf,25,6,5,0.5,7636,5806,1830,0.9721058145625983,0.9719273824515434,0.9169675090252708,0.9715846994535519,0.972270065449535,0.9434863358981163,0.9624847136327928,0.9959776394873213,5645,161,52,1778,0.6647091999911936,2237.0,False
rf__trees25__depth8__leaf2,rf,25,8,2,0.5,7636,5806,1830,0.9787847040335254,0.9740741159042181,0.9474248927038627,0.9650273224043716,0.9831209094040647,0.9561451001624256,0.9710765231335534,0.996724323245785,5708,98,64,1766,0.7260928999749012,4068.6,False
rf__trees25__depth8__leaf5,rf,25,8,5,0.5,7636,5806,1830,0.9777370350969093,0.9739464921345735,0.9419595314164004,0.9666666666666667,0.9812263176024802,0.9541531823085221,0.9697261933680279,0.9968002292710199,5697,109,61,1769,0.640816499988432,3548.6,True
rf__trees25__depth10__leaf2,rf,25,10,2,0.5,7636,5806,1830,0.9783918281822944,0.9717575938966473,0.9512195121951219,0.9590163934426229,0.9844987943506717,0.9551020408163265,0.9704371116386539,0.9968171234204677,5716,90,75,1755,0.7349354000180028,4913.8,False
rf__trees25__depth10__leaf5,rf,25,10,5,0.5,7636,5806,1830,0.9785227867993714,0.9731534553476806,0.9483315392895587,0.9628415300546448,0.9834653806407165,0.955531453362256,0.97068699739936,0.9969361354091961,5710,96,68,1762,0.734330699997372,4122.6,False
rf__trees25__depth12__leaf2,rf,25,12,2,0.5,7636,5806,1830,0.9782608695652174,0.970361732445614,0.9541484716157205,0.9551912568306011,0.9855322080606269,0.9546695794647734,0.9701857802577958,0.996603334782748,5722,84,82,1748,0.7685943999968003,5387.0,False
rf__trees25__depth12__leaf5,rf,25,12,5,0.5,7636,5806,1830,0.9779989523310634,0.972434771641923,0.9472551130247578,0.9617486338797814,0.9831209094040647,0.9544468546637744,0.9699720461164176,0.9970185826232144,5708,98,70,1760,0.8712384999962524,4413.0,False
rf__trees50__depth6__leaf2,rf,50,6,2,0.5,7636,5806,1830,0.9753797799895233,0.9755771775570401,0.9253886010362694,0.9759562841530055,0.9751980709610748,0.95,0.9668346073662265,0.9965073346020416,5662,144,44,1786,1.2559709999914048,4714.0,False
rf__trees50__depth6__leaf5,rf,50,6,5,0.5,7636,5806,1830,0.9747249869041383,0.9743981635730138,0.9247535028541775,0.9737704918032787,0.9750258353427489,0.9486292254458344,0.965934239296951,0.9964683227639017,5661,145,48,1782,1.1962096999923233,4510.0,False
rf__trees50__depth8__leaf2,rf,50,8,2,0.5,7636,5806,1830,0.9794394971189104,0.9748789174191387,0.9490069779924852,0.966120218579235,0.9836376162590423,0.9574871378283238,0.9719640542755921,0.9971298769503565,5711,95,62,1768,1.3174551999836694,8140.8,False
rf__trees50__depth8__leaf5,rf,50,8,5,0.5,7636,5806,1830,0.9785227867993714,0.974650305224104,0.9445037353255069,0.9672131147540983,0.9820874956941096,0.9557235421166307,0.9707732510029903,0.9970206061564351,5702,104,60,1770,1.3073329999897396,7128.4,False
rf__trees50__depth10__leaf2,rf,50,10,2,0.5,7636,5806,1830,0.9798323729701415,0.9721435710937809,0.9584245076586433,0.9573770491803278,0.9869100930072339,0.9579004920721705,0.9723203166405282,0.9971093592646763,5730,76,78,1752,1.392580200044904,9981.6,False
rf__trees50__depth10__leaf5,rf,50,10,5,0.5,7636,5806,1830,0.9800942902042954,0.9743739752921888,0.954004329004329,0.9633879781420766,0.9853599724423011,0.958673191952148,0.9727814812615665,0.9971636181903403,5721,85,67,1763,1.4461459999874933,8280.4,False
rf__trees50__depth12__leaf2,rf,50,12,2,0.5,7636,5806,1830,0.9793085385018334,0.9706764624498117,0.9593406593406594,0.9540983606557377,0.9872545642438857,0.9567123287671233,0.9715587112773837,0.9970101120190344,5732,74,84,1746,1.60689470001671,10836.4,False
