candidate,family,n_estimators,max_depth,min_samples_leaf,threshold,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct,cv_fit_seconds,mean_tree_nodes_cv,selected
rf__trees25__depth6__leaf2,rf,25,6,2,0.5,7628,5658,1970,0.9735186156266387,0.9748699563799876,0.9241842610364683,0.9776649746192894,0.9720749381406858,0.9501726689689196,0.9660700873857274,0.9962988482235298,5500,158,44,1926,0.728817799987155,2361.8,False
rf__trees25__depth6__leaf5,rf,25,6,5,0.5,7628,5658,1970,0.9719454640797064,0.9733132010198937,0.9200956937799043,0.9761421319796955,0.9704842700600919,0.9472906403940887,0.9640883355596739,0.9962311124987215,5491,167,47,1923,0.7450124000024516,2239.0,False
rf__trees25__depth8__leaf2,rf,25,8,2,0.5,7628,5658,1970,0.9765338227582591,0.9737591802093258,0.9426594167078596,0.968020304568528,0.9794980558501237,0.9551715502128725,0.9696394020264398,0.9965345775174813,5542,116,63,1907,0.8352109999977984,4125.4,True
rf__trees25__depth8__leaf5,rf,25,8,5,0.5,7628,5658,1970,0.9764027267960147,0.9746634297064666,0.9395874263261297,0.9710659898477157,0.9782608695652174,0.9550673989016475,0.9695336994508237,0.9965874652125466,5535,123,57,1913,0.8156609000288881,3627.8,False
rf__trees25__depth10__leaf2,rf,25,10,2,0.5,7628,5658,1970,0.9770582066072365,0.9717965487975339,0.9507785032646912,0.9609137055837563,0.9826793920113114,0.9558192375662712,0.9701628281678191,0.9965986348784256,5560,98,77,1893,0.8873339000128908,5065.4,False
rf__trees25__depth10__leaf5,rf,25,10,5,0.5,7628,5658,1970,0.9785002621919245,0.9754156102585082,0.9488071570576541,0.9690355329949238,0.9817956875220926,0.9588146659969864,0.9721339606373082,0.9967489992158803,5555,103,61,1909,0.9372726999863517,4263.0,False
rf__trees25__depth12__leaf2,rf,25,12,2,0.5,7628,5658,1970,0.9777136864184583,0.9712457810960806,0.9559270516717325,0.9578680203045685,0.9846235418875928,0.9568965517241379,0.9709341315904989,0.9969421581768234,5571,87,83,1887,0.9977827000402613,5592.2,False
rf__trees25__depth12__leaf5,rf,25,12,5,0.5,7628,5658,1970,0.9799423177766124,0.9762222485389718,0.9544772386193097,0.9685279187817258,0.9839165782962177,0.9614512471655329,0.9739479147141565,0.9968139985968388,5567,91,62,1908,1.0247817999916151,4594.6,False
rf__trees50__depth6__leaf2,rf,50,6,2,0.5,7628,5658,1970,0.9740429994756161,0.9753888748333521,0.925552353506244,0.9781725888324873,0.972605160834217,0.9511352418558736,0.9667314909743487,0.9964933080692537,5503,155,43,1927,1.354763900002581,4745.6,False
rf__trees50__depth6__leaf5,rf,50,6,5,0.5,7628,5658,1970,0.9732564237021499,0.9748586521398208,0.9228927203065134,0.9781725888324873,0.9715447154471545,0.9497289305076392,0.9657556958307083,0.9964925006235276,5497,161,43,1927,1.4220464000245556,4501.6,False
rf__trees50__depth8__leaf2,rf,50,8,2,0.5,7628,5658,1970,0.9781069743051914,0.9763085555154823,0.9443075406604239,0.9725888324873097,0.980028278543655,0.9582395598899724,0.9717021731225646,0.9969708225001032,5545,113,54,1916,1.3956281999999192,8286.4,False
rf__trees50__depth8__leaf5,rf,50,8,5,0.5,7628,5658,1970,0.9770582066072365,0.9754361552664301,0.941031941031941,0.9720812182741116,0.9787910922587487,0.9563046192259675,0.9703752231317821,0.9969157367583387,5538,120,55,1915,1.433946899982402,7315.6,False
rf__trees50__depth10__leaf2,rf,50,10,2,0.5,7628,5658,1970,0.9771893025694809,0.9715540459311016,0.9521651560926485,0.9598984771573604,0.9832096147048427,0.9560161779575329,0.9703089739345186,0.9968412723191455,5563,95,79,1891,1.631582999994862,10278.8,False
rf__trees50__depth10__leaf5,rf,50,10,5,0.5,7628,5658,1970,0.9792868379653906,0.9759458329520395,0.9516450648055832,0.9690355329949238,0.9828561329091552,0.960261569416499,0.9731272386089587,0.9970608078404775,5561,97,61,1909,1.6899987000215333,8552.8,False
rf__trees50__depth12__leaf2,rf,50,12,2,0.5,7628,5658,1970,0.9799423177766124,0.9745678819622008,0.9590702374936837,0.9634517766497462,0.9856839872746553,0.9612560141808053,0.9738622867401772,0.9971157141498582,5577,81,72,1898,1.7135835000080988,11219.2,False
rf__trees50__depth12__leaf5,rf,50,12,5,0.5,7628,5658,1970,0.9798112218143681,0.9756375681170186,0.9553660982948846,0.9670050761421319,0.9842700600919053,0.9611503531786074,0.9737561896959279,0.9972177214599336,5569,89,65,1905,1.9096234000026016,9209.2,False
rf__trees75__depth6__leaf2,rf,75,6,2,0.5,7628,5658,1970,0.974698479286838,0.9761616003933158,0.9269581931763575,0.9791878172588833,0.9731353835277483,0.9523574426067638,0.967566494618866,0.996472224764181,5506,152,41,1929,1.9632179999898653,7079.4,False
rf__trees75__depth6__leaf5,rf,75,6,5,0.5,7628,5658,1970,0.9739119035133718,0.974804194411399,0.9263360616273472,0.9766497461928934,0.9729586426299046,0.9508277736595009,0.9665370913975084,0.9965712265818311,5505,153,46,1924,1.9751173999975435,6720.2,False
rf__trees75__depth8__leaf2,rf,75,8,2,0.5,7628,5658,1970,0.9778447823807027,0.975139194671576,0.946012877662209,0.9695431472081218,0.98073524213503,0.9576334921032841,0.9713169679385685,0.9969614920161561,5549,109,60,1910,2.190122900006827,12387.4,False
rf__trees75__depth8__leaf5,rf,75,8,5,0.5,7628,5658,1970,0.9769271106449922,0.9755132214751854,0.9401373895976447,0.9725888324873097,0.9784376104630611,0.9560878243512974,0.9702202990888777,0.9969728859725145,5536,122,54,1916,2.2956607000378426,10866.2,False
rf__trees75__depth10__leaf2,rf,75,10,2,0.5,7628,5658,1970,0.9779758783429471,0.9732423252283726,0.9518555667001003,0.9634517766497462,0.9830328738069989,0.9576185671039354,0.971370388759194,0.9969607294285258,5562,96,72,1898,2.470246999990195,15248.6,False
