candidate,representation_key,pca_components,c_value,penalty,class_weight,input_dimension,output_dimension,threshold,elapsed_seconds,max_iterations,selected,oof_tuned__n_samples,oof_tuned__n_no_cough,oof_tuned__n_cough,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__precision_cough,oof_tuned__recall_cough,oof_tuned__specificity_no_cough,oof_tuned__f1_cough,oof_tuned__macro_f1,oof_tuned__roc_auc,oof_tuned__tn_no_cough_correct,oof_tuned__fp_no_cough_as_cough,oof_tuned__fn_cough_as_no_cough,oof_tuned__tp_cough_correct,oof_0p5__n_samples,oof_0p5__n_no_cough,oof_0p5__n_cough,oof_0p5__accuracy,oof_0p5__balanced_accuracy,oof_0p5__precision_cough,oof_0p5__recall_cough,oof_0p5__specificity_no_cough,oof_0p5__f1_cough,oof_0p5__macro_f1,oof_0p5__roc_auc,oof_0p5__tn_no_cough_correct,oof_0p5__fp_no_cough_as_cough,oof_0p5__fn_cough_as_no_cough,oof_0p5__tp_cough_correct,oof_tuned__original_cough_count,oof_tuned__original_cough_recall,oof_tuned__new_fsd50k_cough_count,oof_tuned__new_fsd50k_cough_recall
s0_s1__raw__noamp__pcanone__C0p001__l2__weight_none,s0_s1__raw__noamp,,0.001,l2,,285,285,0.51,1.8255784999928437,6,False,7341,5237,2104,0.8708622803432775,0.8600156752443675,0.7453310696095077,0.8346007604562737,0.8854305900324614,0.7874439461883408,0.8473513998208384,0.9062182583561975,4637,600,348,1756,7341,5237,2104,0.8695000681106116,0.8616199555517156,0.7385512073272273,0.8431558935361216,0.8800840175673095,0.7873945849977807,0.8466257516183873,0.9062182583561975,4609,628,330,1774,1983,0.8774583963691377,121,0.1322314049586777
s0_s1__raw__noamp__pcanone__C0p01__l2__weight_none,s0_s1__raw__noamp,,0.01,l2,,285,285,0.46,2.681126300012693,7,False,7341,5237,2104,0.8794442174090723,0.8614811907958217,0.7734410049349484,0.8193916349809885,0.903570746610655,0.7957535195015001,0.8551190053783468,0.9144386861255572,4732,505,380,1724,7341,5237,2104,0.8764473504972075,0.8460169523520491,0.7901114881240912,0.7747148288973384,0.9173190758067596,0.7823374130069595,0.8480398429751868,0.9144386861255572,4804,433,474,1630,1983,0.8628340897629854,121,0.10743801652892562
s0_s1__raw__noamp__pcanone__C0p1__l2__weight_none,s0_s1__raw__noamp,,0.1,l2,,285,285,0.46,3.979221299989149,8,False,7341,5237,2104,0.8793079961858058,0.8585423547426145,0.7780821917808219,0.8098859315589354,0.9071987779262937,0.7936655798789007,0.8541874299086456,0.9160462336214025,4751,486,400,1704,7341,5237,2104,0.8776733415066067,0.8473027271585407,0.7927184466019418,0.7761406844106464,0.918464769906435,0.7843419788664745,0.8494822653412045,0.9160462336214025,4810,427,471,1633,1983,0.8522440746343923,121,0.11570247933884298
s0_s1__raw__peak_rms__pcanone__C0p001__l2__weight_none,s0_s1__raw__peak_rms,,0.001,l2,,291,291,0.51,1.6340374000137672,6,False,7341,5237,2104,0.8874812695818008,0.8791984733517215,0.7730769230769231,0.8597908745247148,0.8986060721787282,0.8141314131413141,0.8667257964319581,0.9261619029848309,4706,531,295,1809,7341,5237,2104,0.8855741724560686,0.8794256790851291,0.765993265993266,0.8650190114068441,0.8938323467634142,0.8125,0.865081601646736,0.9261619029848309,4681,556,284,1820,1983,0.9056984367120524,121,0.10743801652892562
s0_s1__raw__peak_rms__pcanone__C0p01__l2__weight_none,s0_s1__raw__peak_rms,,0.01,l2,,291,291,0.42,2.5943139999872074,7,False,7341,5237,2104,0.8974254188802615,0.8911439951616569,0.789045785194694,0.876425855513308,0.9058621348100058,0.8304435937851835,0.8784578090007843,0.9344994957639087,4744,493,260,1844,7341,5237,2104,0.896608091540662,0.875359163846599,0.8158759981211836,0.8255703422053232,0.9251479854878747,0.820694542877392,0.8740280064372604,0.9344994957639087,4845,392,367,1737,1983,0.9228441754916793,121,0.11570247933884298
s0_s1__raw__peak_rms__pcanone__C0p1__l2__weight_none,s0_s1__raw__peak_rms,,0.1,l2,,291,291,0.39,3.7420797999948263,9,False,7341,5237,2104,0.9006947282386596,0.894572727978968,0.7951910691283813,0.8802281368821293,0.9089173190758068,0.8355515452289646,0.8822113273027445,0.9404335268718993,4760,477,252,1852,7341,5237,2104,0.9011033919084593,0.8792206630069315,0.8271604938271605,0.8279467680608364,0.9304945579530265,0.8275534441805226,0.8791128565440428,0.9404335268718993,4873,364,362,1742,1983,0.9263741805345436,121,0.12396694214876033
s0_s1__raw__peak_rms_crest__pcanone__C0p001__l2__weight_none,s0_s1__raw__peak_rms_crest,,0.001,l2,,294,294,0.52,1.5744628999964334,6,False,7341,5237,2104,0.8869363846887345,0.8751202053101251,0.7779232111692844,0.8474334600760456,0.9028069505442047,0.8111919927206551,0.8652498948631469,0.9264656607598319,4728,509,321,1783,7341,5237,2104,0.8839395177768696,0.8770004722902482,0.7641350210970465,0.8607414448669202,0.8932594997135764,0.8095663835493965,0.8630512168530682,0.9264656607598319,4678,559,293,1811,1983,0.8920827029752899,121,0.11570247933884298
s0_s1__raw__peak_rms_crest__pcanone__C0p01__l2__weight_none,s0_s1__raw__peak_rms_crest,,0.01,l2,,294,294,0.45,2.246601200022269,7,False,7341,5237,2104,0.9008309494619262,0.8868489582387966,0.8101893597835889,0.8540874524714829,0.9196104640061104,0.8315594632114761,0.8806445964706029,0.9373217113388141,4816,421,307,1797,7341,5237,2104,0.900558507015393,0.8789809330509515,0.8252840909090909,0.8284220532319392,0.9295398128699637,0.8268500948766604,0.8785502146464326,0.9373217113388141,4868,369,361,1743,1983,0.9001512859304085,121,0.09917355371900827
s0_s1__raw__peak_rms_crest__pcanone__C0p1__l2__weight_none,s0_s1__raw__peak_rms_crest,,0.1,l2,,294,294,0.51,3.4607051000348292,8,False,7341,5237,2104,0.907778231848522,0.8840410819911844,0.8465274405050995,0.8284220532319392,0.9396601107504297,0.8373768916646649,0.8865085808261531,0.9449888951893191,4921,316,361,1743,7341,5237,2104,0.9073695681787223,0.8844654988524908,0.8436293436293436,0.8307984790874525,0.9381325186175291,0.8371647509578544,0.8862199159320017,0.9449888951893191,4913,324,356,1748,1983,0.8734241048915784,121,0.09090909090909091
s0_s1__log__noamp__pcanone__C0p001__l2__weight_none,s0_s1__log__noamp,,0.001,l2,,285,285,0.54,1.497665299975779,5,False,7341,5237,2104,0.8810788720882714,0.8759906841565317,0.755925155925156,0.8640684410646388,0.8879129272484246,0.8063872255489022,0.8602859159298625,0.9298415740297721,4650,587,286,1818,7341,5237,2104,0.8750851382645416,0.8813150669664735,0.72977158343012,0.8959125475285171,0.86671758640443,0.8043524642628547,0.8563032956631933,0.9298415740297721,4539,698,219,1885,1983,0.9036812909732728,121,0.21487603305785125
