candidate,representation_key,pca_components,c_value,penalty,class_weight,input_dimension,output_dimension,threshold,elapsed_seconds,max_iterations,selected,oof_tuned__n_samples,oof_tuned__n_no_cough,oof_tuned__n_cough,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__precision_cough,oof_tuned__recall_cough,oof_tuned__specificity_no_cough,oof_tuned__f1_cough,oof_tuned__macro_f1,oof_tuned__roc_auc,oof_tuned__tn_no_cough_correct,oof_tuned__fp_no_cough_as_cough,oof_tuned__fn_cough_as_no_cough,oof_tuned__tp_cough_correct,oof_0p5__n_samples,oof_0p5__n_no_cough,oof_0p5__n_cough,oof_0p5__accuracy,oof_0p5__balanced_accuracy,oof_0p5__precision_cough,oof_0p5__recall_cough,oof_0p5__specificity_no_cough,oof_0p5__f1_cough,oof_0p5__macro_f1,oof_0p5__roc_auc,oof_0p5__tn_no_cough_correct,oof_0p5__fp_no_cough_as_cough,oof_0p5__fn_cough_as_no_cough,oof_0p5__tp_cough_correct,oof_tuned__original_cough_count,oof_tuned__original_cough_recall,oof_tuned__new_fsd50k_cough_count,oof_tuned__new_fsd50k_cough_recall
s0_s1__log__peak_rms_crest__pcanone__C0p0001__l1__weight_none,s0_s1__log__peak_rms_crest,,0.0001,l1,,294,294,0.51,1.0511614000424743,0,False,7341,5237,2104,0.7133905462471053,0.5,0.0,0.0,1.0,0.0,0.41636190173318494,0.5,5237,0,2104,0,7341,5237,2104,0.2866094537528947,0.5,0.2866094537528947,1.0,0.0,0.4455267337215458,0.2227633668607729,0.5,0,5237,0,2104,1983,0.0,121,0.0
s0_s1__log__peak_rms_crest__pcanone__C0p0001__l1__weight_balanced,s0_s1__log__peak_rms_crest,,0.0001,l1,balanced,294,294,0.51,1.0423659000080079,0,False,7341,5237,2104,0.7133905462471053,0.5,0.0,0.0,1.0,0.0,0.41636190173318494,0.5,5237,0,2104,0,7341,5237,2104,0.2866094537528947,0.5,0.2866094537528947,1.0,0.0,0.4455267337215458,0.2227633668607729,0.5,0,5237,0,2104,1983,0.0,121,0.0
s0_s1__log__peak_rms_crest__pcanone__C0p0001__l2__weight_none,s0_s1__log__peak_rms_crest,,0.0001,l2,,294,294,0.59,1.4659726999816485,5,False,7341,5237,2104,0.8759024656041411,0.8675289382145613,0.7511578947368421,0.8479087452471483,0.8871491311819744,0.7966063853538736,0.8536594604413199,0.9193725945324689,4646,591,320,1784,7341,5237,2104,0.8286337011306362,0.8607003781226155,0.6368046571798189,0.9358365019011406,0.7855642543440902,0.7578906851424172,0.81263709884361,0.9193725945324689,4114,1123,135,1969,1983,0.8875441250630358,121,0.19834710743801653
s0_s1__log__peak_rms_crest__pcanone__C0p0001__l2__weight_balanced,s0_s1__log__peak_rms_crest,,0.0001,l2,balanced,294,294,0.65,1.430444500001613,5,False,7341,5237,2104,0.8684102983244789,0.8557381087044436,0.7433704020530368,0.8260456273764258,0.8854305900324614,0.7825303917154435,0.8440972271077217,0.9169701219242145,4637,600,366,1738,7341,5237,2104,0.7956681651001226,0.8421449255843367,0.5888758092995879,0.9510456273764258,0.7332442237922475,0.7273718647764449,0.7819865859829938,0.9169701219242145,3840,1397,103,2001,1983,0.864851235501765,121,0.19008264462809918
s0_s1__log__peak_rms_crest__pcanone__C0p0003__l1__weight_none,s0_s1__log__peak_rms_crest,,0.0003,l1,,294,294,0.51,0.9981312999734655,0,False,7341,5237,2104,0.7133905462471053,0.5,0.0,0.0,1.0,0.0,0.41636190173318494,0.5,5237,0,2104,0,7341,5237,2104,0.2866094537528947,0.5,0.2866094537528947,1.0,0.0,0.4455267337215458,0.2227633668607729,0.5,0,5237,0,2104,1983,0.0,121,0.0
s0_s1__log__peak_rms_crest__pcanone__C0p0003__l1__weight_balanced,s0_s1__log__peak_rms_crest,,0.0003,l1,balanced,294,294,0.51,0.9760672999545932,0,False,7341,5237,2104,0.7133905462471053,0.5,0.0,0.0,1.0,0.0,0.41636190173318494,0.5,5237,0,2104,0,7341,5237,2104,0.2866094537528947,0.5,0.2866094537528947,1.0,0.0,0.4455267337215458,0.2227633668607729,0.5,0,5237,0,2104,1983,0.0,121,0.0
s0_s1__log__peak_rms_crest__pcanone__C0p0003__l2__weight_none,s0_s1__log__peak_rms_crest,,0.0003,l2,,294,294,0.59,1.819356299994979,5,False,7341,5237,2104,0.8917041275030649,0.8858545531175877,0.7772130453197797,0.872148288973384,0.8995608172617912,0.8219484882418813,0.8720684987945239,0.9328643586763095,4711,526,269,1835,7341,5237,2104,0.8610543522680834,0.8829968068677754,0.6903089887640449,0.9344106463878327,0.8315829673477182,0.7940226171243941,0.8445960978736051,0.9328643586763095,4355,882,138,1966,1983,0.9142713061018659,121,0.18181818181818182
s0_s1__log__peak_rms_crest__pcanone__C0p0003__l2__weight_balanced,s0_s1__log__peak_rms_crest,,0.0003,l2,balanced,294,294,0.68,1.7177971000201069,5,False,7341,5237,2104,0.8891159242609998,0.8789224866789465,0.7794627383015598,0.8550380228136882,0.9028069505442047,0.8155031731640979,0.8681215963191473,0.9325033343473718,4728,509,305,1799,7341,5237,2104,0.8169186759297099,0.8570389488801167,0.6172115977791487,0.9510456273764258,0.7630322703838075,0.7485970819304153,0.8023191065179069,0.9325033343473718,3996,1241,103,2001,1983,0.8966212808875441,121,0.17355371900826447
s0_s1__log__peak_rms_crest__pcanone__C0p001__l1__weight_none,s0_s1__log__peak_rms_crest,,0.001,l1,,294,294,0.47,1.1537694000289775,5,False,7341,5237,2104,0.8429369295736275,0.8097350963566492,0.72334429309535,0.7319391634980988,0.8875310292151996,0.7276163477439168,0.8086354300687236,0.8645289331322681,4648,589,564,1540,7341,5237,2104,0.8361258684102983,0.7616001073815952,0.787125557680051,0.5869771863117871,0.9362230284514035,0.6724748162265178,0.7816002930256034,0.8645289331322681,4903,334,869,1235,1983,0.7695410993444276,121,0.11570247933884298
s0_s1__log__peak_rms_crest__pcanone__C0p001__l1__weight_balanced,s0_s1__log__peak_rms_crest,,0.001,l1,balanced,294,294,0.52,1.2245769000146538,6,False,7341,5237,2104,0.843754256913227,0.8083175903250561,0.728400954653938,0.7252851711026616,0.8913500095474508,0.7268397237437485,0.8087122400079041,0.8709750052819547,4668,569,578,1526,7341,5237,2104,0.8361258684102983,0.819036010588595,0.6895246108540176,0.7789923954372624,0.8590796257399275,0.731533139924124,0.8068017625902357,0.8709750052819547,4499,738,465,1639,1983,0.762481089258699,121,0.11570247933884298
s0_s1__log__peak_rms_crest__pcanone__C0p001__l2__weight_none,s0_s1__log__peak_rms_crest,,0.001,l2,,294,294,0.57,1.7182431999826804,5,False,7341,5237,2104,0.9064160196158562,0.8991513296368121,0.8087145969498911,0.8821292775665399,0.9161733817070842,0.8438281427597181,0.8885094229309628,0.9483663512982718,4798,439,248,1856,7341,5237,2104,0.894973436861463,0.9043531021228739,0.7598440545808967,0.9263307984790875,0.8823754057666603,0.8348682801456415,0.8789341900079051,0.9483663512982718,4621,616,155,1949,1983,0.9258698940998488,121,0.1652892561983471
s0_s1__log__peak_rms_crest__pcanone__C0p001__l2__weight_balanced,s0_s1__log__peak_rms_crest,,0.001,l2,balanced,294,294,0.7,1.649412399972789,6,False,7341,5237,2104,0.9038278163737911,0.8925035993526611,0.811219946571683,0.8659695817490495,0.9190376169562727,0.8377011494252874,0.8846848759127985,0.9485131932701726,4813,424,282,1822,7341,5237,2104,0.8485219997275576,0.8789046986526841,0.6650033266799734,0.9500950570342205,0.8077143402711476,0.7823874755381605,0.8331076533562094,0.9485131932701726,4230,1007,105,1999,1983,0.9087241553202219,121,0.1652892561983471
s0_s1__log__peak_rms_crest__pcanone__C0p003__l1__weight_none,s0_s1__log__peak_rms_crest,,0.003,l1,,294,294,0.42,1.2754365999717265,12,False,7341,5237,2104,0.8919765699495982,0.8770889132677622,0.793551276309897,0.8422053231939164,0.9119725033416078,0.81715471524095,0.8702496630820507,0.9327981073540057,4776,461,332,1772,7341,5237,2104,0.8846206238932025,0.8366756066624508,0.8509212730318257,0.7243346007604563,0.9490166125644452,0.7825417201540437,0.8520106394410711,0.9327981073540057,4970,267,580,1524,1983,0.8835098335854765,121,0.1652892561983471
s0_s1__log__peak_rms_crest__pcanone__C0p003__l1__weight_balanced,s0_s1__log__peak_rms_crest,,0.003,l1,balanced,294,294,0.61,1.3524387999786995,14,False,7341,5237,2104,0.8925214548426645,0.8780394836099674,0.7939204291461779,0.844106463878327,0.9119725033416078,0.8182446440912232,0.8709732068729977,0.9348872021322399,4776,461,328,1776,7341,5237,2104,0.8447078054760931,0.8681278320171404,0.665068493150685,0.9230038022813688,0.813251861752912,0.7730891719745223,0.8275261556704254,0.9348872021322399,4259,978,162,1942,1983,0.8855269793242562,121,0.1652892561983471
s0_s1__log__peak_rms_crest__pcanone__C0p003__l2__weight_none,s0_s1__log__peak_rms_crest,,0.003,l2,,294,294,0.57,2.2554765000240877,6,False,7341,5237,2104,0.9184034872633157,0.9034302121276585,0.8501628664495114,0.8683460076045627,0.9385144166507543,0.8591582412414766,0.9008611227302405,0.9586808653838474,4915,322,277,1827,7341,5237,2104,0.9155428415747173,0.9120878532466052,0.8198275862068966,0.9039923954372624,0.9201833110559481,0.8598553345388789,0.8997073514183964,0.9586808653838474,4819,418,202,1902,1983,0.9112455874936964,121,0.1652892561983471
s0_s1__log__peak_rms_crest__pcanone__C0p003__l2__weight_balanced,s0_s1__log__peak_rms_crest,,0.003,l2,balanced,294,294,0.68,2.1968935999902897,6,False,7341,5237,2104,0.9181310448167824,0.9082151458146226,0.8383610986042324,0.8849809885931559,0.9314493030360894,0.8610404624277457,0.9015060379146549,0.9582998749029827,4878,359,242,1862,7341,5237,2104,0.8813513145348045,0.8997815339958224,0.7254113345521024,0.9429657794676806,0.8565972885239641,0.8200041330853483,0.8657574256811482,0.9582998749029827,4486,751,120,1984,1983,0.9273827534039334,121,0.19008264462809918
s0_s1__log__peak_rms_crest__pcanone__C0p01__l1__weight_none,s0_s1__log__peak_rms_crest,,0.01,l1,,294,294,0.49,1.6595568000338972,14,False,7341,5237,2104,0.9154066203514507,0.8903828309970515,0.8676251859196827,0.8317490494296578,0.9490166125644452,0.8493084202863382,0.8952535852023491,0.9546640386370452,4970,267,354,1750,7341,5237,2104,0.9151341779049176,0.887348520435538,0.8741788782213239,0.8222433460076045,0.9524536948634714,0.8474161156012736,0.8943184927473299,0.9546640386370452,4988,249,374,1730,1983,0.8744326777609682,121,0.1322314049586777
