representation_key,fold,pca_components,explained_variance_ratio
s0_s1__log__peak_rms_crest,0,64,0.9848856925964355
s0_s1__log__peak_rms_crest,0,128,0.9960288405418396
s0_s1__log__peak_rms_crest,1,64,0.985615611076355
s0_s1__log__peak_rms_crest,1,128,0.9962481260299683
s0_s1__log__peak_rms_crest,2,64,0.9855663776397705
s0_s1__log__peak_rms_crest,2,128,0.9962329268455505
s0_s1__log__peak_rms_crest,3,64,0.9858553409576416
s0_s1__log__peak_rms_crest,3,128,0.9962775707244873
s0_s1__log__peak_rms_crest,4,64,0.9854425191879272
s0_s1__log__peak_rms_crest,4,128,0.9961643218994141
s0_s1__log__peak_rms,0,64,0.9852228760719299
s0_s1__log__peak_rms,0,128,0.9961622357368469
s0_s1__log__peak_rms,1,64,0.9859640598297119
s0_s1__log__peak_rms,1,128,0.9963843822479248
s0_s1__log__peak_rms,2,64,0.9859081506729126
s0_s1__log__peak_rms,2,128,0.996368408203125
s0_s1__log__peak_rms,3,64,0.9861924648284912
s0_s1__log__peak_rms,3,128,0.9964091777801514
s0_s1__log__peak_rms,4,64,0.9858003258705139
s0_s1__log__peak_rms,4,128,0.996300458908081
