candidate,representation_key,pca_components,c_value,penalty,class_weight,input_dimension,output_dimension,threshold,elapsed_seconds,max_iterations,selected,oof_tuned__n_samples,oof_tuned__n_no_cough,oof_tuned__n_cough,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__precision_cough,oof_tuned__recall_cough,oof_tuned__specificity_no_cough,oof_tuned__f1_cough,oof_tuned__macro_f1,oof_tuned__roc_auc,oof_tuned__tn_no_cough_correct,oof_tuned__fp_no_cough_as_cough,oof_tuned__fn_cough_as_no_cough,oof_tuned__tp_cough_correct,oof_0p5__n_samples,oof_0p5__n_no_cough,oof_0p5__n_cough,oof_0p5__accuracy,oof_0p5__balanced_accuracy,oof_0p5__precision_cough,oof_0p5__recall_cough,oof_0p5__specificity_no_cough,oof_0p5__f1_cough,oof_0p5__macro_f1,oof_0p5__roc_auc,oof_0p5__tn_no_cough_correct,oof_0p5__fp_no_cough_as_cough,oof_0p5__fn_cough_as_no_cough,oof_0p5__tp_cough_correct,oof_tuned__original_cough_count,oof_tuned__original_cough_recall,oof_tuned__new_fsd50k_cough_count,oof_tuned__new_fsd50k_cough_recall
s0_s1__log__peak_rms_crest__pcanone__C0p001__l2__weight_none,s0_s1__log__peak_rms_crest,,0.001,l2,,294,294,0.57,1.9865180000197142,5,False,7341,5237,2104,0.9064160196158562,0.8991513296368121,0.8087145969498911,0.8821292775665399,0.9161733817070842,0.8438281427597181,0.8885094229309628,0.9483663512982718,4798,439,248,1856,7341,5237,2104,0.894973436861463,0.9043531021228739,0.7598440545808967,0.9263307984790875,0.8823754057666603,0.8348682801456415,0.8789341900079051,0.9483663512982718,4621,616,155,1949,1983,0.9258698940998488,121,0.1652892561983471
s0_s1__log__peak_rms_crest__pcanone__C0p001__l2__weight_balanced,s0_s1__log__peak_rms_crest,,0.001,l2,balanced,294,294,0.7,1.8548660000087693,6,False,7341,5237,2104,0.9038278163737911,0.8925035993526611,0.811219946571683,0.8659695817490495,0.9190376169562727,0.8377011494252874,0.8846848759127985,0.9485131932701726,4813,424,282,1822,7341,5237,2104,0.8485219997275576,0.8789046986526841,0.6650033266799734,0.9500950570342205,0.8077143402711476,0.7823874755381605,0.8331076533562094,0.9485131932701726,4230,1007,105,1999,1983,0.9087241553202219,121,0.1652892561983471
s0_s1__log__peak_rms_crest__pcanone__C0p01__l2__weight_none,s0_s1__log__peak_rms_crest,,0.01,l2,,294,294,0.51,2.196351999999024,6,False,7341,5237,2104,0.9283476365617763,0.9160865743238191,0.8659554730983302,0.8873574144486692,0.9448157341989689,0.8765258215962441,0.9130278311588973,0.9638246906517026,4948,289,237,1867,7341,5237,2104,0.92780275166871,0.9169841889857994,0.8613406795224977,0.8916349809885932,0.9423333969830056,0.8762260625875758,0.9126322620630187,0.9638246906517026,4935,302,228,1876,1983,0.929904185577408,121,0.19008264462809918
s0_s1__log__peak_rms_crest__pcanone__C0p01__l2__weight_balanced,s0_s1__log__peak_rms_crest,,0.01,l2,balanced,294,294,0.67,2.294482400000561,7,False,7341,5237,2104,0.9286200790083095,0.9169883637266568,0.8650646950092421,0.8897338403041825,0.9442428871491312,0.8772258669165885,0.9134544928975108,0.9632719005090279,4945,292,232,1872,7341,5237,2104,0.9036915951505244,0.9128803279676417,0.7755424063116371,0.9344106463878327,0.8913500095474508,0.8475964647553352,0.8885995865547063,0.9632719005090279,4668,569,138,1966,1983,0.9324256177508825,121,0.19008264462809918
s0_s1__log__peak_rms_crest__pcanone__C0p1__l2__weight_none,s0_s1__log__peak_rms_crest,,0.1,l2,,294,294,0.58,2.9732533000060357,8,False,7341,5237,2104,0.9318893883667075,0.9089014822871191,0.9022066198595787,0.8550380228136882,0.9627649417605499,0.8779892630551489,0.9153740721927295,0.966260016655401,5042,195,305,1799,7341,5237,2104,0.9288925214548427,0.9126299342714279,0.877025738798856,0.8745247148288974,0.9507351537139583,0.8757734412184673,0.9129821404565619,0.966260016655401,4979,258,264,1840,1983,0.8991427130610187,121,0.1322314049586777
s0_s1__log__peak_rms_crest__pcanone__C0p1__l2__weight_balanced,s0_s1__log__peak_rms_crest,,0.1,l2,balanced,294,294,0.75,3.2955839000060223,10,False,7341,5237,2104,0.9298460700177088,0.9073271965852798,0.8958644743398106,0.8545627376425855,0.960091655527974,0.8747263439552421,0.9130040763386087,0.9654675419343642,5028,209,306,1798,7341,5237,2104,0.9163601689143168,0.9183474233862448,0.8111946532999165,0.9230038022813688,0.9136910444911208,0.8634948866162739,0.9016021173065658,0.9654675419343642,4785,452,162,1942,1983,0.8981341401916288,121,0.14049586776859505
s0_s1__log__peak_rms_crest__pca64__C0p001__l2__weight_none,s0_s1__log__peak_rms_crest,64.0,0.001,l2,,294,64,0.56,1.0490703000104986,5,False,7341,5237,2104,0.9050538073831903,0.8999026014806899,0.8020609703735508,0.8878326996197718,0.9119725033416078,0.8427701330927138,0.8873817491495377,0.9469736214461157,4776,461,236,1868,7341,5237,2104,0.8937474458520638,0.9032094953936273,0.7575875486381323,0.9253802281368821,0.8810387626503724,0.8331193838254172,0.8775908669726606,0.9469736214461157,4614,623,157,1947,1983,0.9309127584467978,121,0.18181818181818182
s0_s1__log__peak_rms_crest__pca64__C0p001__l2__weight_balanced,s0_s1__log__peak_rms_crest,64.0,0.001,l2,balanced,294,64,0.68,1.0701570000383072,6,False,7341,5237,2104,0.9026018253643918,0.8959093710952559,0.8,0.8802281368821293,0.9115906053083827,0.8381986874858566,0.8842654745039144,0.9474351118213415,4774,463,252,1852,7341,5237,2104,0.8474322299414249,0.8782830706634789,0.6631299734748011,0.9505703422053232,0.8059957991216345,0.78125,0.8320598462664714,0.9474351118213415,4221,1016,104,2000,1983,0.9233484619263742,121,0.17355371900826447
s0_s1__log__peak_rms_crest__pca64__C0p01__l2__weight_none,s0_s1__log__peak_rms_crest,64.0,0.01,l2,,294,64,0.52,1.156333499995526,6,False,7341,5237,2104,0.924533442310312,0.9114229350098124,0.8594619666048238,0.8807034220532319,0.942142447966393,0.8699530516431925,0.9083981339582303,0.9613129487392644,4934,303,251,1853,7341,5237,2104,0.923852336193979,0.9142154282449172,0.8500226551880381,0.8916349809885932,0.9367958755012412,0.8703317095801438,0.9082157053348603,0.9613129487392644,4906,331,228,1876,1983,0.9233484619263742,121,0.18181818181818182
s0_s1__log__peak_rms_crest__pca64__C0p01__l2__weight_balanced,s0_s1__log__peak_rms_crest,64.0,0.01,l2,balanced,294,64,0.66,1.0699500999762677,7,False,7341,5237,2104,0.9235798937474459,0.9141666473055496,0.8489371325192221,0.8921102661596958,0.9362230284514035,0.8699884125144843,0.9079371984439886,0.9609102677569881,4903,334,227,1877,7341,5237,2104,0.897289197656995,0.9081086899227564,0.7618308766485647,0.9334600760456274,0.8827573037998855,0.8389577103801794,0.8817788551900897,0.9609102677569881,4623,614,140,1964,1983,0.9344427634896622,121,0.19834710743801653
