fold,pca_components,cumulative_explained_variance_ratio,cumulative_explained_variance_percent
0,16,0.8480415940284729,84.80415940284729
0,32,0.9101588129997253,91.01588129997253
0,64,0.9477861523628235,94.77861523628235
0,128,0.9710472226142883,97.10472226142883
1,16,0.845638632774353,84.5638632774353
1,32,0.9085069298744202,90.85069298744202
1,64,0.9469419717788696,94.69419717788696
1,128,0.9706951379776001,97.06951379776001
2,16,0.8471269011497498,84.71269011497498
2,32,0.9093279242515564,90.93279242515564
2,64,0.9473823308944702,94.73823308944702
2,128,0.9708348512649536,97.08348512649536
3,16,0.8458968997001648,84.58968997001648
3,32,0.9086734652519226,90.86734652519226
3,64,0.94693922996521,94.693922996521
3,128,0.9705907106399536,97.05907106399536
4,16,0.8456345200538635,84.56345200538635
4,32,0.9086675047874451,90.8667504787445
4,64,0.9469558000564575,94.69558000564575
4,128,0.9705707430839539,97.05707430839539
