candidate_key,n_estimators,max_depth,min_samples_leaf,max_features,max_samples,theoretical_max_nodes,threshold_oof,elapsed_seconds_total_search,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
rf__trees300__depth6__leaf5__features0p5,300,6,5,0.5,0.8,38100,0.469269002334179,686.932834899053,0.7048675292667899,0.5850210718490334,0.5850998935287353,0.8076923076923077,0.3626666666666667,0.8083400160384924,0.3617021276595745,0.6189685031309184,0.31930329397611884,1008,239,240,136
rf__trees200__depth6__leaf15__features0p5,200,6,15,0.5,0.8,25400,0.4825091707413741,686.932834899053,0.7239679605668515,0.5807320548038697,0.5850829258939699,0.8038022813688213,0.38311688311688313,0.8476343223736968,0.31382978723404253,0.6136664164206862,0.31551033707107645,1057,190,258,118
rf__trees100__depth6__leaf5__features0p5,100,6,5,0.5,0.8,12700,0.47919593290377743,686.932834899053,0.7233518176216882,0.5803310924943268,0.5846017038280553,0.8036529680365296,0.3818770226537217,0.846832397754611,0.31382978723404253,0.6167312187547987,0.3220078691236352,1056,191,258,118
rf__trees200__depth10__leaf5__featuressqrt,200,10,5,sqrt,0.8,409400,0.4098168710735792,686.932834899053,0.6943930991990142,0.5865641369073009,0.583665363371191,0.809563066776587,0.35365853658536583,0.7874899759422614,0.38563829787234044,0.6160252691566142,0.30656841732809614,982,265,231,145
rf__trees300__depth8__leaf10__features0p5,300,8,10,0.5,0.8,153300,0.4468673135765422,686.932834899053,0.7048675292667899,0.5831634220000341,0.5835458681464554,0.8067092651757188,0.3611859838274933,0.809943865276664,0.35638297872340424,0.617861591223191,0.3158549183632469,1010,237,242,134
rf__trees200__depth6__leaf5__features0p5,200,6,5,0.5,0.8,25400,0.4715295028318939,686.932834899053,0.7097966728280961,0.5817269958538791,0.5833909661217302,0.805511811023622,0.3654390934844193,0.8203688853247795,0.34308510638297873,0.6183009435410944,0.3197973315683459,1023,224,247,129
rf__trees100__depth10__leaf5__features0p5,100,10,5,0.5,0.8,204700,0.4113019392570382,686.932834899053,0.7128773875539125,0.5809453326280947,0.5833197436620712,0.804839968774395,0.3684210526315789,0.8267842822774659,0.3351063829787234,0.6183563957753928,0.340215384532269,1031,216,250,126
rf__trees100__depth8__leaf10__features0p5,100,8,10,0.5,0.8,51100,0.4465649726540116,686.932834899053,0.6919285274183611,0.5849602876691293,0.581752772852843,0.8089330024813896,0.3502415458937198,0.7842822774659182,0.38563829787234044,0.6168463887798802,0.3137482162686193,978,269,231,145
rf__trees150__depth6__leaf10__featuressqrt,150,6,10,sqrt,0.8,19050,0.47459196368610534,686.932834899053,0.7005545286506469,0.5822143356822331,0.581750714776574,0.806607574536664,0.35602094240837695,0.8027265437048917,0.3617021276595745,0.6217069903939668,0.3156895194386584,1001,246,240,136
rf__trees150__depth8__leaf10__features0p5,150,8,10,0.5,0.8,76650,0.4479420037898152,686.932834899053,0.6999383857054837,0.5818133733726902,0.5812740082420682,0.8064516129032258,0.35509138381201044,0.8019246190858059,0.3617021276595745,0.6136003002951765,0.3062629110949737,1000,247,240,136
rf__trees300__depth10__leaf10__features0p5,300,10,10,0.5,0.8,614100,0.43847986208897094,686.932834899053,0.7369069624152803,0.5752198894367759,0.5810103692256907,0.8001464128843339,0.40077821011673154,0.8765036086607859,0.27393617021276595,0.6234473374396423,0.32234382475438583,1093,154,273,103
rf__trees300__depth6__leaf15__features0p5,300,6,15,0.5,0.8,38100,0.47987697637240634,686.932834899053,0.714109673444239,0.5780319575491819,0.5809058246851251,0.8032532920216886,0.3674698795180723,0.8315958299919808,0.324468085106383,0.6165008787046358,0.31575348794201397,1037,210,254,122
rf__trees200__depth4__leaf5__features0p5,200,4,5,0.5,0.8,6200,0.493965087134085,686.932834899053,0.6925446703635243,0.583503600129673,0.5807840528809944,0.8080724876441515,0.34963325183374083,0.7866880513231757,0.3803191489361702,0.6092174410073538,0.31075519069456714,981,266,233,143
