candidate_key,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma,theoretical_max_nodes,threshold_oof,elapsed_seconds_total_search,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
xgb__trees100__depth3__lr0p03__child10__sub0p7__col1__lambda1__gamma0p3,100,3,0.03,10,0.7,1.0,1.0,0.3,1500,0.5179383493959904,61.551741698756814,0.7054836722119532,0.5770626098380794,0.5784296464389582,0.8034727703235991,0.35674157303370785,0.8163592622293504,0.3377659574468085,0.6086991758944872,0.3036836111326882,1018,229,249,127
xgb__trees75__depth3__lr0p03__child3__sub0p7__col0p6__lambda1__gamma0,75,3,0.03,3,0.7,0.6,1.0,0.0,1125,0.5014466121792793,61.551741698756814,0.6617375231053605,0.5941067071610162,0.5782809434672207,0.8178506375227687,0.3352380952380952,0.7201283079390537,0.46808510638297873,0.6096269344298657,0.3045109762640543,898,349,200,176
xgb__trees50__depth4__lr0p05__child3__sub0p7__col1__lambda5__gamma0p1,50,4,0.05,3,0.7,1.0,5.0,0.1,1550,0.5065100342035294,61.551741698756814,0.6826863832409119,0.5826611527239843,0.5774354167709371,0.8086003372681282,0.34096109839816935,0.7690457097032879,0.3962765957446808,0.6124486000443619,0.312833048397892,959,288,227,149
xgb__trees100__depth4__lr0p05__child10__sub0p85__col0p8__lambda10__gamma0p1,100,4,0.05,10,0.85,0.8,10.0,0.1,3100,0.5009978532791137,61.551741698756814,0.6660505237215034,0.58762519408282,0.5756817716995767,0.8133333333333334,0.3333333333333333,0.7337610264635124,0.44148936170212766,0.6047450050333566,0.3057743830376373,915,332,210,166
xgb__trees150__depth4__lr0p03__child10__sub0p85__col0p8__lambda10__gamma0p3,150,4,0.03,10,0.85,0.8,10.0,0.3,4650,0.5076313962539036,61.551741698756814,0.6814540973505854,0.5781439284069,0.5736917592224249,0.8062080536912751,0.33642691415313225,0.7706495589414595,0.38563829787234044,0.6059564230749543,0.3048027741463807,961,286,231,145
xgb__trees200__depth2__lr0p1__child3__sub0p7__col1__lambda10__gamma0p3,200,2,0.1,3,0.7,1.0,10.0,0.3,1400,0.5255002826452255,61.551741698756814,0.6919285274183611,0.5728855636506338,0.5720496475144601,0.8024291497975709,0.3402061855670103,0.7947072975140337,0.35106382978723405,0.6084645702878397,0.3017141105699132,991,256,244,132
xgb__trees100__depth2__lr0p1__child10__sub1__col1__lambda1__gamma0p1,100,2,0.1,10,1.0,1.0,1.0,0.1,700,0.5118816867470741,61.551741698756814,0.6752926678989526,0.5759919551604702,0.5703901452842273,0.8056027164685908,0.3303370786516854,0.7610264635124299,0.39095744680851063,0.5961755020559982,0.28662791602176096,949,298,229,147
xgb__trees150__depth4__lr0p1__child10__sub0p7__col0p6__lambda5__gamma0p3,150,4,0.1,10,0.7,0.6,5.0,0.3,4650,0.4844109371304512,61.551741698756814,0.6709796672828097,0.5769005186916685,0.5698336278266394,0.8065348237317282,0.3282608695652174,0.7522052927024859,0.4015957446808511,0.6043611049497517,0.3033978043671202,938,309,225,151
xgb__trees50__depth4__lr0p1__child10__sub0p7__col0p6__lambda10__gamma0p3,50,4,0.1,10,0.7,0.6,10.0,0.3,1550,0.5109080709517002,61.551741698756814,0.6789895255699322,0.5718959545462301,0.5682375558159662,0.8030050083472454,0.32941176470588235,0.7714514835605453,0.3723404255319149,0.6104139296012558,0.30825626090574465,962,285,236,140
xgb__trees200__depth3__lr0p03__child10__sub0p85__col0p8__lambda10__gamma0p1,200,3,0.03,10,0.85,0.8,10.0,0.1,3000,0.5096125230193138,61.551741698756814,0.6685150955021565,0.5752966694534969,0.5679580809880062,0.8058671268334772,0.3254310344827586,0.7489975942261428,0.4015957446808511,0.6034760019792182,0.30067283033296455,934,313,225,151
xgb__trees150__depth3__lr0p05__child10__sub0p85__col0p8__lambda5__gamma0p1,150,3,0.05,10,0.85,0.8,5.0,0.1,2250,0.5238514592250187,61.551741698756814,0.6993222427603204,0.5665512122711529,0.5679328614197557,0.7985837922895358,0.3409090909090909,0.813953488372093,0.3191489361702128,0.6060630619870668,0.3021119825200039,1015,232,256,120
xgb__trees75__depth2__lr0p08__child5__sub0p85__col0p8__lambda5__gamma0,75,2,0.08,5,0.85,0.8,5.0,0.0,525,0.5151382014155388,61.551741698756814,0.6715958102279729,0.5726573563787132,0.5668912170027411,0.8040885860306644,0.32516703786191536,0.7570168404170008,0.3882978723404255,0.5995431589005102,0.2963177487142302,944,303,230,146
xgb__trees75__depth3__lr0p05__child3__sub1__col0p6__lambda1__gamma0p3,75,3,0.05,3,1.0,0.6,1.0,0.3,1125,0.5249473303556442,61.551741698756814,0.7128773875539125,0.5632976590626013,0.5665501352528541,0.796057619408643,0.3519736842105263,0.8420208500400962,0.2845744680851064,0.6075560067566415,0.30267637137312503,1050,197,269,107
xgb__trees50__depth3__lr0p08__child3__sub0p85__col0p6__lambda10__gamma0,50,3,0.08,3,0.85,0.6,10.0,0.0,750,0.5281074568629265,61.551741698756814,0.7067159581022797,0.5639321605896706,0.5665200314218382,0.7967667436489607,0.345679012345679,0.8299919807538091,0.2978723404255319,0.6060502653176133,0.3025172006953335,1035,212,264,112
xgb__trees100__depth4__lr0p08__child3__sub1__col1__lambda5__gamma0,100,4,0.08,3,1.0,1.0,5.0,0.0,3100,0.4758061319589615,61.551741698756814,0.651879235982748,0.5802607108123325,0.5659904063005095,0.8105646630236795,0.32,0.7137129109863672,0.44680851063829785,0.6017548499377229,0.29799429095388386,890,357,208,168
xgb__trees150__depth3__lr0p05__child10__sub1__col0p6__lambda10__gamma0p1,150,3,0.05,10,1.0,0.6,10.0,0.1,2250,0.5191730658213297,61.551741698756814,0.6845348120764018,0.5671451910116194,0.5656907754446703,0.8,0.32914572864321606,0.7858861267040899,0.3484042553191489,0.59839572420618,0.29363382011568995,980,267,245,131
xgb__trees50__depth3__lr0p03__child10__sub0p7__col0p6__lambda5__gamma0p1,50,3,0.03,10,0.7,0.6,5.0,0.1,750,0.5050690074761709,61.551741698756814,0.6611213801601972,0.5751292463614803,0.565622128964948,0.8065083553210203,0.32098765432098764,0.7353648757016841,0.4148936170212766,0.5984661058881742,0.30204210093524503,917,330,220,156
xgb__trees75__depth3__lr0p1__child10__sub0p7__col0p6__lambda1__gamma0,75,3,0.1,10,0.7,0.6,1.0,0.0,1125,0.5083437785506248,61.551741698756814,0.662969808995687,0.5735456585166101,0.5650752561324575,0.8054101221640488,0.32075471698113206,0.7401764234161988,0.40691489361702127,0.6058839086147179,0.3104528512332384,923,324,223,153
xgb__trees100__depth3__lr0p05__child5__sub0p85__col0p8__lambda5__gamma0,100,3,0.05,5,0.85,0.8,5.0,0.0,1500,0.5175455324351788,61.551741698756814,0.6876155268022182,0.5654347028613353,0.5648736043065224,0.7988691437802908,0.32987012987012987,0.7931034482758621,0.3377659574468085,0.6031902096947568,0.2985643372939042,989,258,249,127
xgb__trees100__depth2__lr0p03__child3__sub1__col0p8__lambda10__gamma0p1,100,2,0.03,3,1.0,0.8,10.0,0.1,700,0.5151906684041023,61.551741698756814,0.674060382008626,0.5677594311453872,0.5637967903842608,0.8011744966442953,0.3225058004640371,0.7658380112269446,0.3696808510638298,0.5919845928099781,0.28604658769178914,955,292,237,139
xgb__trees50__depth3__lr0p05__child5__sub0p85__col0p6__lambda5__gamma0,50,3,0.05,5,0.85,0.6,5.0,0.0,750,0.5109340672691662,61.551741698756814,0.6691312384473198,0.5691958572915423,0.5636408696631745,0.8023850085178875,0.3207126948775056,0.7554129911788292,0.3829787234042553,0.5991102049173336,0.29267007895601355,942,305,232,144
xgb__trees100__depth2__lr0p05__child3__sub1__col0p8__lambda5__gamma0p3,100,2,0.05,3,1.0,0.8,5.0,0.3,700,0.5224132686853409,61.551741698756814,0.6913123844731978,0.5631963520960944,0.5635984532361552,0.7974481658692185,0.33062330623306235,0.8019246190858059,0.324468085106383,0.5988777320889284,0.29292170423246355,1000,247,254,122
xgb__trees100__depth2__lr0p1__child5__sub1__col0p6__lambda1__gamma0,100,2,0.1,5,1.0,0.6,1.0,0.0,700,0.49902676294247306,61.551741698756814,0.6451016635859519,0.5795654251053592,0.5631388089274365,0.8109360518999074,0.3161764705882353,0.7016840417000801,0.4574468085106383,0.5931768158473955,0.2874192880389935,875,372,204,172
xgb__trees200__depth3__lr0p1__child3__sub1__col1__lambda1__gamma0p3,200,3,0.1,3,1.0,1.0,1.0,0.3,3000,0.48322832882404326,61.551741698756814,0.6709796672828097,0.5666834445221723,0.5622039877796456,0.8008438818565401,0.319634703196347,0.7610264635124299,0.3723404255319149,0.593334641437322,0.29690032910177233,949,298,236,140
xgb__trees150__depth4__lr0p05__child15__sub1__col0p6__lambda10__gamma0p3,150,4,0.05,15,1.0,0.6,10.0,0.3,4650,0.5027041956782341,61.551741698756814,0.6605052372150338,0.5700841594294391,0.5618948192485997,0.8036649214659686,0.3165618448637317,0.7385725741780272,0.4015957446808511,0.6003045607329932,0.2965460316113166,921,326,225,151
