candidate_key,fold,seed,epochs_run,best_epoch,best_val_loss,final_train_loss
tiny__f8x16x32__dense16__drop0p15__l20p0001__lr0p001,0,42,25,18,0.2512064576148987,0.2493116557598114
tiny__f8x16x32__dense16__drop0p15__l20p0001__lr0p001,1,43,8,1,0.27112042903900146,0.26253050565719604
tiny__f8x16x32__dense16__drop0p15__l20p0001__lr0p001,2,44,17,10,0.2695501446723938,0.2531464099884033
tiny__f8x16x32__dense16__drop0p15__l20p0001__lr0p001,3,45,52,45,0.2505054473876953,0.2376159131526947
tiny__f8x16x32__dense16__drop0p15__l20p0001__lr0p001,4,46,34,27,0.25783705711364746,0.2390892654657364
compact_regularized__f12x24x48__dense24__drop0p25__l20p0003__lr0p0005,0,42,19,12,0.267882376909256,0.2629183530807495
compact_regularized__f12x24x48__dense24__drop0p25__l20p0003__lr0p0005,1,43,29,22,0.2712792754173279,0.25216418504714966
compact_regularized__f12x24x48__dense24__drop0p25__l20p0003__lr0p0005,2,44,35,28,0.2772652804851532,0.25259554386138916
compact_regularized__f12x24x48__dense24__drop0p25__l20p0003__lr0p0005,3,45,43,36,0.26121947169303894,0.24587289988994598
compact_regularized__f12x24x48__dense24__drop0p25__l20p0003__lr0p0005,4,46,33,26,0.2685207426548004,0.2499646097421646
small__f16x32x64__dense32__drop0p3__l20p0005__lr0p0005,0,42,25,18,0.26936057209968567,0.263631671667099
small__f16x32x64__dense32__drop0p3__l20p0005__lr0p0005,1,43,22,15,0.2829393744468689,0.26270195841789246
small__f16x32x64__dense32__drop0p3__l20p0005__lr0p0005,2,44,37,30,0.27941223978996277,0.25354596972465515
small__f16x32x64__dense32__drop0p3__l20p0005__lr0p0005,3,45,32,25,0.26171138882637024,0.2545132040977478
small__f16x32x64__dense32__drop0p3__l20p0005__lr0p0005,4,46,31,31,0.27764788269996643,0.2518540918827057
