candidate_key,model_name,C,pca_components,output_dimension,score_type,native_threshold,threshold_oof,elapsed_fit_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,native__accuracy,native__balanced_accuracy,native__macro_f1,native__dry_precision,native__wet_precision,native__dry_recall,native__wet_recall,native__roc_auc,native__average_precision_wet,native__tn_dry_correct,native__fp_dry_as_wet,native__fn_wet_as_dry,native__tp_wet_correct
logistic_regression__C10__pca128,logistic_regression,10.0,128.0,128,wet_probability,0.5,0.5829386662229422,0.10367079824209213,0.6709796672828097,0.5861887679366651,0.5763686309779846,0.8118985126859143,0.33541666666666664,0.7441860465116279,0.42819148936170215,0.6211716630551622,0.3203868761981697,928,319,215,161,0.6223043746149106,0.5953810421607604,0.5625142637027187,0.8247950819672131,0.3168469860896445,0.6455493183640738,0.5452127659574468,0.6211716630551622,0.3203868761981697,805,442,171,205
logistic_regression__C0.1__pca128,logistic_regression,0.1,128.0,128,wet_probability,0.5,0.584908682558615,0.1069164015352726,0.6728280961182994,0.5846051800917949,0.5758696190315425,0.8107638888888888,0.3354564755838641,0.7489975942261428,0.42021276595744683,0.622717927280793,0.3213411787891859,934,313,218,158,0.6192236598890942,0.5952338804620451,0.5610149996848806,0.8252326783867632,0.3155487804878049,0.6399358460304732,0.550531914893617,0.622717927280793,0.3213411787891859,798,449,169,207
logistic_regression__C1__pca128,logistic_regression,1.0,128.0,128,wet_probability,0.5,0.5930640544637082,0.11603259854018688,0.6752926678989526,0.5834225545564675,0.5758036990913703,0.8098106712564543,0.3362255965292842,0.7546110665597434,0.4122340425531915,0.6213614803187224,0.32043107172589946,941,306,221,155,0.6216882316697474,0.5949800798512175,0.5620314961183619,0.8246153846153846,0.31635802469135804,0.644747393744988,0.5452127659574468,0.6213614803187224,0.32043107172589946,804,443,171,205
logistic_regression__C0.01__pca128,logistic_regression,0.01,128.0,128,wet_probability,0.5,0.5460806963622907,0.07761240191757679,0.6481823783117683,0.5964314354450682,0.574337219295107,0.8212927756653993,0.329246935201401,0.6928628708901363,0.5,0.6275358733300347,0.32067178596846924,864,383,188,188,0.6038200862600123,0.5963557218174683,0.5540913489989809,0.8289760348583878,0.31063829787234043,0.6102646351242983,0.5824468085106383,0.6275358733300347,0.32067178596846924,761,486,157,219
logistic_regression__C0.1__pca64,logistic_regression,0.1,64.0,64,wet_probability,0.5,0.6128870996574054,0.04430549964308739,0.6900800985828712,0.5735403265710044,0.5721840977872106,0.8029315960912052,0.3392405063291139,0.7906976744186046,0.35638297872340424,0.6241255609206777,0.3178425384804262,986,261,242,134,0.5902649414664202,0.5810327765360268,0.5405247314464662,0.8197802197802198,0.2973352033660589,0.5982357658380112,0.5638297872340425,0.6241255609206777,0.3178425384804262,746,501,164,212
logistic_regression__C10__pca64,logistic_regression,10.0,64.0,64,wet_probability,0.5,0.6126448109984701,0.04956120066344738,0.6894639556377079,0.5731393642614615,0.5717157924277774,0.8027709861450693,0.3383838383838384,0.7898957497995188,0.35638297872340424,0.6242215359415789,0.3178722292347224,985,262,242,134,0.5933456561922366,0.5830375880837414,0.5429355079859771,0.8207650273224044,0.2994350282485876,0.6022453889334403,0.5638297872340425,0.6242215359415789,0.3178722292347224,751,496,164,212
logistic_regression__C1__pca64,logistic_regression,1.0,64.0,64,wet_probability,0.5,0.6128022754973932,0.05250830017030239,0.6894639556377079,0.5731393642614615,0.5717157924277774,0.8027709861450693,0.3383838383838384,0.7898957497995188,0.35638297872340424,0.6241852787114607,0.3178389250969752,985,262,242,134,0.5933456561922366,0.5830375880837414,0.5429355079859771,0.8207650273224044,0.2994350282485876,0.6022453889334403,0.5638297872340425,0.6241852787114607,0.3178389250969752,751,496,164,212
logistic_regression__C0.1__pca32,logistic_regression,0.1,32.0,32,wet_probability,0.5,0.571343062157647,0.030031701549887657,0.6691312384473198,0.5766264566875394,0.5690948059556858,0.8065630397236615,0.32688172043010755,0.7489975942261428,0.40425531914893614,0.601311232063335,0.2869813285174373,934,313,224,152,0.5711645101663586,0.5686029449401968,0.525598037898132,0.8134243458475541,0.2849462365591398,0.5733761026463512,0.5638297872340425,0.601311232063335,0.2869813285174373,715,532,164,212
logistic_regression__C0.01__pca32,logistic_regression,0.01,32.0,32,wet_probability,0.5,0.5712355568064537,0.03251280263066292,0.6685150955021565,0.5762254943779965,0.5686257267183357,0.8063958513396715,0.3261802575107296,0.748195669607057,0.40425531914893614,0.6027487245986112,0.2872918198000092,933,314,224,152,0.5613062230437461,0.5668316726100087,0.5198304662179007,0.813599062133646,0.2818181818181818,0.5565356856455493,0.5771276595744681,0.6027487245986112,0.2872918198000092,694,553,159,217
logistic_regression__C10__pca32,logistic_regression,10.0,32.0,32,wet_probability,0.5,0.5754880963048373,0.029944999143481255,0.6715958102279729,0.5745150062277125,0.5682676937035763,0.8051282051282052,0.32671081677704195,0.7554129911788292,0.39361702127659576,0.6010936886826256,0.2869071463715371,942,305,228,148,0.5760936537276649,0.5718106434165401,0.5294478568972376,0.8151071025930101,0.28804347826086957,0.5797914995990376,0.5638297872340425,0.6010936886826256,0.2869071463715371,723,524,164,212
