fold,pca_components,cumulative_explained_variance_ratio,cumulative_explained_variance_percent
0,32,0.6920267939567566,69.20267939567566
0,64,0.8236566781997681,82.3656678199768
0,128,0.9405891299247742,94.05891299247742
1,32,0.6917321681976318,69.17321681976318
1,64,0.8245322704315186,82.45322704315186
1,128,0.9412113428115845,94.12113428115845
2,32,0.690311849117279,69.0311849117279
2,64,0.822279691696167,82.2279691696167
2,128,0.9405294060707092,94.05294060707092
3,32,0.6882544755935669,68.82544755935669
3,64,0.8212770819664001,82.12770819664001
3,128,0.9399731755256653,93.99731755256653
4,32,0.6910571455955505,69.10571455955505
4,64,0.8236523866653442,82.36523866653442
4,128,0.9403703212738037,94.03703212738037
