feature_index,feature_name,scattering_order,path_index,temporal_pooling,j_1,j_2,xi_1,xi_2,mi_score_full_train,mi_rank_full_train,selected_final,full_train_recording_count
36,wst_order1_path0036_mean,1,36,mean,4.0,,0.0209827840157171,,0.04704878266190038,1,True,1623
318,wst_order2_path0318_mean,2,318,mean,2.0,9.0,0.0705773914434379,0.0001708984375,0.039617352666201144,2,True,1623
425,wst_order2_path0425_mean,2,425,mean,4.0,9.0,0.0228818882219845,0.0001708984375,0.03709975801588716,3,True,1623
542,wst_order2_path0542_mean,2,542,mean,6.0,9.0,0.0044110869652148,0.0001708984375,0.03427055411915325,4,True,1623
540,wst_order2_path0540_mean,2,540,mean,6.0,7.0,0.0044110869652148,0.00068359375,0.03381650341883047,5,True,1623
528,wst_order2_path0528_mean,2,528,mean,6.0,10.0,0.0057204720554961,8.544921875e-05,0.03353457773973845,6,True,1623
423,wst_order2_path0423_mean,2,423,mean,4.0,7.0,0.0228818882219845,0.00068359375,0.03340194048333833,7,True,1623
439,wst_order2_path0439_mean,2,439,mean,4.0,9.0,0.0192412977801029,0.0001708984375,0.03268729342584309,8,True,1623
42,wst_order1_path0042_mean,1,42,mean,4.0,,0.012476438022028,,0.03245658819041819,9,True,1623
414,wst_order2_path0414_mean,2,414,mean,3.0,5.0,0.0249528760440561,0.002734375,0.03179639580710436,10,True,1623
449,wst_order2_path0449_mean,2,449,mean,4.0,5.0,0.0161799383281178,0.002734375,0.03173888652389212,11,True,1623
286,wst_order2_path0286_mean,2,286,mean,2.0,4.0,0.0915275528879381,0.00546875,0.03161642577316526,12,True,1623
442,wst_order2_path0442_mean,2,442,mean,4.0,5.0,0.0176443478608594,0.002734375,0.03152621476890283,13,True,1623
428,wst_order2_path0428_mean,2,428,mean,4.0,5.0,0.0209827840157171,0.002734375,0.02953338681987283,14,True,1623
35,wst_order1_path0035_mean,1,35,mean,4.0,,0.0228818882219845,,0.029248399395185087,15,True,1623
525,wst_order2_path0525_mean,2,525,mean,6.0,7.0,0.0057204720554961,0.00068359375,0.028201607732653455,16,True,1623
10,wst_order1_path0010_mean,1,10,mean,0.0,,0.1996230083524497,,0.027903465767519453,17,True,1623
436,wst_order2_path0436_mean,2,436,mean,4.0,6.0,0.0192412977801029,0.0013671875,0.027289666923545175,18,True,1623
359,wst_order2_path0359_mean,2,359,mean,3.0,6.0,0.045763776443969,0.0013671875,0.027263767100785152,19,True,1623
405,wst_order2_path0405_mean,2,405,mean,3.0,4.0,0.0272113042782809,0.00546875,0.027187291612601472,20,True,1623
489,wst_order2_path0489_mean,2,489,mean,5.0,6.0,0.0096206488900514,0.0013671875,0.027098930946266808,21,True,1623
21,wst_order1_path0021_mean,1,21,mean,2.0,,0.0769651911204119,,0.026420484406598055,22,True,1623
429,wst_order2_path0429_mean,2,429,mean,4.0,6.0,0.0209827840157171,0.0013671875,0.025454732399683433,23,True,1623
434,wst_order2_path0434_mean,2,434,mean,4.0,11.0,0.0209827840157171,4.2724609375e-05,0.02535318379796614,24,True,1623
526,wst_order2_path0526_mean,2,526,mean,6.0,8.0,0.0057204720554961,0.000341796875,0.02507878888307591,25,True,1623
598,wst_order2_path0598_mean,2,598,mean,8.0,10.0,0.001430118013874,8.544921875e-05,0.02472560725910533,26,True,1623
120,wst_order2_path0120_mean,2,120,mean,0.0,4.0,0.3661102115517526,0.00546875,0.02470210976372722,27,True,1623
410,wst_order2_path0410_mean,2,410,mean,3.0,9.0,0.0272113042782809,0.0001708984375,0.024529690065716814,28,True,1623
296,wst_order2_path0296_mean,2,296,mean,2.0,5.0,0.0839311360628686,0.002734375,0.024479385991909686,29,True,1623
4,wst_order1_path0004_mean,1,4,mean,0.0,,0.3357245442514747,,0.02444887440290744,30,True,1623
426,wst_order2_path0426_mean,2,426,mean,4.0,10.0,0.0228818882219845,8.544921875e-05,0.02441936335669115,31,True,1623
516,wst_order2_path0516_mean,2,516,mean,5.0,9.0,0.0068028260695702,0.0001708984375,0.02440018196692373,32,True,1623
38,wst_order1_path0038_mean,1,38,mean,4.0,,0.0176443478608594,,0.024085015980571445,33,True,1623
23,wst_order1_path0023_mean,1,23,mean,2.0,,0.0647197533124713,,0.024032141982745614,34,True,1623
77,wst_order1_path0077_mean,1,77,mean,9.0,,0.0006012905556282,,0.023515582634109577,35,True,1623
468,wst_order2_path0468_mean,2,468,mean,4.0,10.0,0.0136056521391404,8.544921875e-05,0.023382416519952542,36,True,1623
504,wst_order2_path0504_mean,2,504,mean,5.0,9.0,0.0080899691640589,0.0001708984375,0.02286308195278708,37,True,1623
249,wst_order2_path0249_mean,2,249,mean,1.0,6.0,0.1294395066249428,0.0013671875,0.022825865004777457,38,True,1623
