representation_key,fold,pca_components,explained_variance_ratio
s1__log__peak_rms,0,32,0.9032573699951172
s1__log__peak_rms,0,64,0.9541120529174805
s1__log__peak_rms,0,128,0.9898653626441956
s1__log__peak_rms,0,256,0.9998995065689087
s1__log__peak_rms,1,32,0.9010046720504761
s1__log__peak_rms,1,64,0.953083872795105
s1__log__peak_rms,1,128,0.9897677898406982
s1__log__peak_rms,1,256,0.9998966455459595
s1__log__peak_rms,2,32,0.9009009599685669
s1__log__peak_rms,2,64,0.9531183242797852
s1__log__peak_rms,2,128,0.9897185564041138
s1__log__peak_rms,2,256,0.9998950958251953
s1__log__peak_rms,3,32,0.9014983177185059
s1__log__peak_rms,3,64,0.9533236026763916
s1__log__peak_rms,3,128,0.9898232817649841
s1__log__peak_rms,3,256,0.9998959302902222
s1__log__peak_rms,4,32,0.9030707478523254
s1__log__peak_rms,4,64,0.9539479613304138
s1__log__peak_rms,4,128,0.9898491501808167
s1__log__peak_rms,4,256,0.9998939633369446
s0_s1__log__peak_rms,0,32,0.9002419114112854
s0_s1__log__peak_rms,0,64,0.9525527954101562
s0_s1__log__peak_rms,0,128,0.9894394278526306
s0_s1__log__peak_rms,0,256,0.9998834133148193
s0_s1__log__peak_rms,1,32,0.8978408575057983
s0_s1__log__peak_rms,1,64,0.9514576196670532
s0_s1__log__peak_rms,1,128,0.9892799854278564
s0_s1__log__peak_rms,1,256,0.9998795390129089
s0_s1__log__peak_rms,2,32,0.8978232145309448
s0_s1__log__peak_rms,2,64,0.9514950513839722
s0_s1__log__peak_rms,2,128,0.9892540574073792
s0_s1__log__peak_rms,2,256,0.9998785257339478
s0_s1__log__peak_rms,3,32,0.8984425067901611
s0_s1__log__peak_rms,3,64,0.9516927003860474
s0_s1__log__peak_rms,3,128,0.989389181137085
s0_s1__log__peak_rms,3,256,0.9998788237571716
s0_s1__log__peak_rms,4,32,0.9000182151794434
s0_s1__log__peak_rms,4,64,0.9523250460624695
s0_s1__log__peak_rms,4,128,0.989408016204834
s0_s1__log__peak_rms,4,256,0.9998775720596313
s1_s2__raw__noamp,0,32,0.8467937707901001
s1_s2__raw__noamp,0,64,0.9103406071662903
s1_s2__raw__noamp,0,128,0.9549145102500916
s1_s2__raw__noamp,0,256,0.9824549555778503
s1_s2__raw__noamp,1,32,0.8339563608169556
s1_s2__raw__noamp,1,64,0.8998345732688904
s1_s2__raw__noamp,1,128,0.9479650259017944
s1_s2__raw__noamp,1,256,0.9795036315917969
s1_s2__raw__noamp,2,32,0.8471205830574036
s1_s2__raw__noamp,2,64,0.9102083444595337
s1_s2__raw__noamp,2,128,0.9546859264373779
s1_s2__raw__noamp,2,256,0.982444167137146
s1_s2__raw__noamp,3,32,0.8474255204200745
s1_s2__raw__noamp,3,64,0.9107282161712646
s1_s2__raw__noamp,3,128,0.9548890590667725
s1_s2__raw__noamp,3,256,0.9824380874633789
s1_s2__raw__noamp,4,32,0.8462986946105957
s1_s2__raw__noamp,4,64,0.9107087254524231
s1_s2__raw__noamp,4,128,0.9553894996643066
s1_s2__raw__noamp,4,256,0.9827093482017517
