candidate_key,representation_key,c_value,pca_components,input_dimension,threshold_oof,selected,elapsed_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,oof_0p5__accuracy,oof_0p5__balanced_accuracy,oof_0p5__macro_f1,oof_0p5__dry_precision,oof_0p5__wet_precision,oof_0p5__dry_recall,oof_0p5__wet_recall,oof_0p5__roc_auc,oof_0p5__average_precision_wet,oof_0p5__tn_dry_correct,oof_0p5__fp_dry_as_wet,oof_0p5__fn_wet_as_dry,oof_0p5__tp_wet_correct
s1__raw__noamp__C0.0003__pcanone,s1__raw__noamp,0.0003,,282,0.5617101519033696,False,0.9808220000122674,0.7233518176216882,0.6091246651538159,0.6096285903919801,0.8186900958466453,0.40161725067385445,0.8219727345629511,0.3962765957446808,0.6676598304014741,0.3624862239733735,1025,222,227,149,0.6352433764633395,0.6233065740756539,0.5820518441959766,0.8429319371727748,0.3383233532934132,0.6455493183640738,0.601063829787234,0.6676598304014741,0.3624862239733735,805,442,150,226
s1__raw__noamp__C0.001__pcanone,s1__raw__noamp,0.001,,282,0.564813698121671,False,1.166611600026954,0.722735674676525,0.6180119520892695,0.6162322185230025,0.8237205523964257,0.40561224489795916,0.8131515637530072,0.4228723404255319,0.6696219863843438,0.363439808313187,1014,233,217,159,0.6451016635859519,0.6325084458018393,0.5912711043333182,0.8476683937823835,0.34802431610942247,0.6559743384121892,0.6090425531914894,0.6696219863843438,0.363439808313187,818,429,147,229
s1__raw__noamp__C0.003__pcanone,s1__raw__noamp,0.003,,282,0.5628099066119772,False,1.009795000019949,0.7196549599507086,0.6150783156170554,0.613009472153441,0.8224755700325733,0.4,0.809943865276664,0.42021276595744683,0.668154634953676,0.35999337030669526,1010,237,218,158,0.6586568083795441,0.6404007916872836,0.6018606422359588,0.8503538928210314,0.35962145110410093,0.6744186046511628,0.6063829787234043,0.668154634953676,0.35999337030669526,841,406,148,228
s1__raw__peak_rms__C0.0003__pcanone,s1__raw__peak_rms,0.0003,,288,0.556733959976419,False,0.9321982000255957,0.7202711028958718,0.6126928031530994,0.6114210799431299,0.8210526315789474,0.39948453608247425,0.8131515637530072,0.4122340425531915,0.6667896568786364,0.3623724625113853,1014,233,221,155,0.6358595194085028,0.6246363613096965,0.5829677245445198,0.8438155136268344,0.3393124065769806,0.6455493183640738,0.6037234042553191,0.6667896568786364,0.3623724625113853,805,442,149,227
s1__raw__peak_rms__C0.001__pcanone,s1__raw__peak_rms,0.001,,288,0.5638361532567725,False,1.0715463000233285,0.7221195317313617,0.6185398147042264,0.6164115866839602,0.8241042345276873,0.4050632911392405,0.8115477145148356,0.425531914893617,0.668402037229777,0.36384460266328456,1012,235,216,160,0.640788662969809,0.629701709635039,0.5877812412188699,0.8465553235908142,0.3443609022556391,0.6503608660785886,0.6090425531914894,0.668402037229777,0.36384460266328456,811,436,147,229
s1__raw__peak_rms__C0.003__pcanone,s1__raw__peak_rms,0.003,,288,0.5442761561460399,False,0.9640249999938533,0.7048675292667899,0.6249605436025184,0.6144401743164447,0.8304647160068847,0.3882863340563991,0.7738572574178028,0.47606382978723405,0.6661519561842038,0.3605198922677466,965,282,197,179,0.6580406654343808,0.6372133546042417,0.6000519490898919,0.8480885311871227,0.35771065182829886,0.6760224538893344,0.598404255319149,0.6661519561842038,0.3605198922677466,843,404,151,225
s1__raw__peak_rms_crest__C0.0003__pcanone,s1__raw__peak_rms_crest,0.0003,,291,0.5570762420064936,False,0.92714350001188,0.7202711028958718,0.6126928031530994,0.6114210799431299,0.8210526315789474,0.39948453608247425,0.8131515637530072,0.4122340425531915,0.6662351345356515,0.3618655652741829,1014,233,221,155,0.6346272335181762,0.6238344366906106,0.581975917680738,0.8434873949579832,0.338301043219076,0.6439454691259021,0.6037234042553191,0.6662351345356515,0.3618655652741829,803,444,149,227
s1__raw__peak_rms_crest__C0.001__pcanone,s1__raw__peak_rms_crest,0.001,,291,0.5607529026196226,False,0.9980608000187203,0.7208872458410351,0.6195955399341397,0.6167566629292024,0.8248772504091653,0.40399002493765584,0.8083400160384924,0.4308510638297872,0.6684084355645037,0.36381788663829323,1008,239,214,162,0.6401725200246458,0.6293007473254961,0.5872832853196596,0.8463949843260188,0.34384384384384387,0.6495589414595028,0.6090425531914894,0.6684084355645037,0.36381788663829323,810,437,147,229
s1__raw__peak_rms_crest__C0.003__pcanone,s1__raw__peak_rms_crest,0.003,,291,0.5916283653434253,False,0.9452806999906898,0.7412199630314233,0.6133219727345629,0.6183075310433801,0.8188126445643793,0.4325153374233129,0.8516439454691259,0.375,0.666683017966524,0.361015269398983,1062,185,235,141,0.6611213801601972,0.6420046409254552,0.6038723019028684,0.850956696878147,0.3619047619047619,0.677626303127506,0.6063829787234043,0.666683017966524,0.361015269398983,845,402,148,228
s1__log__noamp__C0.0003__pcanone,s1__log__noamp,0.0003,,282,0.5684502360936154,False,0.8607329999795184,0.7054836722119532,0.6188597314405637,0.6106483823564838,0.826677994902294,0.38565022421524664,0.7802726543704892,0.4574468085106383,0.6703258032042859,0.36888548851323877,973,274,204,172,0.5773259396179914,0.6227691139586071,0.5492586546963205,0.8591549295774648,0.3159144893111639,0.5380914194065758,0.7074468085106383,0.6703258032042859,0.36888548851323877,671,576,110,266
