candidate_key,representation_key,c_value,pca_components,input_dimension,threshold_oof,selected,elapsed_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,oof_0p5__accuracy,oof_0p5__balanced_accuracy,oof_0p5__macro_f1,oof_0p5__dry_precision,oof_0p5__wet_precision,oof_0p5__dry_recall,oof_0p5__wet_recall,oof_0p5__roc_auc,oof_0p5__average_precision_wet,oof_0p5__tn_dry_correct,oof_0p5__fp_dry_as_wet,oof_0p5__fn_wet_as_dry,oof_0p5__tp_wet_correct,selected_for_phase_b
s1__log__peak_rms__C0.001__pcanone,s1__log__peak_rms,0.001,,288,0.5907499175300752,False,0.9280643999809399,0.7252002464571781,0.630761700421437,0.6262809101535234,0.8307184145334434,0.41504854368932037,0.8067361668003208,0.45478723404255317,0.6756321554710026,0.3757994265976878,1006,241,205,171,0.5908810844115835,0.6306614598440512,0.5601496762565263,0.8621118012422361,0.32396088019559904,0.5565356856455493,0.7047872340425532,0.6756321554710026,0.3757994265976878,694,553,111,265,True
s0_s1__log__peak_rms__C0.001__pcanone,s0_s1__log__peak_rms,0.001,,291,0.5905538900525661,False,0.9930631999741308,0.7252002464571781,0.630761700421437,0.6262809101535234,0.8307184145334434,0.41504854368932037,0.8067361668003208,0.45478723404255317,0.6749880564418433,0.3743589563911374,1006,241,205,171,0.589648798521257,0.6289307103004658,0.558824825883805,0.8608695652173913,0.32273838630806845,0.5557337610264635,0.7021276595744681,0.6749880564418433,0.3743589563911374,693,554,112,264,True
s1_s2__raw__noamp__C0.0003__pcanone,s1_s2__raw__noamp,0.0003,,1929,0.5830197168026054,False,2.0621588999638334,0.7344423906346272,0.6256302359705848,0.6259794797816125,0.8264,0.4262734584450402,0.8283881315156375,0.4228723404255319,0.6845407701888788,0.37918877598376033,1033,214,217,159,0.6401725200246458,0.6432331211929908,0.5932973128836041,0.8576051779935275,0.3505747126436782,0.6375300721732157,0.648936170212766,0.6845407701888788,0.37918877598376033,795,452,132,244,True
s0_s1_s2__raw__noamp__C0.0003__pcanone,s0_s1_s2__raw__noamp,0.0003,,1932,0.5768127047520966,False,3.1205296000116505,0.7307455329636475,0.6269397618113259,0.6256320172454473,0.8276699029126213,0.42118863049095606,0.8203688853247795,0.43351063829787234,0.6843808118207101,0.37891506037813916,1023,224,213,163,0.640788662969809,0.6436340835025338,0.5938014746128336,0.8577586206896551,0.3510791366906475,0.6383319967923016,0.648936170212766,0.6843808118207101,0.37891506037813916,796,451,132,244,False
s1_s2__raw__peak_rms__C0.0003__pcanone,s1_s2__raw__peak_rms,0.0003,,1935,0.5787066898144633,False,2.1703839999972843,0.7313616759088108,0.6264118991963692,0.6254668247448871,0.8272800645682001,0.421875,0.8219727345629511,0.4308510638297872,0.6842059240048455,0.3793806728026379,1025,222,214,162,0.6432532347504621,0.6470955825897047,0.5965884284748382,0.8599137931034483,0.3539568345323741,0.6399358460304732,0.6542553191489362,0.6842059240048455,0.3793806728026379,798,449,130,246,False
s1_s2__raw__peak_rms_crest__C0.0003__pcanone,s1_s2__raw__peak_rms_crest,0.0003,,1938,0.5792940112171908,False,1.9882092000334524,0.7319778188539742,0.6258840365814125,0.6252971462811536,0.8268921095008052,0.4225721784776903,0.8235765838011226,0.42819148936170215,0.6842101895613302,0.3794281692002444,1027,220,215,161,0.6426370918052988,0.6457657953556621,0.595699903793293,0.8589881593110872,0.3530259365994236,0.6399358460304732,0.651595744680851,0.6842101895613302,0.3794281692002444,798,449,131,245,False
s0_s1_s2__raw__peak_rms__C0.0003__pcanone,s0_s1_s2__raw__peak_rms,0.0003,,1938,0.5790447854805798,False,2.231490800040774,0.7319778188539742,0.6258840365814125,0.6252971462811536,0.8268921095008052,0.4225721784776903,0.8235765838011226,0.42819148936170215,0.6840523639714038,0.37926138328418396,1027,220,215,161,0.6420209488601355,0.6453648330461192,0.595194951543836,0.8588362068965517,0.35251798561151076,0.6391339214113874,0.651595744680851,0.6840523639714038,0.37926138328418396,797,450,131,245,False
s0_s1_s2__raw__peak_rms_crest__C0.0003__pcanone,s0_s1_s2__raw__peak_rms_crest,0.0003,,1941,0.5797457908909247,False,2.4609685000032187,0.7325939617991374,0.6253561739664557,0.6251229398265431,0.8265060240963855,0.42328042328042326,0.8251804330392943,0.425531914893617,0.6840736917538262,0.3793834072833998,1029,218,216,160,0.6426370918052988,0.6457657953556621,0.595699903793293,0.8589881593110872,0.3530259365994236,0.6399358460304732,0.651595744680851,0.6840736917538262,0.3793834072833998,798,449,131,245,False
s1__log__peak_rms_crest__C0.001__pcanone,s1__log__peak_rms_crest,0.001,,291,0.5913462139290581,False,1.0022065000375733,0.7252002464571781,0.6289040505724377,0.6249844576335815,0.8296296296296296,0.41421568627450983,0.8083400160384924,0.449468085106383,0.6756534832534252,0.3758841456880818,1008,239,207,169,0.5908810844115835,0.6306614598440512,0.5601496762565263,0.8621118012422361,0.32396088019559904,0.5565356856455493,0.7047872340425532,0.6756534832534252,0.3758841456880818,694,553,111,265,False
s0_s1_s2__log__noamp__C0.0003__pcanone,s0_s1_s2__log__noamp,0.0003,,1932,0.6012532361052165,False,2.060571899986826,0.7264325323475046,0.6278483253425242,0.6247015786644889,0.8288288288288288,0.4154228855721393,0.8115477145148356,0.4441489361702128,0.6808254704908802,0.37321506267011006,1012,235,209,167,0.5859519408502772,0.6302402361412069,0.5569867874620619,0.8634639696586599,0.32211538461538464,0.5477145148356054,0.7127659574468085,0.6808254704908802,0.37321506267011006,683,564,108,268,False
