candidate_key,representation_key,c_value,pca_components,input_dimension,threshold_oof,selected,elapsed_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,oof_0p5__accuracy,oof_0p5__balanced_accuracy,oof_0p5__macro_f1,oof_0p5__dry_precision,oof_0p5__wet_precision,oof_0p5__dry_recall,oof_0p5__wet_recall,oof_0p5__roc_auc,oof_0p5__average_precision_wet,oof_0p5__tn_dry_correct,oof_0p5__fp_dry_as_wet,oof_0p5__fn_wet_as_dry,oof_0p5__tp_wet_correct
s1__log__peak_rms__C1e-05__pcanone,s1__log__peak_rms,1e-05,,288,0.5096243952213964,False,1.1444641000125557,0.6574245224892175,0.6061611697862103,0.5837002454282076,0.826251180358829,0.3404255319148936,0.7016840417000801,0.5106382978723404,0.6415652886075517,0.34141896541140315,875,372,184,192,0.5662353666050524,0.6090500179153373,0.5380345833629829,0.8494208494208494,0.3061465721040189,0.529270248596632,0.6888297872340425,0.6415652886075517,0.34141896541140315,660,587,117,259
s1__log__peak_rms__C1e-05__pca32,s1__log__peak_rms,1e-05,32.0,288,0.5096580419743568,False,0.9246506000054069,0.6568083795440542,0.6057602074766674,0.583213962162374,0.8260869565217391,0.3398230088495575,0.7008821170809943,0.5106382978723404,0.641328550222662,0.3409289629317748,874,373,184,192,0.5650030807147258,0.6082480932962514,0.5370216830550222,0.8490322580645161,0.30542452830188677,0.5276663993584603,0.6888297872340425,0.641328550222662,0.3409289629317748,658,589,117,259
s1__log__peak_rms__C1e-05__pca64,s1__log__peak_rms,1e-05,64.0,288,0.5096361540620906,False,0.9621001000050455,0.6580406654343808,0.6065621320957533,0.5841867576247315,0.8264150943396227,0.3410301953818828,0.702485966319166,0.5106382978723404,0.6415098363732533,0.3413161652148493,876,371,184,192,0.5650030807147258,0.6082480932962514,0.5370216830550222,0.8490322580645161,0.30542452830188677,0.5276663993584603,0.6888297872340425,0.6415098363732533,0.3413161652148493,658,589,117,259
s1__log__peak_rms__C1e-05__pca128,s1__log__peak_rms,1e-05,128.0,288,0.50963114822037,False,0.9517658000113443,0.6574245224892175,0.6061611697862103,0.5837002454282076,0.826251180358829,0.3404255319148936,0.7016840417000801,0.5106382978723404,0.6415887491682166,0.34143780948398406,875,372,184,192,0.5662353666050524,0.6090500179153373,0.5380345833629829,0.8494208494208494,0.3061465721040189,0.529270248596632,0.6888297872340425,0.6415887491682166,0.34143780948398406,660,587,117,259
s1__log__peak_rms__C1e-05__pca256,s1__log__peak_rms,1e-05,256.0,288,0.5096243475192854,False,1.0336419000523165,0.6574245224892175,0.6061611697862103,0.5837002454282076,0.826251180358829,0.3404255319148936,0.7016840417000801,0.5106382978723404,0.6415652886075517,0.34141827976992445,875,372,184,192,0.5662353666050524,0.6090500179153373,0.5380345833629829,0.8494208494208494,0.3061465721040189,0.529270248596632,0.6888297872340425,0.6415652886075517,0.34141827976992445,660,587,117,259
s1__log__peak_rms__C3e-05__pcanone,s1__log__peak_rms,3e-05,,288,0.522754588887659,False,0.921696699981112,0.6709796672828097,0.6121958658226552,0.5928409552158029,0.827966881324747,0.35261194029850745,0.7217321571772254,0.5026595744680851,0.6472917981879917,0.3484184267766286,900,347,187,189,0.5680837954405422,0.6111817297684656,0.5398537931871266,0.8508997429305912,0.3076923076923077,0.5308740978348035,0.6914893617021277,0.6472917981879917,0.3484184267766286,662,585,116,260
s1__log__peak_rms__C3e-05__pca32,s1__log__peak_rms,3e-05,32.0,288,0.5223185575071403,False,0.9452920000185259,0.6691312384473198,0.6128506287430258,0.5924499874445468,0.8287037037037037,0.35174953959484345,0.7177225340817963,0.5079787234042553,0.6470486614683753,0.3482497122769062,895,352,185,191,0.5680837954405422,0.6111817297684656,0.5398537931871266,0.8508997429305912,0.3076923076923077,0.5308740978348035,0.6914893617021277,0.6470486614683753,0.3482497122769062,662,585,116,260
s1__log__peak_rms__C3e-05__pca64,s1__log__peak_rms,3e-05,64.0,288,0.522661180995871,False,1.0493287999997847,0.6703635243376463,0.6117949035131123,0.5923506205784053,0.8278084714548803,0.35195530726256985,0.7209302325581395,0.5026595744680851,0.6471446364892764,0.3485318118355294,899,348,187,189,0.5680837954405422,0.6111817297684656,0.5398537931871266,0.8508997429305912,0.3076923076923077,0.5308740978348035,0.6914893617021277,0.6471446364892764,0.3485318118355294,662,585,116,260
s1__log__peak_rms__C3e-05__pca128,s1__log__peak_rms,3e-05,128.0,288,0.5227878112608881,False,0.9367789999814704,0.6709796672828097,0.6121958658226552,0.5928409552158029,0.827966881324747,0.35261194029850745,0.7217321571772254,0.5026595744680851,0.6473856404306506,0.3483731460474464,900,347,187,189,0.5674676524953789,0.6107807674589227,0.5393469851147927,0.8507078507078507,0.3073286052009456,0.5300721732157178,0.6914893617021277,0.6473856404306506,0.3483731460474464,661,586,116,260
s1__log__peak_rms__C3e-05__pca256,s1__log__peak_rms,3e-05,256.0,288,0.5227540986831094,False,0.9754486000165343,0.6709796672828097,0.6121958658226552,0.5928409552158029,0.827966881324747,0.35261194029850745,0.7217321571772254,0.5026595744680851,0.6472939309662339,0.34842378683967135,900,347,187,189,0.5680837954405422,0.6111817297684656,0.5398537931871266,0.8508997429305912,0.3076923076923077,0.5308740978348035,0.6914893617021277,0.6472939309662339,0.34842378683967135,662,585,116,260
