representation_key,fold,pca_components,explained_variance_ratio
s1__log__peak_rms,0,64,0.9541120529174805
s1__log__peak_rms,0,128,0.9898653626441956
s1__log__peak_rms,1,64,0.953083872795105
s1__log__peak_rms,1,128,0.9897677898406982
s1__log__peak_rms,2,64,0.9531183242797852
s1__log__peak_rms,2,128,0.9897185564041138
s1__log__peak_rms,3,64,0.9533236026763916
s1__log__peak_rms,3,128,0.9898232817649841
s1__log__peak_rms,4,64,0.9539479613304138
s1__log__peak_rms,4,128,0.9898491501808167
s0_s1__log__peak_rms,0,64,0.9525527954101562
s0_s1__log__peak_rms,0,128,0.9894394278526306
s0_s1__log__peak_rms,1,64,0.9514576196670532
s0_s1__log__peak_rms,1,128,0.9892799854278564
s0_s1__log__peak_rms,2,64,0.9514950513839722
s0_s1__log__peak_rms,2,128,0.9892540574073792
s0_s1__log__peak_rms,3,64,0.9516927003860474
s0_s1__log__peak_rms,3,128,0.989389181137085
s0_s1__log__peak_rms,4,64,0.9523250460624695
s0_s1__log__peak_rms,4,128,0.989408016204834
