candidate_key,representation_key,c_value,pca_components,input_dimension,threshold_oof,selected,elapsed_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,oof_0p5__accuracy,oof_0p5__balanced_accuracy,oof_0p5__macro_f1,oof_0p5__dry_precision,oof_0p5__wet_precision,oof_0p5__dry_recall,oof_0p5__wet_recall,oof_0p5__roc_auc,oof_0p5__average_precision_wet,oof_0p5__tn_dry_correct,oof_0p5__fp_dry_as_wet,oof_0p5__fn_wet_as_dry,oof_0p5__tp_wet_correct,selected_for_phase_b
s1__log__peak_rms__C0.001__pcanone,s1__log__peak_rms,0.001,,288,0.5907499175300752,False,0.7463061999878846,0.7252002464571781,0.630761700421437,0.6262809101535234,0.8307184145334434,0.41504854368932037,0.8067361668003208,0.45478723404255317,0.6756321554710026,0.3757994265976878,1006,241,205,171,0.5908810844115835,0.6306614598440512,0.5601496762565263,0.8621118012422361,0.32396088019559904,0.5565356856455493,0.7047872340425532,0.6756321554710026,0.3757994265976878,694,553,111,265,True
s0_s1__log__peak_rms__C0.001__pcanone,s0_s1__log__peak_rms,0.001,,291,0.5905538900525661,False,0.8609095999854617,0.7252002464571781,0.630761700421437,0.6262809101535234,0.8307184145334434,0.41504854368932037,0.8067361668003208,0.45478723404255317,0.6749880564418433,0.3743589563911374,1006,241,205,171,0.589648798521257,0.6289307103004658,0.558824825883805,0.8608695652173913,0.32273838630806845,0.5557337610264635,0.7021276595744681,0.6749880564418433,0.3743589563911374,693,554,112,264,True
s1__log__peak_rms_crest__C0.001__pcanone,s1__log__peak_rms_crest,0.001,,291,0.5913462139290581,False,0.7947955000563525,0.7252002464571781,0.6289040505724377,0.6249844576335815,0.8296296296296296,0.41421568627450983,0.8083400160384924,0.449468085106383,0.6756534832534252,0.3758841456880818,1008,239,207,169,0.5908810844115835,0.6306614598440512,0.5601496762565263,0.8621118012422361,0.32396088019559904,0.5565356856455493,0.7047872340425532,0.6756534832534252,0.3758841456880818,694,553,111,265,False
s0_s1__log__peak_rms_crest__C0.001__pcanone,s0_s1__log__peak_rms_crest,0.001,,294,0.5882955165520405,False,0.863609499996528,0.7215033887861984,0.6302135764131789,0.6244717185119661,0.8309741881765196,0.4099526066350711,0.8003207698476343,0.4601063829787234,0.6749475336552406,0.37397111251254733,998,249,203,173,0.5908810844115835,0.6297326349195516,0.5598406775452056,0.8612143742255266,0.3235294117647059,0.5573376102646351,0.7021276595744681,0.6749475336552406,0.37397111251254733,695,552,112,264,False
s1_s2__log__noamp__C0.001__pcanone,s1_s2__log__noamp,0.001,,1929,0.5719631413213329,False,2.541777199949138,0.6956253850893407,0.6486685065433637,0.6243407612871787,0.8476454293628809,0.3907407407407407,0.7361668003207699,0.5611702127659575,0.6848393591427937,0.37834282791141705,918,329,165,211,0.5988909426987061,0.6340163200191098,0.5661270697881458,0.8625304136253041,0.3283395755305868,0.5685645549318364,0.699468085106383,0.6848393591427937,0.37834282791141705,709,538,113,263,False
s1__log__noamp__C0.001__pcanone,s1__log__noamp,0.001,,282,0.5980559309455246,False,0.941963899997063,0.7301293900184843,0.6246811496527838,0.6237487826565609,0.8264729620661824,0.4192708333333333,0.8211708099438653,0.42819148936170215,0.6759691344332782,0.37472120909688345,1024,223,215,161,0.59211337030191,0.6333210343121364,0.5617807325230443,0.8642590286425903,0.325609756097561,0.5565356856455493,0.7101063829787234,0.6759691344332782,0.37472120909688345,694,553,109,267,False
s0_s1_s2__log__peak_rms__C0.001__pcanone,s0_s1_s2__log__peak_rms,0.001,,1938,0.57174811505493,False,2.367610599962063,0.6956253850893407,0.6468108566943643,0.6233397600685519,0.8463661453541859,0.38992537313432835,0.7377706495589414,0.5558510638297872,0.6841760651094542,0.37803247336814194,920,327,167,209,0.5988909426987061,0.6340163200191098,0.5661270697881458,0.8625304136253041,0.3283395755305868,0.5685645549318364,0.699468085106383,0.6841760651094542,0.37803247336814194,709,538,113,263,False
s1_s2__log__peak_rms_crest__C0.001__pcanone,s1_s2__log__peak_rms_crest,0.001,,1938,0.5734307572822863,False,2.4099089999799617,0.6968576709796673,0.6448263065399512,0.6228376775012658,0.8447488584474886,0.39015151515151514,0.7417802726543705,0.5478723404255319,0.6849502636113908,0.37884890051422837,925,322,170,206,0.5939617991373999,0.6289509716937671,0.5614349886110388,0.8594132029339854,0.3242236024844721,0.5637530072173216,0.6941489361702128,0.6849502636113908,0.37884890051422837,703,544,115,261,False
s0_s1_s2__log__peak_rms_crest__C0.001__pcanone,s0_s1_s2__log__peak_rms_crest,0.001,,1941,0.574729566627884,False,2.4544784000026993,0.6974738139248305,0.6442984439249945,0.622834140696549,0.8442622950819673,0.3904761904761905,0.7433841218925421,0.5452127659574468,0.6845066457370027,0.37820060384973525,927,320,171,205,0.5958102279728897,0.6301538586223958,0.5629546193430166,0.8599269183922046,0.3254364089775561,0.566158781074579,0.6941489361702128,0.6845066457370027,0.37820060384973525,706,541,115,261,False
s0_s1_s2__log__noamp__C0.001__pcanone,s0_s1_s2__log__noamp,0.001,,1932,0.5726931574972691,False,2.481584399996791,0.6950092421441775,0.6464098943848214,0.622829078852917,0.8462246777163904,0.3891992551210428,0.7369687249398557,0.5558510638297872,0.6842101895613302,0.3775189907910357,919,328,167,209,0.5988909426987061,0.63308749509461,0.5658082743458295,0.8616504854368932,0.327909887359199,0.5693664795509222,0.6968085106382979,0.6842101895613302,0.3775189907910357,710,537,114,262,False
