candidate_key,representation_key,c_value,pca_components,input_dimension,threshold_oof,selected,elapsed_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,oof_0p5__accuracy,oof_0p5__balanced_accuracy,oof_0p5__macro_f1,oof_0p5__dry_precision,oof_0p5__wet_precision,oof_0p5__dry_recall,oof_0p5__wet_recall,oof_0p5__roc_auc,oof_0p5__average_precision_wet,oof_0p5__tn_dry_correct,oof_0p5__fp_dry_as_wet,oof_0p5__fn_wet_as_dry,oof_0p5__tp_wet_correct
s1__log__peak_rms__C0.001__pcanone,s1__log__peak_rms,0.001,,288,0.5907499175300752,False,1.062212799966801,0.7252002464571781,0.630761700421437,0.6262809101535234,0.8307184145334434,0.41504854368932037,0.8067361668003208,0.45478723404255317,0.6756321554710026,0.3757994265976878,1006,241,205,171,0.5908810844115835,0.6306614598440512,0.5601496762565263,0.8621118012422361,0.32396088019559904,0.5565356856455493,0.7047872340425532,0.6756321554710026,0.3757994265976878,694,553,111,265
s1__log__peak_rms__C0.001__pca64,s1__log__peak_rms,0.001,64.0,288,0.5923489220027591,False,0.8433102999697439,0.7252002464571781,0.6289040505724377,0.6249844576335815,0.8296296296296296,0.41421568627450983,0.8083400160384924,0.449468085106383,0.675344230408299,0.3741296297651619,1008,239,207,169,0.589648798521257,0.6317171850739647,0.5597434017595307,0.8635794743429287,0.32402912621359226,0.5533279871692061,0.7101063829787234,0.675344230408299,0.3741296297651619,690,557,109,267
s1__log__peak_rms__C0.001__pca128,s1__log__peak_rms,0.001,128.0,288,0.5905119798237447,False,0.8401411999948323,0.7239679605668515,0.6308886007268508,0.6258921735694352,0.8309859154929577,0.41346153846153844,0.8043303929430633,0.4574468085106383,0.6761056322407821,0.37596807748018257,1003,244,204,172,0.5908810844115835,0.6306614598440512,0.5601496762565263,0.8621118012422361,0.32396088019559904,0.5565356856455493,0.7047872340425532,0.6761056322407821,0.37596807748018257,694,553,111,265
s1__log__peak_rms__C0.01__pcanone,s1__log__peak_rms,0.01,,288,0.5810927459146307,False,0.9705963000305928,0.6956253850893407,0.6096578597143784,0.6008051988400994,0.8226221079691517,0.3706140350877193,0.7698476343223737,0.449468085106383,0.6606045999761129,0.3631326327981963,960,287,207,169,0.6204559457794209,0.627615852514119,0.5761007825299427,0.8501664816870145,0.3337950138504155,0.6142742582197274,0.6409574468085106,0.6606045999761129,0.3631326327981963,766,481,135,241
s1__log__peak_rms__C0.01__pca64,s1__log__peak_rms,0.01,64.0,288,0.5785817207487362,False,0.954684600001201,0.696241528034504,0.6165605964954188,0.6056184676503134,0.8266897746967071,0.3752665245202559,0.7650360866078588,0.46808510638297873,0.6630572949546998,0.3585544340035145,954,293,200,176,0.6161429451632778,0.6322397157433159,0.5755348690769796,0.8553530751708428,0.33422818791946307,0.6022453889334403,0.6622340425531915,0.6630572949546998,0.3585544340035145,751,496,127,249
s1__log__peak_rms__C0.01__pca128,s1__log__peak_rms,0.01,128.0,288,0.5855440083358845,False,1.0187971999985166,0.6993222427603204,0.6148501083451346,0.6056537186922439,0.8251928020565553,0.37719298245614036,0.7722534081796311,0.4574468085106383,0.6647101980924431,0.3654828908647052,963,284,204,172,0.6223043746149106,0.6306763892917471,0.5783527642735722,0.8522222222222222,0.3360995850622407,0.6150761828388132,0.6462765957446809,0.6647101980924431,0.3654828908647052,767,480,133,243
s0_s1__log__peak_rms__C0.001__pcanone,s0_s1__log__peak_rms,0.001,,291,0.5905538900525661,False,1.3084206999628805,0.7252002464571781,0.630761700421437,0.6262809101535234,0.8307184145334434,0.41504854368932037,0.8067361668003208,0.45478723404255317,0.6749880564418433,0.3743589563911374,1006,241,205,171,0.589648798521257,0.6289307103004658,0.558824825883805,0.8608695652173913,0.32273838630806845,0.5557337610264635,0.7021276595744681,0.6749880564418433,0.3743589563911374,693,554,112,264
s0_s1__log__peak_rms__C0.001__pca64,s0_s1__log__peak_rms,0.001,64.0,291,0.5971623640883597,False,1.072359999991022,0.7276648182378311,0.6277214250371104,0.6250689897393442,0.8285714285714286,0.41708542713567837,0.813953488372093,0.44148936170212766,0.6747150608268355,0.3737716524886938,1015,232,210,166,0.5871842267406038,0.6282556859867938,0.5570992179863148,0.8610763454317898,0.32160194174757284,0.5517241379310345,0.7047872340425532,0.6747150608268355,0.3737716524886938,688,559,111,265
s0_s1__log__peak_rms__C0.001__pca128,s0_s1__log__peak_rms,0.001,128.0,291,0.5943767617947958,True,1.1384165000054054,0.7276648182378311,0.6295790748861096,0.6263921120939282,0.8296478296478297,0.417910447761194,0.8123496391339214,0.44680851063829785,0.6755553754542817,0.3749886365735047,1013,234,208,168,0.5902649414664202,0.6293316726100087,0.5593327532868507,0.8610421836228288,0.32313341493268055,0.5565356856455493,0.7021276595744681,0.6755553754542817,0.3749886365735047,694,553,112,264
s0_s1__log__peak_rms__C0.01__pcanone,s0_s1__log__peak_rms,0.01,,291,0.6234350816952129,False,1.1579865000094287,0.7221195317313617,0.5971768414407344,0.599516885745941,0.8124018838304553,0.39255014326647564,0.8299919807538091,0.36436170212765956,0.6583971744953847,0.35848325014615706,1035,212,239,137,0.6210720887245841,0.6289456397481615,0.5769770799808269,0.8511111111111112,0.334716459197787,0.6142742582197274,0.6436170212765957,0.6583971744953847,0.35848325014615706,766,481,134,242
s0_s1__log__peak_rms__C0.01__pca64,s0_s1__log__peak_rms,0.01,64.0,291,0.5892476541691074,False,1.0631770000327379,0.7005545286506469,0.6082214335682233,0.6015564383163068,0.8210970464135021,0.3744292237442922,0.7802726543704892,0.43617021276595747,0.6615451551809448,0.35976180081507214,973,274,212,164,0.6142945163277881,0.6282503540411882,0.5729493120098995,0.8524404086265607,0.33153638814016173,0.6022453889334403,0.6542553191489362,0.6615451551809448,0.35976180081507214,751,496,130,246
s0_s1__log__peak_rms__C0.01__pca128,s0_s1__log__peak_rms,0.01,128.0,291,0.6213900661642334,False,1.0437824000255205,0.7233518176216882,0.6044805405313177,0.6059088232160694,0.8161648177496038,0.3988919667590028,0.8259823576583801,0.3829787234042553,0.6626691293146103,0.3630739968042334,1030,217,232,144,0.6216882316697474,0.6284177771332048,0.5770998132744865,0.8504983388704319,0.3347222222222222,0.615878107457899,0.6409574468085106,0.6626691293146103,0.3630739968042334,768,479,135,241
