candidate_key,model_name,C,pca_components,output_dimension,score_type,native_threshold,threshold_oof,elapsed_fit_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,native__accuracy,native__balanced_accuracy,native__macro_f1,native__dry_precision,native__wet_precision,native__dry_recall,native__wet_recall,native__roc_auc,native__average_precision_wet,native__tn_dry_correct,native__fp_dry_as_wet,native__fn_wet_as_dry,native__tp_wet_correct
logistic_regression__C0.001__pca128,logistic_regression,0.001,128.0,128,wet_probability,0.5,0.5451205938234057,0.08014249987900257,0.7011706715958103,0.6485618676312511,0.6269324482583261,0.8463636363636363,0.39579349904397704,0.7465918203688853,0.550531914893617,0.6833378832602501,0.379408099517243,931,316,169,207,0.6383240911891559,0.6345996348683649,0.5886496435931612,0.851063829787234,0.34553440702781846,0.6415396952686447,0.6276595744680851,0.6833378832602501,0.379408099517243,800,447,140,236
logistic_regression__C0.001__pca256,logistic_regression,0.001,256.0,256,wet_probability,0.5,0.5783814504197061,0.15047289989888668,0.722735674676525,0.6310155010322647,0.6254999487232079,0.8312551953449709,0.4119047619047619,0.8019246190858059,0.4601063829787234,0.6816337934446929,0.37888695029193814,1000,247,203,173,0.6389402341343191,0.6322141224044089,0.5879368550939132,0.8489968321013728,0.34467455621301774,0.644747393744988,0.6196808510638298,0.6816337934446929,0.37888695029193814,804,443,143,233
logistic_regression__C0.001__pca64,logistic_regression,0.001,64.0,64,wet_probability,0.5,0.5823146465695275,0.04035169817507267,0.7264325323475046,0.6287771502670239,0.6253602844843721,0.8293683347005743,0.4158415841584158,0.8107457898957497,0.44680851063829785,0.68323337712638,0.3810413264831916,1011,236,208,168,0.6487985212569316,0.6442024689040933,0.5983901048142308,0.8559411146161935,0.3556547619047619,0.652766639935846,0.6356382978723404,0.68323337712638,0.3810413264831916,814,433,137,239
linear_svm__C0.0001__pca64,linear_svm,0.0001,64.0,64,wet_decision_score,0.0,0.14418320033571058,0.04548150114715099,0.7264325323475046,0.6287771502670239,0.6253602844843721,0.8293683347005743,0.4158415841584158,0.8107457898957497,0.44680851063829785,0.6824890375198349,0.37931646055668683,1011,236,208,168,0.6506469500924215,0.6481918306062209,0.6010997227935646,0.8586497890295358,0.3585185185185185,0.652766639935846,0.6436170212765957,0.6824890375198349,0.37931646055668683,814,433,134,242
logistic_regression__C0.001__pca32,logistic_regression,0.001,32.0,32,wet_probability,0.5,0.53876837118908,0.024617299437522888,0.696241528034504,0.6472118190039072,0.6238507699142294,0.8465073529411765,0.39065420560747666,0.7385725741780272,0.5558510638297872,0.6812306983569075,0.3779480859058305,921,326,167,209,0.6531115218730745,0.6535109795423911,0.6046952093982059,0.8622881355932204,0.36229749631811486,0.652766639935846,0.6542553191489362,0.6812306983569075,0.3779480859058305,814,433,130,246
logistic_regression__C0.001__pcanone,logistic_regression,0.001,,1932,wet_probability,0.5,0.5786526709043645,1.637049600481987,0.7221195317313617,0.6278280639492229,0.6230644650484962,0.8294701986754967,0.40963855421686746,0.8035284683239775,0.4521276595744681,0.6812328311351499,0.37722199779042037,1002,245,206,170,0.640788662969809,0.6324881844085379,0.5890252276692584,0.8487394957983193,0.34575260804769004,0.6479550922213312,0.6170212765957447,0.6812328311351499,0.37722199779042037,808,439,144,232
linear_svm__C0.0001__pca128,linear_svm,0.0001,128.0,128,wet_decision_score,0.0,0.06882369667532404,0.0925987996160984,0.6943930991990142,0.6441512822262792,0.6213081439108836,0.8448117539026629,0.38764044943820225,0.7377706495589414,0.550531914893617,0.6826425975532769,0.37839902997540026,920,327,169,207,0.6358595194085028,0.633924610554693,0.5870469031520623,0.8511777301927195,0.3439767779390421,0.6375300721732157,0.6303191489361702,0.6826425975532769,0.37839902997540026,795,452,139,237
linear_svm__C0.0001__pca256,linear_svm,0.0001,256.0,256,wet_decision_score,0.0,0.1279928856324662,0.1866209004074335,0.7159581022797289,0.628462565476292,0.6211217930053146,0.8308080808080808,0.40229885057471265,0.7914995990376904,0.4654255319148936,0.6813437356037468,0.37739211496346226,987,260,201,175,0.6377079482439926,0.6332698476343224,0.5877479152483214,0.8501594048884166,0.34457478005865105,0.6415396952686447,0.625,0.6813437356037468,0.37739211496346226,800,447,141,235
linear_svm__C0.0001__pca32,linear_svm,0.0001,32.0,32,wet_decision_score,0.0,0.04848863892962074,0.029423899948596954,0.685150955021565,0.6502115716016312,0.6200064603478966,0.851145038167939,0.3826086956521739,0.7153167602245389,0.5851063829787234,0.680823337712638,0.37706006171568407,892,355,156,220,0.6524953789279113,0.6521811923083485,0.6037981828003158,0.8613756613756614,0.3613569321533923,0.652766639935846,0.651595744680851,0.680823337712638,0.37706006171568407,814,433,131,245
linear_svm__C0.001__pca32,linear_svm,0.001,32.0,32,wet_decision_score,0.0,0.06417764316452021,0.026768198236823082,0.7024029574861368,0.6345025934583426,0.6193812771143421,0.8368606701940036,0.39059304703476483,0.7610264635124299,0.5079787234042553,0.6797526830350288,0.3763610869844785,949,298,185,191,0.662969808995687,0.637634578307086,0.6027301142656414,0.8472222222222222,0.36097560975609755,0.6848436246992783,0.5904255319148937,0.6797526830350288,0.3763610869844785,854,393,154,222
