candidate_key,model_name,C,pca_components,output_dimension,score_type,native_threshold,threshold_oof,elapsed_fit_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,native__accuracy,native__balanced_accuracy,native__macro_f1,native__dry_precision,native__wet_precision,native__dry_recall,native__wet_recall,native__roc_auc,native__average_precision_wet,native__tn_dry_correct,native__fp_dry_as_wet,native__fn_wet_as_dry,native__tp_wet_correct
logistic_regression__C0.01__pca64,logistic_regression,0.01,64.0,64,wet_probability,0.5,0.6413025169941251,0.060654398053884506,0.7504621072088724,0.6091193332082103,0.6170307597742904,0.815592203898051,0.44982698961937717,0.8724939855653568,0.34574468085106386,0.6753975498643553,0.37633266307397306,1088,159,246,130,0.6660505237215034,0.6368529150813016,0.603875389520327,0.845927379784102,0.36258278145695366,0.6912590216519647,0.5824468085106383,0.6753975498643553,0.37633266307397306,862,385,157,219
logistic_regression__C0.1__pca64,logistic_regression,0.1,64.0,64,wet_probability,0.5,0.5365101626557154,0.061987798660993576,0.6993222427603204,0.6269248323636302,0.6134401611788547,0.8326029798422436,0.38381742738589214,0.7618283881315157,0.4920212765957447,0.6723412786432118,0.3735225319897324,950,297,191,185,0.6691312384473198,0.6286406524595198,0.6011626241460277,0.8393881453154876,0.36048526863084923,0.7040898155573376,0.5531914893617021,0.6723412786432118,0.3735225319897324,878,369,168,208
linear_svm__C0.01__pca64,linear_svm,0.01,64.0,64,wet_decision_score,0.0,0.2116273399445947,0.058052996173501015,0.7455329636475663,0.6059116347318672,0.6129084232246053,0.8144796380090498,0.4377104377104377,0.8660785886126704,0.34574468085106386,0.6714284495555289,0.37163865129236606,1080,167,246,130,0.6715958102279729,0.623742727226194,0.5996552178953483,0.8355263157894737,0.3595706618962433,0.7129109863672815,0.5345744680851063,0.6714284495555289,0.37163865129236606,889,358,175,201
logistic_regression__C1__pca64,logistic_regression,1.0,64.0,64,wet_probability,0.5,0.6166046176564228,0.06724520027637482,0.7393715341959335,0.607474961183436,0.6127747899681039,0.8159509202453987,0.4263322884012539,0.8532477947072975,0.3617021276595745,0.6720064324591786,0.3732570853456156,1064,183,240,136,0.6678989525569933,0.6250522530669351,0.5986899116591807,0.8371428571428572,0.35776614310645727,0.7048917401764234,0.5452127659574468,0.6720064324591786,0.3732570853456156,879,368,171,205
linear_svm__C0.1__pca64,linear_svm,0.1,64.0,64,wet_decision_score,0.0,0.21228615355954078,0.05984549969434738,0.7461491065927295,0.6053837721169104,0.6125683693334569,0.8141459744168548,0.4387755102040816,0.867682437850842,0.34308510638297873,0.6710893378150113,0.37136083147487736,1082,165,247,129,0.674060382008626,0.6244177515398659,0.6011290164474402,0.8355140186915888,0.3616636528028933,0.7169206094627105,0.5319148936170213,0.6710893378150113,0.37136083147487736,894,353,176,200
linear_svm__C0.001__pca64,linear_svm,0.001,64.0,64,wet_decision_score,0.0,0.21226502678711695,0.062008000910282135,0.7430683918669131,0.6061654353426948,0.6125460494113404,0.8148710166919575,0.43278688524590164,0.8612670408981555,0.35106382978723405,0.674335426299715,0.3738651280424324,1074,173,244,132,0.6715958102279729,0.6386039260181884,0.6074681242748298,0.8459302325581395,0.36717428087986465,0.7000801924619086,0.5771276595744681,0.674335426299715,0.3738651280424324,873,374,159,217
logistic_regression__C0.01__pca128,logistic_regression,0.01,128.0,128,wet_probability,0.5,0.6207928095357267,0.13411699794232845,0.7208872458410351,0.6047343411421454,0.6054093798722122,0.8165869218500797,0.3956639566395664,0.8211708099438653,0.3882978723404255,0.6581369755498303,0.36773344908182093,1024,223,230,146,0.6321626617375231,0.6045829138869456,0.5716540327290234,0.8296146044624746,0.32653061224489793,0.6559743384121892,0.5531914893617021,0.6581369755498303,0.36773344908182093,818,429,168,208
linear_svm__C0.001__pca128,linear_svm,0.001,128.0,128,wet_decision_score,0.0,0.13870152777554623,0.13208099827170372,0.7042513863216266,0.6096983825009811,0.6038725948826424,0.8214585079631181,0.37906976744186044,0.7858861267040899,0.43351063829787234,0.6563305123786449,0.36673427160298033,980,267,213,163,0.6346272335181762,0.607115588049617,0.5740638214539395,0.8309716599190283,0.3291338582677165,0.6583801122694467,0.5558510638297872,0.6563305123786449,0.36673427160298033,821,426,167,209
linear_svm__C0.1__pca128,linear_svm,0.1,128.0,128,wet_decision_score,0.0,0.24312412547148932,0.17409100010991096,0.7301293900184843,0.5977452268422938,0.6019492823738106,0.8118735543562067,0.4049079754601227,0.8444266238973537,0.35106382978723405,0.6421859270760464,0.36032180393008406,1053,194,244,132,0.6512630930375847,0.6077244962377791,0.581915776749402,0.8283510125361621,0.3378839590443686,0.6888532477947072,0.526595744680851,0.6421859270760464,0.36032180393008406,859,388,178,198
linear_svm__C0.01__pca128,linear_svm,0.01,128.0,128,wet_decision_score,0.0,0.23742472886433316,0.16663699969649315,0.7282809611829945,0.5965423399136651,0.6004571830490593,0.8114374034003091,0.4012158054711246,0.8420208500400962,0.35106382978723405,0.6441800747325496,0.3611408049633712,1050,197,244,132,0.6481823783117683,0.6066485096145644,0.5799820795109528,0.8281553398058252,0.33558178752107926,0.6840417000801925,0.5292553191489362,0.6441800747325496,0.3611408049633712,853,394,177,199
logistic_regression__C0.1__pca128,logistic_regression,0.1,128.0,128,wet_probability,0.5,0.6193269919403339,0.16761930100619793,0.714109673444239,0.5993949308126738,0.5992097789850599,0.8144578313253013,0.3835978835978836,0.8131515637530072,0.38563829787234044,0.6449564060127285,0.36151075592956194,1014,233,231,145,0.6414048059149723,0.6013090992850927,0.574147109423183,0.8256611165523996,0.3289036544850498,0.6760224538893344,0.526595744680851,0.6449564060127285,0.36151075592956194,843,404,178,198
