candidate_key,outer_fold,seed,outer_train_recordings,inner_train_recordings,inner_validation_recordings,outer_validation_recordings,epochs_run,best_epoch,best_inner_val_loss,outer_macro_f1_at_0p5,outer_wet_recall_at_0p5
tiny__h32x8__drop0p25__l20p0001__lr0p0005,0,42,1298,1103,195,325,17,7,0.6666070222854614,0.5806451612903225,0.4868421052631579
tiny__h32x8__drop0p25__l20p0001__lr0p0005,1,43,1298,1103,195,325,12,2,0.6946521997451782,0.5541455886135642,0.5733333333333334
tiny__h32x8__drop0p25__l20p0001__lr0p0005,2,44,1299,1104,195,324,12,2,0.6754289865493774,0.5684486183854073,0.52
tiny__h32x8__drop0p25__l20p0001__lr0p0005,3,45,1298,1103,195,325,16,6,0.7213965654373169,0.6082378093158661,0.5733333333333334
tiny__h32x8__drop0p25__l20p0001__lr0p0005,4,46,1299,1104,195,324,11,1,0.6287102103233337,0.5360512129380054,0.5866666666666667
tiny__h32x8__drop0p25__l20p001__lr0p0005,0,42,1298,1103,195,325,16,6,0.7461702227592468,0.58317347218416,0.5789473684210527
tiny__h32x8__drop0p25__l20p001__lr0p0005,1,43,1298,1103,195,325,12,2,0.756829023361206,0.545129056407252,0.5333333333333333
tiny__h32x8__drop0p25__l20p001__lr0p0005,2,44,1299,1104,195,324,12,2,0.7338520288467407,0.5326923076923077,0.5066666666666667
tiny__h32x8__drop0p25__l20p001__lr0p0005,3,45,1298,1103,195,325,13,3,0.7664412260055542,0.6133678289694044,0.56
tiny__h32x8__drop0p25__l20p001__lr0p0005,4,46,1299,1104,195,324,11,1,0.6987382173538208,0.5502241249589369,0.6
tiny__h32x8__drop0p25__l20p01__lr0p0005,0,42,1298,1103,195,325,32,22,1.0434168577194214,0.5836330126764362,0.5394736842105263
tiny__h32x8__drop0p25__l20p01__lr0p0005,1,43,1298,1103,195,325,27,17,1.1681263446807861,0.5690417256011315,0.5466666666666666
tiny__h32x8__drop0p25__l20p01__lr0p0005,2,44,1299,1104,195,324,51,41,0.9976559281349182,0.5544630362032248,0.4
tiny__h32x8__drop0p25__l20p01__lr0p0005,3,45,1298,1103,195,325,24,14,1.2715719938278198,0.6052880812042474,0.6
tiny__h32x8__drop0p25__l20p01__lr0p0005,4,46,1299,1104,195,324,46,36,0.999761700630188,0.6053684735578317,0.5466666666666666
compact__h64x16__drop0p3__l20p0001__lr0p0005,0,42,1298,1103,195,325,16,6,0.6907780766487122,0.5473725783653447,0.618421052631579
compact__h64x16__drop0p3__l20p0001__lr0p0005,1,43,1298,1103,195,325,16,6,0.7079554796218872,0.5572392689470155,0.6266666666666667
compact__h64x16__drop0p3__l20p0001__lr0p0005,2,44,1299,1104,195,324,16,6,0.7311534285545349,0.63555466679998,0.5066666666666667
compact__h64x16__drop0p3__l20p0001__lr0p0005,3,45,1298,1103,195,325,13,3,0.7314258217811584,0.5615129080169159,0.49333333333333335
compact__h64x16__drop0p3__l20p0001__lr0p0005,4,46,1299,1104,195,324,15,5,0.6472176313400269,0.5953494709114855,0.56
compact__h64x16__drop0p3__l20p001__lr0p0005,0,42,1298,1103,195,325,12,2,0.8086957335472107,0.5284885254550251,0.47368421052631576
compact__h64x16__drop0p3__l20p001__lr0p0005,1,43,1298,1103,195,325,19,9,0.8141942620277405,0.5656241646618552,0.6
compact__h64x16__drop0p3__l20p001__lr0p0005,2,44,1299,1104,195,324,19,9,0.8476879596710205,0.6049382716049383,0.44
compact__h64x16__drop0p3__l20p001__lr0p0005,3,45,1298,1103,195,325,18,8,0.8788855671882629,0.5522971975182112,0.52
compact__h64x16__drop0p3__l20p001__lr0p0005,4,46,1299,1104,195,324,15,5,0.8215043544769287,0.6304985337243402,0.5866666666666667
compact__h64x16__drop0p3__l20p01__lr0p0005,0,42,1298,1103,195,325,39,29,1.12358558177948,0.5828619909502262,0.5921052631578947
compact__h64x16__drop0p3__l20p01__lr0p0005,1,43,1298,1103,195,325,36,26,1.2080607414245605,0.6008791561936898,0.5466666666666666
compact__h64x16__drop0p3__l20p01__lr0p0005,2,44,1299,1104,195,324,56,46,1.0731748342514038,0.5836144578313254,0.36
compact__h64x16__drop0p3__l20p01__lr0p0005,3,45,1298,1103,195,325,51,41,1.2763400077819824,0.5881976651207421,0.44
compact__h64x16__drop0p3__l20p01__lr0p0005,4,46,1299,1104,195,324,53,43,1.11402428150177,0.6200898964236858,0.5066666666666667
