candidate_key,outer_fold,seed,outer_train_recordings,inner_train_recordings,inner_validation_recordings,outer_validation_recordings,epochs_run_inner,best_epoch_inner,best_inner_val_loss,outer_refit_epochs,outer_macro_f1_at_0p5,outer_wet_recall_at_0p5
pca128_tiny__h32x8__drop0p2__l20p0001__lr0p0005,0,42,1298,1103,195,325,48,38,0.6769552230834961,38,0.6172222222222222,0.618421052631579
pca128_tiny__h32x8__drop0p2__l20p0001__lr0p0005,1,43,1298,1103,195,325,35,25,0.7878952622413635,25,0.5303715891951186,0.56
pca128_tiny__h32x8__drop0p2__l20p0001__lr0p0005,2,44,1299,1104,195,324,48,38,0.8301729559898376,38,0.5684426229508197,0.37333333333333335
pca128_tiny__h32x8__drop0p2__l20p0001__lr0p0005,3,45,1298,1103,195,325,37,27,0.7352269887924194,27,0.550132402503611,0.7333333333333333
pca128_tiny__h32x8__drop0p2__l20p0001__lr0p0005,4,46,1299,1104,195,324,57,47,0.7687393426895142,47,0.5778635127442919,0.4
pca128_tiny__h32x8__drop0p2__l20p001__lr0p0005,0,42,1298,1103,195,325,48,39,0.7447289228439331,39,0.6078037007240547,0.5921052631578947
pca128_tiny__h32x8__drop0p2__l20p001__lr0p0005,1,43,1298,1103,195,325,35,25,0.8534728288650513,25,0.5348151890207965,0.5733333333333334
pca128_tiny__h32x8__drop0p2__l20p001__lr0p0005,2,44,1299,1104,195,324,47,37,0.8835254311561584,37,0.5850409836065573,0.4
pca128_tiny__h32x8__drop0p2__l20p001__lr0p0005,3,45,1298,1103,195,325,37,27,0.8008928298950195,27,0.5475668259071198,0.7333333333333333
pca128_tiny__h32x8__drop0p2__l20p001__lr0p0005,4,46,1299,1104,195,324,47,37,0.8280074000358582,37,0.576481133367361,0.41333333333333333
pca128_tiny__h32x8__drop0p2__l20p01__lr0p0005,0,42,1298,1103,195,325,75,65,0.8420960903167725,65,0.5786708515283843,0.5131578947368421
pca128_tiny__h32x8__drop0p2__l20p01__lr0p0005,1,43,1298,1103,195,325,75,65,1.0275338888168335,65,0.5404220334338175,0.5066666666666667
pca128_tiny__h32x8__drop0p2__l20p01__lr0p0005,2,44,1299,1104,195,324,83,73,1.0651614665985107,73,0.5877506145693074,0.44
pca128_tiny__h32x8__drop0p2__l20p01__lr0p0005,3,45,1298,1103,195,325,68,58,1.0533217191696167,58,0.5690199545339732,0.64
pca128_tiny__h32x8__drop0p2__l20p01__lr0p0005,4,46,1299,1104,195,324,100,90,0.9395769238471985,90,0.6175479160328567,0.5066666666666667
pca128_compact__h64x16__drop0p25__l20p0001__lr0p0005,0,42,1298,1103,195,325,27,17,0.6939119696617126,17,0.5044549782696636,0.5394736842105263
pca128_compact__h64x16__drop0p25__l20p0001__lr0p0005,1,43,1298,1103,195,325,31,21,0.6989554166793823,21,0.5318294663928648,0.64
pca128_compact__h64x16__drop0p25__l20p0001__lr0p0005,2,44,1299,1104,195,324,30,25,0.6922837495803833,25,0.5918161660955452,0.4266666666666667
pca128_compact__h64x16__drop0p25__l20p0001__lr0p0005,3,45,1298,1103,195,325,34,24,0.6731151342391968,24,0.622981875458967,0.72
pca128_compact__h64x16__drop0p25__l20p0001__lr0p0005,4,46,1299,1104,195,324,29,19,0.6494839787483215,19,0.5846153846153846,0.48
pca128_compact__h64x16__drop0p25__l20p001__lr0p0005,0,42,1298,1103,195,325,27,17,0.8269752860069275,17,0.5044549782696636,0.5394736842105263
pca128_compact__h64x16__drop0p25__l20p001__lr0p0005,1,43,1298,1103,195,325,31,21,0.8294195532798767,21,0.5276549578318186,0.6266666666666667
pca128_compact__h64x16__drop0p25__l20p001__lr0p0005,2,44,1299,1104,195,324,41,31,0.8141523599624634,31,0.5850409836065573,0.4
pca128_compact__h64x16__drop0p25__l20p001__lr0p0005,3,45,1298,1103,195,325,34,24,0.8026978969573975,24,0.6332099273275744,0.76
pca128_compact__h64x16__drop0p25__l20p001__lr0p0005,4,46,1299,1104,195,324,29,19,0.7848889231681824,19,0.5797764467292364,0.48
pca128_compact__h64x16__drop0p25__l20p01__lr0p0005,0,42,1298,1103,195,325,86,76,0.9792946577072144,76,0.5934189535057214,0.5263157894736842
pca128_compact__h64x16__drop0p25__l20p01__lr0p0005,1,43,1298,1103,195,325,76,66,1.0168744325637817,66,0.5565690097871746,0.5733333333333334
pca128_compact__h64x16__drop0p25__l20p01__lr0p0005,2,44,1299,1104,195,324,72,62,0.9899917244911194,62,0.6224035099746349,0.4
pca128_compact__h64x16__drop0p25__l20p01__lr0p0005,3,45,1298,1103,195,325,74,64,1.0971052646636963,64,0.6008791561936898,0.5466666666666666
pca128_compact__h64x16__drop0p25__l20p01__lr0p0005,4,46,1299,1104,195,324,92,82,0.8721471428871155,82,0.6464746772591856,0.5466666666666666
