candidate_key,fold,projection_fit,pca_components,cumulative_explained_variance_ratio,cumulative_explained_variance_percent
pca128_tiny__h32x8__drop0p2__l20p0001__lr0p0005,0,inner_train_for_early_stopping,128,0.9561014175415039,95.61014175415039
pca128_tiny__h32x8__drop0p2__l20p0001__lr0p0005,0,outer_train_for_oof_prediction,128,0.9545506834983826,95.45506834983826
pca128_tiny__h32x8__drop0p2__l20p0001__lr0p0005,1,inner_train_for_early_stopping,128,0.9497923851013184,94.97923851013184
pca128_tiny__h32x8__drop0p2__l20p0001__lr0p0005,1,outer_train_for_oof_prediction,128,0.9474956393241882,94.74956393241882
pca128_tiny__h32x8__drop0p2__l20p0001__lr0p0005,2,inner_train_for_early_stopping,128,0.9566575288772583,95.66575288772583
pca128_tiny__h32x8__drop0p2__l20p0001__lr0p0005,2,outer_train_for_oof_prediction,128,0.9543248414993286,95.43248414993286
pca128_tiny__h32x8__drop0p2__l20p0001__lr0p0005,3,inner_train_for_early_stopping,128,0.9568052291870117,95.68052291870117
pca128_tiny__h32x8__drop0p2__l20p0001__lr0p0005,3,outer_train_for_oof_prediction,128,0.9545213580131531,95.45213580131531
pca128_tiny__h32x8__drop0p2__l20p0001__lr0p0005,4,inner_train_for_early_stopping,128,0.9572697877883911,95.72697877883911
pca128_tiny__h32x8__drop0p2__l20p0001__lr0p0005,4,outer_train_for_oof_prediction,128,0.9550355672836304,95.50355672836304
pca128_tiny__h32x8__drop0p2__l20p001__lr0p0005,0,inner_train_for_early_stopping,128,0.9561014175415039,95.61014175415039
pca128_tiny__h32x8__drop0p2__l20p001__lr0p0005,0,outer_train_for_oof_prediction,128,0.9545506834983826,95.45506834983826
pca128_tiny__h32x8__drop0p2__l20p001__lr0p0005,1,inner_train_for_early_stopping,128,0.9497923851013184,94.97923851013184
pca128_tiny__h32x8__drop0p2__l20p001__lr0p0005,1,outer_train_for_oof_prediction,128,0.9474956393241882,94.74956393241882
pca128_tiny__h32x8__drop0p2__l20p001__lr0p0005,2,inner_train_for_early_stopping,128,0.9566575288772583,95.66575288772583
pca128_tiny__h32x8__drop0p2__l20p001__lr0p0005,2,outer_train_for_oof_prediction,128,0.9543248414993286,95.43248414993286
pca128_tiny__h32x8__drop0p2__l20p001__lr0p0005,3,inner_train_for_early_stopping,128,0.9568052291870117,95.68052291870117
pca128_tiny__h32x8__drop0p2__l20p001__lr0p0005,3,outer_train_for_oof_prediction,128,0.9545213580131531,95.45213580131531
pca128_tiny__h32x8__drop0p2__l20p001__lr0p0005,4,inner_train_for_early_stopping,128,0.9572697877883911,95.72697877883911
pca128_tiny__h32x8__drop0p2__l20p001__lr0p0005,4,outer_train_for_oof_prediction,128,0.9550355672836304,95.50355672836304
pca128_tiny__h32x8__drop0p2__l20p01__lr0p0005,0,inner_train_for_early_stopping,128,0.9561014175415039,95.61014175415039
pca128_tiny__h32x8__drop0p2__l20p01__lr0p0005,0,outer_train_for_oof_prediction,128,0.9545506834983826,95.45506834983826
pca128_tiny__h32x8__drop0p2__l20p01__lr0p0005,1,inner_train_for_early_stopping,128,0.9497923851013184,94.97923851013184
pca128_tiny__h32x8__drop0p2__l20p01__lr0p0005,1,outer_train_for_oof_prediction,128,0.9474956393241882,94.74956393241882
pca128_tiny__h32x8__drop0p2__l20p01__lr0p0005,2,inner_train_for_early_stopping,128,0.9566575288772583,95.66575288772583
