stage,fold,pca_components,cumulative_explained_variance_ratio,cumulative_explained_variance_percent
projection_selection,0,32,0.846632719039917,84.6632719039917
projection_selection,0,64,0.9101837277412415,91.01837277412415
projection_selection,0,128,0.9547869563102722,95.47869563102722
projection_selection,0,256,0.9824358224868774,98.24358224868774
projection_selection,1,32,0.8334532380104065,83.34532380104065
projection_selection,1,64,0.8994634747505188,89.94634747505188
projection_selection,1,128,0.9478087425231934,94.78087425231934
projection_selection,1,256,0.979468047618866,97.9468047618866
projection_selection,2,32,0.8469579219818115,84.69579219818115
projection_selection,2,64,0.9099830985069275,90.99830985069275
projection_selection,2,128,0.9545761346817017,95.45761346817017
projection_selection,2,256,0.982408881187439,98.2408881187439
projection_selection,3,32,0.8470036387443542,84.70036387443542
projection_selection,3,64,0.9105014801025391,91.0501480102539
projection_selection,3,128,0.9547521471977234,95.47521471977234
projection_selection,3,256,0.9823939800262451,98.23939800262451
projection_selection,4,32,0.8460873961448669,84.6087396144867
projection_selection,4,64,0.9105024337768555,91.05024337768555
projection_selection,4,128,0.9552373886108398,95.52373886108398
projection_selection,4,256,0.982666015625,98.2666015625
