candidate_key,C,gamma,gamma_multiplier_over_dimension,pca_components,pca_whiten,threshold_oof,elapsed_fit_seconds,support_vectors_mean_cv,support_vectors_max_cv,support_vector_fraction_mean_cv,kernel_feature_products_mean_cv,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,native__accuracy,native__balanced_accuracy,native__macro_f1,native__dry_precision,native__wet_precision,native__dry_recall,native__wet_recall,native__roc_auc,native__average_precision_wet,native__tn_dry_correct,native__fp_dry_as_wet,native__fn_wet_as_dry,native__tp_wet_correct
rbf_svm__C1__gamma0p5overD__pca32,1.0,0.015625,0.5,32,True,0.10738354907417802,0.2617574017494917,1067.4,1074,0.8220873944755418,34156.8,0.714109673444239,0.646765001962156,0.6319008329097094,0.84251968503937,0.4083333333333333,0.7722534081796311,0.5212765957446809,0.6821243324404102,0.38464736643273184,963,284,180,196,0.6931608133086876,0.6489223071541914,0.6232843384006175,0.8483720930232558,0.3886861313868613,0.731355252606255,0.5664893617021277,0.6821243324404102,0.38464736643273184,912,335,163,213
rbf_svm__C1__gamma0p25overD__pca32,1.0,0.0078125,0.25,32,True,0.09389418758961232,0.2636441010981798,1072.8,1081,0.8262459803736666,34329.6,0.7067159581022797,0.6410246293231414,0.6251732101616628,0.8402471315092674,0.3979591836734694,0.7634322373696872,0.5186170212765957,0.6836919244484636,0.38734262441105216,952,295,181,195,0.6900800985828712,0.6450598457574775,0.6197496419297367,0.8463687150837989,0.3843351548269581,0.7289494787489976,0.5611702127659575,0.6836919244484636,0.38734262441105216,909,338,165,211
rbf_svm__C1__gamma0p25overD__pca64,1.0,0.00390625,0.25,64,True,0.2464130984111077,0.2663454990833998,1101.6,1118,0.8484261331758104,70502.4,0.7387553912507702,0.6172910730433893,0.6208746165508974,0.8212334113973458,0.4298245614035088,0.8436246992782679,0.39095744680851063,0.6816082001057857,0.3797231819824146,1052,195,229,147,0.6882316697473814,0.6327110597348531,0.6121054162919523,0.8383561643835616,0.3768939393939394,0.7361668003207699,0.5292553191489362,0.6816082001057857,0.3797231819824146,918,329,177,199
rbf_svm__C10__gamma0p25overD__pca32,10.0,0.0078125,0.25,32,True,0.15314216133942193,0.30179769918322563,966.6,982,0.7444525894637455,30931.2,0.7171903881700554,0.6199762408503813,0.6157188818785777,0.8256198347107438,0.39951573849878935,0.8011226944667201,0.43882978723404253,0.6609948983944445,0.36747764254921994,999,248,211,165,0.680837954405422,0.6167536129263423,0.5996157670752198,0.8292682926829268,0.3624031007751938,0.7361668003207699,0.4973404255319149,0.6609948983944445,0.36747764254921994,918,329,189,187
rbf_svm__C1__gamma0p5overD__pca64,1.0,0.0078125,0.5,64,True,0.016627269711813858,0.27664179541170597,1092.2,1108,0.8411864762630019,69900.8,0.6956253850893407,0.6300920080533706,0.6138171203976649,0.8352626892252895,0.382,0.7522052927024859,0.5079787234042553,0.6755809687931887,0.3749259024931437,938,309,185,191,0.6900800985828712,0.6283409971164838,0.6103944261952406,0.8351351351351352,0.3762183235867446,0.7433841218925421,0.5132978723404256,0.6755809687931887,0.3749259024931437,927,320,183,193
rbf_svm__C1__gamma0p5overD__pca128,1.0,0.00390625,0.5,128,True,0.07644403165260866,0.3308388013392687,1118.0,1125,0.8610592953451214,143104.0,0.7147258163894024,0.6155859168387108,0.6117010199805397,0.8234323432343235,0.39416058394160586,0.8003207698476343,0.4308510638297872,0.6669133580166868,0.3701353898401538,998,249,214,162,0.6906962415280345,0.6092366360115341,0.5987263593380615,0.8230702515177797,0.3659574468085106,0.7610264635124299,0.4574468085106383,0.6669133580166868,0.3701353898401538,949,298,204,172
rbf_svm__C1__gamma1overD__pca32,1.0,0.03125,1.0,32,True,0.22958931922555975,0.2596145998686552,1082.6,1092,0.8337947526306237,34643.2,0.7332101047443007,0.6081094627105053,0.6116634846781034,0.8169781931464174,0.415929203539823,0.8412189254210104,0.375,0.6735015100069955,0.36170243890271997,1049,198,235,141,0.6919285274183611,0.6193268098756164,0.6056943278290885,0.8290748898678414,0.3729508196721312,0.7546110665597434,0.48404255319148937,0.6735015100069955,0.36170243890271997,941,306,194,182
rbf_svm__C0p1__gamma0p25overD__pca32,0.1,0.0078125,0.25,32,True,-0.053740051238482855,0.2820928003638983,1269.0,1276,0.9773556997144894,40608.0,0.7036352433764633,0.6213721442099336,0.6116160513107025,0.8284734133790738,0.3851203501094092,0.7746591820368885,0.46808510638297873,0.6711341261580985,0.3685744984704732,966,281,200,176,0.7085643869377696,0.6069321691207835,0.6033144329390828,0.8193069306930693,0.3819951338199513,0.7963111467522053,0.4175531914893617,0.6711341261580985,0.3685744984704732,993,254,219,157
rbf_svm__C10__gamma0p25overD__pca64,10.0,0.00390625,0.25,64,True,0.15313466962853328,0.3398759011179209,983.2,997,0.7572379369694123,62924.8,0.7282809611829945,0.607688239007661,0.6099265733751232,0.8173228346456692,0.40793201133144474,0.8323977546110666,0.3829787234042553,0.656878636386903,0.3657026284198822,1038,209,232,144,0.6993222427603204,0.6064906840246379,0.5999167528772792,0.8202531645569621,0.3721461187214612,0.7794707297514034,0.43351063829787234,0.656878636386903,0.3657026284198822,972,275,213,163
rbf_svm__C1__gamma0p25overD__pca128,1.0,0.001953125,0.25,128,True,0.06262231104355673,0.3546949978917837,1133.0,1144,0.8726117399777712,145024.0,0.7042513863216266,0.6171289818969783,0.609019296090193,0.8258283772302464,0.3834080717488789,0.7794707297514034,0.45478723404255317,0.6641492774147315,0.3660534991725526,972,275,205,171,0.6833025261860751,0.6137133375420157,0.5987588884442528,0.8269402319357716,0.36254980079681276,0.7433841218925421,0.48404255319148937,0.6641492774147315,0.3660534991725526,927,320,194,182
