fold,pca_components,pca_whiten,cumulative_explained_variance_ratio,cumulative_explained_variance_percent
0,64,True,0.9099971055984497,90.99971055984497
0,128,True,0.9545506834983826,95.45506834983826
1,64,True,0.8992320895195007,89.92320895195007
1,128,True,0.9474956393241882,94.74956393241882
2,64,True,0.9097661375999451,90.9766137599945
2,128,True,0.9543248414993286,95.43248414993286
3,64,True,0.9102272987365723,91.02272987365723
3,128,True,0.9545213580131531,95.45213580131531
4,64,True,0.9103603363037109,91.0360336303711
4,128,True,0.9550355672836304,95.50355672836304
