candidate_key,n_estimators,max_depth,min_samples_leaf,max_features,max_samples,threshold_oof,selected_rf,elapsed_seconds_total_search,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,fixed_0p5__accuracy,fixed_0p5__balanced_accuracy,fixed_0p5__macro_f1,fixed_0p5__dry_precision,fixed_0p5__wet_precision,fixed_0p5__dry_recall,fixed_0p5__wet_recall,fixed_0p5__roc_auc,fixed_0p5__average_precision_wet,fixed_0p5__tn_dry_correct,fixed_0p5__fp_dry_as_wet,fixed_0p5__fn_wet_as_dry,fixed_0p5__tp_wet_correct
rf__trees200__depth8__leaf5__features0p1,200,8,5,0.1,0.8,0.41630932262664555,True,574.2986249998212,0.7128773875539125,0.6478207271920695,0.6319634765412105,0.8434476693051891,0.4074074074074074,0.7690457097032879,0.526595744680851,0.673625211145046,0.36119497348624147,959,288,178,198,0.7387553912507702,0.5866398505349009,0.5931195633150592,0.8054936896807721,0.41304347826086957,0.8700882117080995,0.30319148936170215,0.673625211145046,0.36119497348624147,1085,162,262,114
rf__trees200__depth10__leaf10__features0p1,200,10,10,0.1,0.8,0.45969987112273375,False,574.2986249998212,0.738139248305607,0.6317513095258407,0.6318736007300887,0.8293269230769231,0.43466666666666665,0.8299919807538091,0.43351063829787234,0.6722794280741865,0.3679356286159221,1035,212,213,163,0.744916820702403,0.5934359484038287,0.6008788811906595,0.8082901554404145,0.43014705882352944,0.8757016840417001,0.31117021276595747,0.6722794280741865,0.3679356286159221,1092,155,259,117
rf__trees100__depth8__leaf5__features0p1,100,8,5,0.1,0.8,0.42425671738617793,False,574.2986249998212,0.718422674060382,0.6430699636574587,0.6315733526725065,0.8393470790378007,0.4117647058823529,0.7834803528468324,0.5026595744680851,0.6757281304919039,0.363056427690694,977,270,187,189,0.7436845348120764,0.5963493234827415,0.6035196346946158,0.8098434004474273,0.42907801418439717,0.8708901363271853,0.32180851063829785,0.6757281304919039,0.363056427690694,1086,161,255,121
rf__trees300__depth8__leaf5__features0p1,300,8,5,0.1,0.8,0.4229006997413154,False,574.2986249998212,0.7165742452248922,0.64186707672883,0.6300220426739825,0.8389319552110249,0.4090909090909091,0.781074578989575,0.5026595744680851,0.6729533859987373,0.36145493604950674,974,273,187,189,0.7486136783733827,0.5976993721100855,0.605748987854251,0.8100517368810052,0.44074074074074077,0.8789093825180433,0.31648936170212766,0.6729533859987373,0.36145493604950674,1096,151,257,119
rf__trees300__depth10__leaf10__features0p1,300,10,10,0.1,0.8,0.4579246662039837,False,574.2986249998212,0.7362908194701171,0.6286907727482127,0.6289294871794873,0.8278622898318655,0.4304812834224599,0.8291900561347233,0.42819148936170215,0.6709251138903581,0.36639190761102497,1034,213,215,161,0.7436845348120764,0.589847549011244,0.5970801247010183,0.8066420664206642,0.4253731343283582,0.8765036086607859,0.30319148936170215,0.6709251138903581,0.36639190761102497,1093,154,262,114
rf__trees200__depth10__leaf10__featuressqrt,200,10,10,sqrt,0.8,0.4788852193849552,False,574.2986249998212,0.744916820702403,0.6240871709123172,0.6283304791110758,0.824124513618677,0.4437869822485207,0.8492381716118684,0.39893617021276595,0.6733116927434353,0.3672368034667125,1059,188,226,150,0.7492298213185459,0.604602108891126,0.6125362425527896,0.8134328358208955,0.4452296819787986,0.8740978348035284,0.3351063829787234,0.6733116927434353,0.3672368034667125,1090,157,250,126
rf__trees300__depth10__leaf10__featuressqrt,300,10,10,sqrt,0.8,0.4531704957664441,False,574.2986249998212,0.7270486752926679,0.6319645873500657,0.6278303315155923,0.8311367380560132,0.4180929095354523,0.8091419406575782,0.45478723404255317,0.6745380402327288,0.370001576564403,1009,238,205,171,0.7492298213185459,0.6027444590421267,0.6107718732783181,0.8125,0.4444444444444444,0.8757016840417001,0.32978723404255317,0.6745380402327288,0.370001576564403,1092,155,252,124
rf__trees300__depth8__leaf10__featuressqrt,300,8,10,sqrt,0.8,0.4532055662937222,False,574.2986249998212,0.7178065311152187,0.637096051800918,0.6275374199289683,0.8357446808510638,0.40848214285714285,0.7874899759422614,0.4867021276595745,0.6727657015134194,0.36499440335277045,982,265,193,183,0.7424522489217499,0.6094797727311505,0.615333061168946,0.8166539343009931,0.43312101910828027,0.8572574178027266,0.3617021276595745,0.6727657015134194,0.36499440335277045,1069,178,240,136
rf__trees300__depth10__leaf5__featuressqrt,300,10,5,sqrt,0.8,0.3951022941962673,False,574.2986249998212,0.7153419593345656,0.6382786773362453,0.627250438455206,0.8369098712446352,0.40611353711790393,0.7818765036086608,0.4946808510638298,0.6729853776723711,0.36563856268213735,975,272,190,186,0.7541589648798521,0.5753009350099814,0.5817672189696874,0.7990126939351199,0.44390243902439025,0.9085805934242182,0.24202127659574468,0.6729853776723711,0.36563856268213735,1133,114,285,91
rf__trees300__depth6__leaf5__features0p1,300,6,5,0.1,0.8,0.48766237103031135,False,574.2986249998212,0.7282809611829945,0.6299800371956525,0.6269088043085613,0.8297872340425532,0.41895261845386533,0.8131515637530072,0.44680851063829785,0.670257554300534,0.3606858881688115,1014,233,208,168,0.7282809611829945,0.6141900134791585,0.6151358611926792,0.820859872611465,0.4114441416893733,0.8267842822774659,0.4015957446808511,0.670257554300534,0.3606858881688115,1031,216,225,151
