candidate_key,sampling_strategy,k_neighbors,dry_events_before,wet_events_before,dry_events_after,wet_events_after,synthetic_wet_events_added,wet_to_dry_ratio_after,fold
reference_weighted__no_smote,,,2525,825,2525,825,0,0.32673267326732675,0
control_unweighted__no_smote,,,2525,825,2525,825,0,0.32673267326732675,0
smote__ratio0p5__k3,0.5,3.0,2525,825,2525,1262,437,0.4998019801980198,0
smote__ratio0p5__k5,0.5,5.0,2525,825,2525,1262,437,0.4998019801980198,0
smote__ratio0p75__k3,0.75,3.0,2525,825,2525,1893,1068,0.7497029702970297,0
smote__ratio0p75__k5,0.75,5.0,2525,825,2525,1893,1068,0.7497029702970297,0
smote__ratio1p0__k3,1.0,3.0,2525,825,2525,2525,1700,1.0,0
smote__ratio1p0__k5,1.0,5.0,2525,825,2525,2525,1700,1.0,0
reference_weighted__no_smote,,,2564,815,2564,815,0,0.31786271450858034,1
control_unweighted__no_smote,,,2564,815,2564,815,0,0.31786271450858034,1
smote__ratio0p5__k3,0.5,3.0,2564,815,2564,1282,467,0.5,1
smote__ratio0p5__k5,0.5,5.0,2564,815,2564,1282,467,0.5,1
smote__ratio0p75__k3,0.75,3.0,2564,815,2564,1923,1108,0.75,1
smote__ratio0p75__k5,0.75,5.0,2564,815,2564,1923,1108,0.75,1
smote__ratio1p0__k3,1.0,3.0,2564,815,2564,2564,1749,1.0,1
smote__ratio1p0__k5,1.0,5.0,2564,815,2564,2564,1749,1.0,1
reference_weighted__no_smote,,,2552,842,2552,842,0,0.3299373040752351,2
control_unweighted__no_smote,,,2552,842,2552,842,0,0.3299373040752351,2
smote__ratio0p5__k3,0.5,3.0,2552,842,2552,1276,434,0.5,2
smote__ratio0p5__k5,0.5,5.0,2552,842,2552,1276,434,0.5,2
smote__ratio0p75__k3,0.75,3.0,2552,842,2552,1914,1072,0.75,2
smote__ratio0p75__k5,0.75,5.0,2552,842,2552,1914,1072,0.75,2
smote__ratio1p0__k3,1.0,3.0,2552,842,2552,2552,1710,1.0,2
smote__ratio1p0__k5,1.0,5.0,2552,842,2552,2552,1710,1.0,2
reference_weighted__no_smote,,,2568,824,2568,824,0,0.32087227414330216,3
control_unweighted__no_smote,,,2568,824,2568,824,0,0.32087227414330216,3
smote__ratio0p5__k3,0.5,3.0,2568,824,2568,1284,460,0.5,3
smote__ratio0p5__k5,0.5,5.0,2568,824,2568,1284,460,0.5,3
smote__ratio0p75__k3,0.75,3.0,2568,824,2568,1926,1102,0.75,3
smote__ratio0p75__k5,0.75,5.0,2568,824,2568,1926,1102,0.75,3
smote__ratio1p0__k3,1.0,3.0,2568,824,2568,2568,1744,1.0,3
smote__ratio1p0__k5,1.0,5.0,2568,824,2568,2568,1744,1.0,3
reference_weighted__no_smote,,,2591,814,2591,814,0,0.3141644152836743,4
control_unweighted__no_smote,,,2591,814,2591,814,0,0.3141644152836743,4
smote__ratio0p5__k3,0.5,3.0,2591,814,2591,1295,481,0.49980702431493634,4
smote__ratio0p5__k5,0.5,5.0,2591,814,2591,1295,481,0.49980702431493634,4
smote__ratio0p75__k3,0.75,3.0,2591,814,2591,1943,1129,0.7499035121574682,4
smote__ratio0p75__k5,0.75,5.0,2591,814,2591,1943,1129,0.7499035121574682,4
smote__ratio1p0__k3,1.0,3.0,2591,814,2591,2591,1777,1.0,4
smote__ratio1p0__k5,1.0,5.0,2591,814,2591,2591,1777,1.0,4
