candidate_key,outer_fold,outer_train_recordings,outer_validation_recordings,inner_repeats,best_epochs_inner,best_losses_inner,epochs_run_inner,best_epoch_inner,outer_refit_epochs,outer_macro_f1_at_0p5,outer_roc_auc,outer_dry_recall_at_0p5,outer_wet_recall_at_0p5
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,0,1298,325,3,11|10|7,0.70116138|0.74521416|0.70969522,23|22|19,10,10,0.5860150174309466,0.6352251109701965,0.678714859437751,0.5526315789473685
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,1,1298,325,3,21|9|9,0.67444879|0.66239345|0.73665577,33|21|21,9,9,0.5517950804847169,0.6178666666666666,0.668,0.48
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,2,1299,324,3,10|4|10,0.72097605|0.74932110|0.69690520,22|16|22,10,10,0.6478260869565218,0.7217135207496654,0.7349397590361446,0.6266666666666667
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,3,1298,325,3,12|15|12,0.68684411|0.65629345|0.69466847,24|27|24,12,12,0.5934189535057214,0.6904533333333333,0.704,0.5333333333333333
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005__spdrop0__embdrop0,4,1299,324,3,1|17|11,0.73717302|0.67253518|0.70299613,13|29|23,11,11,0.628092203898051,0.7184471218206158,0.7349397590361446,0.5733333333333334
mil_attention__proj16__emb8__att8__drop0p3__l20p001__lr0p0005__spdrop0p15__embdrop0p2,0,1298,325,3,27|14|7,0.68557096|0.72620946|0.71559215,39|26|19,14,14,0.5860150174309466,0.6427816529274994,0.678714859437751,0.5526315789473685
mil_attention__proj16__emb8__att8__drop0p3__l20p001__lr0p0005__spdrop0p15__embdrop0p2,1,1298,325,3,31|11|8,0.65171117|0.68040609|0.73042041,43|23|20,11,11,0.5375769733159171,0.6016,0.688,0.41333333333333333
mil_attention__proj16__emb8__att8__drop0p3__l20p001__lr0p0005__spdrop0p15__embdrop0p2,2,1299,324,3,16|16|12,0.70735013|0.72545815|0.70477402,28|28|24,16,16,0.61531279178338,0.6801606425702811,0.714859437751004,0.5733333333333334
mil_attention__proj16__emb8__att8__drop0p3__l20p001__lr0p0005__spdrop0p15__embdrop0p2,3,1298,325,3,14|16|15,0.68529755|0.65907240|0.68235749,26|28|27,15,15,0.6312155850981235,0.7019733333333332,0.756,0.5466666666666666
mil_attention__proj16__emb8__att8__drop0p3__l20p001__lr0p0005__spdrop0p15__embdrop0p2,4,1299,324,3,4|23|23,0.73243135|0.68074185|0.68673474,16|35|35,23,23,0.6429524284570859,0.711004016064257,0.7349397590361446,0.6133333333333333
mil_attention__proj16__emb8__att8__drop0p35__l20p003__lr0p0003__spdrop0p2__embdrop0p25,0,1298,325,3,40|37|22,0.69199842|0.75329024|0.75986540,52|49|34,37,37,0.5736805484264678,0.6399809765377298,0.6907630522088354,0.5
mil_attention__proj16__emb8__att8__drop0p35__l20p003__lr0p0003__spdrop0p2__embdrop0p25,1,1298,325,3,58|29|16,0.67082363|0.70845413|0.79086554,70|41|28,29,29,0.5314645308924485,0.6013866666666667,0.668,0.4266666666666667
mil_attention__proj16__emb8__att8__drop0p35__l20p003__lr0p0003__spdrop0p2__embdrop0p25,2,1299,324,3,32|33|30,0.77084583|0.77693897|0.73827505,44|45|42,32,32,0.6356821589205397,0.7125033467202142,0.7389558232931727,0.5866666666666667
mil_attention__proj16__emb8__att8__drop0p35__l20p003__lr0p0003__spdrop0p2__embdrop0p25,3,1298,325,3,27|51|28,0.73478889|0.68745697|0.74069548,39|63|40,28,28,0.633578431372549,0.6938133333333333,0.776,0.52
mil_attention__proj16__emb8__att8__drop0p35__l20p003__lr0p0003__spdrop0p2__embdrop0p25,4,1299,324,3,19|33|33,0.79516810|0.72467548|0.73614132,31|45|45,33,33,0.61531279178338,0.7144846050870147,0.714859437751004,0.5733333333333334
mil_attention__proj32__emb16__att16__drop0p35__l20p003__lr0p0003__spdrop0p2__embdrop0p25,0,1298,325,3,23|24|16,0.77567297|0.77700627|0.83927846,35|36|28,23,23,0.6083008623816711,0.6574191502853519,0.7309236947791165,0.5263157894736842
mil_attention__proj32__emb16__att16__drop0p35__l20p003__lr0p0003__spdrop0p2__embdrop0p25,1,1298,325,3,30|17|16,0.74087369|0.83752513|0.89580023,42|29|28,17,17,0.5738379453789112,0.6270399999999999,0.68,0.52
mil_attention__proj32__emb16__att16__drop0p35__l20p003__lr0p0003__spdrop0p2__embdrop0p25,2,1299,324,3,20|26|20,0.81338173|0.79422224|0.82408214,32|38|32,20,20,0.5959092042903467,0.7022222222222223,0.6465863453815262,0.64
mil_attention__proj32__emb16__att16__drop0p35__l20p003__lr0p0003__spdrop0p2__embdrop0p25,3,1298,325,3,22|24|27,0.79780978|0.74057800|0.75436497,34|36|39,24,24,0.6066735822959889,0.68944,0.768,0.4666666666666667
mil_attention__proj32__emb16__att16__drop0p35__l20p003__lr0p0003__spdrop0p2__embdrop0p25,4,1299,324,3,14|26|23,0.82686901|0.80559772|0.78891873,26|38|35,23,23,0.6351351351351351,0.7261044176706828,0.6867469879518072,0.68
