candidate_key,outer_fold,outer_train_recordings,inner_train_recordings,inner_validation_recordings,outer_validation_recordings,epochs_run_inner,best_epoch_inner,best_inner_val_loss,outer_refit_epochs,outer_macro_f1_at_0p5,outer_wet_recall_at_0p5
mil_mean__proj16__emb8__att8__drop0p2__l20p001__lr0p0005,0,1298,1103,195,325,14,2,0.7288649082183838,2,0.5466903073286051,0.40789473684210525
mil_mean__proj16__emb8__att8__drop0p2__l20p001__lr0p0005,1,1298,1103,195,325,16,4,0.7637487053871155,4,0.5040233074361821,0.12
mil_mean__proj16__emb8__att8__drop0p2__l20p001__lr0p0005,2,1299,1104,195,324,20,8,0.7233593463897705,8,0.628092203898051,0.5733333333333334
mil_mean__proj16__emb8__att8__drop0p2__l20p001__lr0p0005,3,1298,1103,195,325,17,5,0.7419999837875366,5,0.6179760303437913,0.5066666666666667
mil_mean__proj16__emb8__att8__drop0p2__l20p001__lr0p0005,4,1299,1104,195,324,25,13,0.7055729031562805,13,0.6154415653093601,0.5466666666666666
mil_mean_max__proj16__emb8__att8__drop0p2__l20p001__lr0p0005,0,1298,1103,195,325,19,7,0.7252202033996582,7,0.6008460698689957,0.5526315789473685
mil_mean_max__proj16__emb8__att8__drop0p2__l20p001__lr0p0005,1,1298,1103,195,325,14,2,0.7523510456085205,2,0.5054904764523639,0.10666666666666667
mil_mean_max__proj16__emb8__att8__drop0p2__l20p001__lr0p0005,2,1299,1104,195,324,24,12,0.7143789529800415,12,0.6373355263157895,0.6266666666666667
mil_mean_max__proj16__emb8__att8__drop0p2__l20p001__lr0p0005,3,1298,1103,195,325,20,8,0.731220006942749,8,0.6175603752604476,0.68
mil_mean_max__proj16__emb8__att8__drop0p2__l20p001__lr0p0005,4,1299,1104,195,324,19,7,0.7104776501655579,7,0.5797764467292364,0.48
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005,0,1298,1103,195,325,23,11,0.7011613845825195,11,0.5883333333333334,0.5657894736842105
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005,1,1298,1103,195,325,16,4,0.7205532789230347,4,0.5195369359534207,0.41333333333333333
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005,2,1299,1104,195,324,18,6,0.7313205599784851,6,0.6535617409704323,0.68
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005,3,1298,1103,195,325,13,1,0.7410182356834412,1,0.6285061109645652,0.6666666666666666
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005,4,1299,1104,195,324,25,13,0.67842698097229,13,0.6356821589205397,0.5866666666666667
