candidate_key,gold_multiplier,C,pca_components,output_dimension,threshold_oof,native_threshold,elapsed_fit_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,native__accuracy,native__balanced_accuracy,native__macro_f1,native__dry_precision,native__wet_precision,native__dry_recall,native__wet_recall,native__roc_auc,native__average_precision_wet,native__tn_dry_correct,native__fp_dry_as_wet,native__fn_wet_as_dry,native__tp_wet_correct
logistic_regression__C0.001__pca256__gold3,3.0,0.001,256.0,256,0.5711499604355517,0.5,0.1552841000002445,0.7233518176216882,0.6453488372093024,0.6351485111336412,0.8398637137989778,0.41870824053452116,0.7906976744186046,0.5,0.6849395997201795,0.38123183652446285,986,261,188,188,0.634011090573013,0.6262199491545667,0.5827236180556518,0.8455026455026455,0.3392330383480826,0.640737770649559,0.6117021276595744,0.6849395997201795,0.38123183652446285,799,448,146,230
logistic_regression__C0.001__pcanone__gold3,3.0,0.001,,1932,0.5783991078892589,0.5,1.5367840000003525,0.7258163894023414,0.6385932621269771,0.6318375269978678,0.8352842809364549,0.41920374707259955,0.8011226944667201,0.47606382978723405,0.6844426623897353,0.3801477946374241,999,248,197,179,0.6395563770794824,0.6326150847139518,0.5884362219298683,0.8491561181434599,0.3451851851851852,0.6455493183640738,0.6196808510638298,0.6844426623897353,0.3801477946374241,805,442,143,233
logistic_regression__C0.001__pca256__gold2,2.0,0.001,256.0,256,0.5616618175947425,0.5,0.15591010000025562,0.7122612446087492,0.6455621150335273,0.630350760058973,0.8421052631578947,0.4057971014492754,0.7698476343223737,0.5212765957446809,0.6837772355781535,0.38112795919580666,960,287,180,196,0.6315465187923598,0.6255449248408947,0.5811450223549517,0.845580404685836,0.33771929824561403,0.6367281475541299,0.6143617021276596,0.6837772355781535,0.38112795919580666,794,453,145,231
logistic_regression__C0.001__pca128__gold3,3.0,0.001,128.0,128,0.5633860400428725,0.5,0.07777809999970486,0.7134935304990758,0.6426487399546145,0.6291521645873597,0.84,0.4059196617336152,0.7746591820368885,0.5106382978723404,0.6853341636949957,0.3823360986112314,966,281,184,192,0.6395563770794824,0.6335439096384514,0.5888432892536859,0.8498942917547568,0.345642540620384,0.644747393744988,0.6223404255319149,0.6853341636949957,0.3823360986112314,804,443,142,234
logistic_regression__C0.001__pcanone__gold2,2.0,0.001,,1932,0.5657010017661572,0.5,1.5610757999993439,0.7165742452248922,0.6400094268798308,0.6288640729207678,0.8377682403433476,0.40829694323144106,0.7826784282277466,0.4973404255319149,0.6832483065740756,0.37883260167768623,976,271,189,187,0.6401725200246458,0.634873696872494,0.5897484729705398,0.8507936507936508,0.3466076696165192,0.644747393744988,0.625,0.6832483065740756,0.37883260167768623,804,443,141,235
logistic_regression__C0.001__pca128__gold2,2.0,0.001,128.0,128,0.5604840898685446,0.5,0.07683069999939107,0.7104128157732594,0.6415727533313996,0.6271409298869902,0.8398950131233596,0.40208333333333335,0.7698476343223737,0.5132978723404256,0.6848073674691599,0.38160217858626294,960,287,183,193,0.6383240911891559,0.6345996348683649,0.5886496435931612,0.851063829787234,0.34553440702781846,0.6415396952686447,0.6276595744680851,0.6848073674691599,0.38160217858626294,800,447,140,236
logistic_regression__C0.001__pca128__gold1,1.0,0.001,128.0,128,0.5451205938234057,0.5,0.08524890000035157,0.7011706715958103,0.6485618676312511,0.6269324482583261,0.8463636363636363,0.39579349904397704,0.7465918203688853,0.550531914893617,0.6833378832602501,0.379408099517243,931,316,169,207,0.6383240911891559,0.6345996348683649,0.5886496435931612,0.851063829787234,0.34553440702781846,0.6415396952686447,0.6276595744680851,0.6833378832602501,0.379408099517243,800,447,140,236
logistic_regression__C0.001__pca64__gold1p5,1.5,0.001,64.0,64,0.5335385541744949,0.5,0.04888630000004923,0.6931608133086876,0.6535664317766896,0.6257057489830546,0.8516431924882629,0.3906810035842294,0.7273456295108259,0.5797872340425532,0.6838604139296012,0.3822851459859041,907,340,158,218,0.6506469500924215,0.6472630056817212,0.6007030125576389,0.8578947368421053,0.35809806835066865,0.6535685645549318,0.6409574468085106,0.6838604139296012,0.3822851459859041,815,432,135,241
logistic_regression__C0.001__pca256__gold1,1.0,0.001,256.0,256,0.5783814504197061,0.5,0.15634119999958784,0.722735674676525,0.6310155010322647,0.6254999487232079,0.8312551953449709,0.4119047619047619,0.8019246190858059,0.4601063829787234,0.6816337934446929,0.37888695029193814,1000,247,203,173,0.6389402341343191,0.6322141224044089,0.5879368550939132,0.8489968321013728,0.34467455621301774,0.644747393744988,0.6196808510638298,0.6816337934446929,0.37888695029193814,804,443,143,233
logistic_regression__C0.001__pca128__gold1p5,1.5,0.001,128.0,128,0.5614473546775012,0.5,0.08468599999969229,0.7104128157732594,0.6387862785579006,0.6254492782087794,0.8381201044386423,0.4008438818565401,0.7722534081796311,0.5053191489361702,0.6842741729085977,0.3807751852235649,963,284,186,190,0.6383240911891559,0.6327419850193656,0.5878438506514154,0.8495762711864406,0.3446244477172312,0.6431435445068163,0.6223404255319149,0.6842741729085977,0.3807751852235649,802,445,142,234
