candidate_key,gold_multiplier,C,pca_components,dataset,subgroup,recording_count,dry_count,wet_count,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
logistic_regression__C0.001__pcanone__gold1,1.0,0.001,,train_oof,all,1623,1247,376,0.5786526709043645,0.7221195317313617,0.6278280639492229,0.6230644650484962,0.8294701986754967,0.40963855421686746,0.8035284683239775,0.4521276595744681,0.6812328311351499,0.37722199779042037,1002,245,206,170
logistic_regression__C0.001__pcanone__gold1,1.0,0.001,,train_oof,weak_all,1561,1191,370,0.5786526709043645,0.7181294042280589,0.6252479179431321,0.6214088854591555,0.8239861949956859,0.4129353233830846,0.8018471872376155,0.4486486486486487,0.6772505502984092,0.3780360842375749,955,236,204,166
logistic_regression__C0.001__pcanone__gold1,1.0,0.001,,train_oof,gold_all,62,56,6,0.5786526709043645,0.8225806451612904,0.7529761904761905,0.6581453634085213,0.9591836734693877,0.3076923076923077,0.8392857142857143,0.6666666666666666,0.8452380952380952,0.509041394335512,47,9,2,4
logistic_regression__C0.001__pcanone__gold1,1.0,0.001,,train_oof,gold_3_of_4,31,28,3,0.5786526709043645,0.8064516129032258,0.5952380952380952,0.5694444444444444,0.9230769230769231,0.2,0.8571428571428571,0.3333333333333333,0.7738095238095237,0.48739495798319327,24,4,2,1
logistic_regression__C0.001__pcanone__gold1,1.0,0.001,,train_oof,gold_4_of_4,31,28,3,0.5786526709043645,0.8387096774193549,0.9107142857142857,0.7237076648841354,1.0,0.375,0.8214285714285714,1.0,0.9285714285714285,0.6805555555555556,23,5,0,3
logistic_regression__C0.001__pca32__gold1,1.0,0.001,32.0,train_oof,all,1623,1247,376,0.53876837118908,0.696241528034504,0.6472118190039072,0.6238507699142294,0.8465073529411765,0.39065420560747666,0.7385725741780272,0.5558510638297872,0.6812306983569075,0.3779480859058305,921,326,167,209
logistic_regression__C0.001__pca32__gold1,1.0,0.001,32.0,train_oof,weak_all,1561,1191,370,0.53876837118908,0.6925048046124279,0.6447852134250119,0.6228101969312553,0.8414985590778098,0.3942307692307692,0.7355163727959698,0.5540540540540541,0.6772255883087117,0.37773698349270945,876,315,165,205
logistic_regression__C0.001__pca32__gold1,1.0,0.001,32.0,train_oof,gold_all,62,56,6,0.53876837118908,0.7903225806451613,0.7351190476190477,0.6273693943596856,0.9574468085106383,0.26666666666666666,0.8035714285714286,0.6666666666666666,0.8511904761904763,0.6187499999999999,45,11,2,4
logistic_regression__C0.001__pca32__gold1,1.0,0.001,32.0,train_oof,gold_3_of_4,31,28,3,0.53876837118908,0.8387096774193549,0.6130952380952381,0.5974025974025974,0.9259259259259259,0.25,0.8928571428571429,0.3333333333333333,0.75,0.5142857142857142,25,3,2,1
logistic_regression__C0.001__pca32__gold1,1.0,0.001,32.0,train_oof,gold_4_of_4,31,28,3,0.53876837118908,0.7419354838709677,0.8571428571428572,0.6309523809523809,1.0,0.2727272727272727,0.7142857142857143,1.0,0.9761904761904763,0.8666666666666667,20,8,0,3
