dataset,subgroup,recording_count,dry_count,wet_count,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
train_oof,all,1623,1247,376,0.5711499604355517,0.7233518176216882,0.6453488372093024,0.6351485111336412,0.8398637137989778,0.41870824053452116,0.7906976744186046,0.5,0.6849395997201795,0.38123183652446285,986,261,188,188
train_oof,weak_all,1561,1191,370,0.5711499604355517,0.7194106342088404,0.6428551977670366,0.6337282556988391,0.8346666666666667,0.42201834862385323,0.7884130982367759,0.4972972972972973,0.6807543059432228,0.38176462791434945,939,252,186,184
train_oof,gold_all,62,56,6,0.5711499604355517,0.8225806451612904,0.7529761904761905,0.6581453634085213,0.9591836734693877,0.3076923076923077,0.8392857142857143,0.6666666666666666,0.8482142857142856,0.5324960127591707,47,9,2,4
train_oof,gold_3_of_4,31,28,3,0.5711499604355517,0.8064516129032258,0.5952380952380952,0.5694444444444444,0.9230769230769231,0.2,0.8571428571428571,0.3333333333333333,0.7619047619047619,0.4841269841269841,24,4,2,1
train_oof,gold_4_of_4,31,28,3,0.5711499604355517,0.8387096774193549,0.9107142857142857,0.7237076648841354,1.0,0.375,0.8214285714285714,1.0,0.9404761904761905,0.7916666666666666,23,5,0,3
validation,all,349,268,81,0.5711499604355517,0.7077363896848138,0.6460291136908052,0.6287234042553191,0.8429752066115702,0.40186915887850466,0.7611940298507462,0.5308641975308642,0.6754192002948223,0.3577112082414234,204,64,38,43
validation,weak_all,336,256,80,0.5711499604355517,0.6994047619047619,0.639453125,0.6233309284643986,0.8354978354978355,0.4,0.75390625,0.525,0.66640625,0.3508141667598294,193,63,38,42
validation,gold_all,13,12,1,0.5711499604355517,0.9230769230769231,0.9583333333333333,0.8115942028985508,1.0,0.5,0.9166666666666666,1.0,1.0,1.0,11,1,0,1
validation,gold_3_of_4,5,5,0,0.5711499604355517,0.8,,0.4444444444444444,1.0,0.0,0.8,,,,4,1,0,0
validation,gold_4_of_4,8,7,1,0.5711499604355517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,0,0,1
