fold,pca_components,cumulative_explained_variance_ratio,cumulative_explained_variance_percent
0,32,0.8465636968612671,84.65636968612671
0,64,0.9099971055984497,90.99971055984497
0,128,0.9545506834983826,95.45506834983826
0,256,0.9824354648590088,98.24354648590088
1,32,0.8334063291549683,83.34063291549683
1,64,0.8992320895195007,89.92320895195007
1,128,0.9474956393241882,94.74956393241882
1,256,0.9794676303863525,97.94676303863525
2,32,0.8468881845474243,84.68881845474243
2,64,0.9097661375999451,90.9766137599945
2,128,0.9543248414993286,95.43248414993286
2,256,0.9824087023735046,98.24087023735046
3,32,0.8469381332397461,84.69381332397461
3,64,0.9102272987365723,91.02272987365723
3,128,0.9545213580131531,95.45213580131531
3,256,0.9823943972587585,98.23943972587585
4,32,0.845996081829071,84.5996081829071
4,64,0.9103603363037109,91.0360336303711
4,128,0.9550355672836304,95.50355672836304
4,256,0.9826656579971313,98.26656579971313
